Task,TapTime,Milliseconds
aitana 1 ESO,19:22:51.782,366
aitana 1 ESO,19:22:54.332,478
aitana 1 ESO,19:22:56.666,299
aitana 1 ESO,19:23:01.815,442
aitana 1 ESO,19:23:06.248,416
aitana 1 ESO,19:23:10.881,309
aitana 1 ESO,19:23:14.347,316
aitana 1 ESO,19:23:17.748,0
aitana 1 ESO,19:23:21.680,316
aitana 1 ESO,19:23:23.797,468
aitana 1 ESO,19:23:27.846,330
aitana 1 ESO,19:23:27.897,0
aitana 1 ESO,19:23:31.013,494
aitana 1 ESO,19:23:34.379,326
aitana 1 ESO,19:23:36.796,342
aitana 1 ESO,19:23:39.229,333
aitana 1 ESO,19:23:43.645,549
aitana 1 ESO,19:23:47.695,333
aitana 1 ESO,19:23:49.661,347
aitana 1 ESO,19:23:51.512,283
aitana 1 ESO,19:23:55.494,399
aitana 1 ESO,19:23:57.461,366
aitana 1 ESO,19:23:59.677,316
aitana 1 ESO,19:24:03.260,366
aitana 1 ESO,19:24:07.393,366
aitana 1 ESO,19:24:09.826,399
aitana 1 ESO,19:24:13.692,298
aitana 1 ESO,19:24:17.892,333
aitana 1 ESO,19:24:21.959,333
aitana 1 ESO,19:24:26.275,316
aitana 1 ESO,19:24:28.425,399
aitana 1 ESO,19:24:32.808,449
aitana 1 ESO,19:24:36.291,328
aitana 1 ESO,19:24:38.490,328
aitana 1 ESO,19:24:40.740,316
aitana 1 ESO,19:24:44.408,383
aitana 1 ESO,19:24:48.706,349
aitana 1 ESO,19:24:51.406,583
aitana 1 ESO,19:24:53.406,449
aitana 1 ESO,19:24:56.906,349
aitana 1 ESO,19:24:56.973,0
aitana 1 ESO,19:24:59.305,572
aitana 1 ESO,19:25:01.939,316
aitana 1 ESO,19:25:06.221,399
aitana 1 ESO,19:25:08.722,366
aitana 1 ESO,19:25:11.571,349
aitana 1 ESO,19:25:13.971,328
aitana 1 ESO,19:25:16.287,399
aitana 1 ESO,19:25:18.204,316
aitana 1 ESO,19:25:20.337,316
aitana 1 ESO,19:25:24.720,366
aitana 1 ESO,19:25:26.803,383
aitana 1 ESO,19:25:30.236,349
aitana 1 ESO,19:25:35.253,366
aitana 1 ESO,19:25:38.836,416
aitana 1 ESO,19:25:43.285,333
aitana 1 ESO,19:25:46.701,349
aitana 1 ESO,19:25:49.985,337
aitana 1 ESO,19:25:53.235,331
aitana 1 ESO,19:25:56.434,349
aitana 1 ESO,19:25:58.801,516
aitana 1 ESO,19:26:00.834,416
aitana 1 ESO,19:26:03.751,333
aitana 1 ESO,19:26:06.017,466
aitana 1 ESO,19:26:09.683,333
aitana 1 ESO,19:26:14.450,433
aitana 1 ESO,19:26:17.249,499
aitana 1 ESO,19:26:19.366,349
aitana 1 ESO,19:26:21.682,333
aitana 1 ESO,19:26:24.816,333
aitana 1 ESO,19:26:28.515,299
aitana 1 ESO,19:26:31.448,299
aitana 1 ESO,19:26:34.598,288
aitana 1 ESO,19:26:36.564,349
aitana 1 ESO,19:26:40.714,366
aitana 1 ESO,19:26:43.697,349
aitana 1 ESO,19:26:46.647,299
aitana 1 ESO,19:26:50.613,333
aitana 1 ESO,19:26:52.996,383
aitana 1 ESO,19:26:55.046,366
aitana 1 ESO,19:26:58.879,333
aitana 1 ESO,19:27:02.979,0
aitana 1 ESO,19:27:07.012,333
aitana 1 ESO,19:27:11.661,449
aitana 1 ESO,19:27:15.928,363
aitana 1 ESO,19:27:19.078,314
aitana 1 ESO,19:27:23.627,349
aitana 1 ESO,19:27:25.844,467
aitana 1 ESO,19:27:27.844,0
aitana 1 ESO,19:27:28.226,0
aitana 1 ESO,19:27:30.510,433
aitana 1 ESO,19:27:32.493,349
aitana 1 ESO,19:27:35.243,366
aitana 1 ESO,19:27:37.260,422
aitana 1 ESO,19:27:39.176,299
aitana 1 ESO,19:27:41.876,333
aitana 1 ESO,19:27:44.959,0
aitana 1 ESO,19:27:49.125,289
aitana 1 ESO,19:27:52.408,261
