Task,TapTime,Milliseconds
Óliver,18:45:27.419,299
Óliver,18:45:30.636,249
Óliver,18:45:33.236,249
Óliver,18:45:36.585,199
Óliver,18:45:38.552,298
Óliver,18:45:40.402,264
Óliver,18:45:42.701,228
Óliver,18:45:45.518,266
Óliver,18:45:48.268,83
Óliver,18:45:50.734,283
Óliver,18:45:52.701,383
Óliver,18:45:55.967,249
Óliver,18:45:59.217,233
Óliver,18:46:02.684,0
Óliver,18:46:07.199,349
Óliver,18:46:11.982,466
Óliver,18:46:14.566,783
Óliver,18:46:16.532,349
Óliver,18:46:21.481,299
Óliver,18:46:25.748,299
Óliver,18:46:28.947,299
Óliver,18:46:32.031,0
Óliver,18:46:35.531,283
Óliver,18:46:37.930,283
Óliver,18:46:40.713,266
Óliver,18:46:44.779,266
Óliver,18:46:49.079,299
Óliver,18:46:51.762,383
Óliver,18:46:54.912,247
Óliver,18:46:59.312,266
Óliver,18:47:02.127,283
Óliver,18:47:04.378,333
Óliver,18:47:07.710,266
Óliver,18:47:08.328,0
Óliver,18:47:11.910,266
Óliver,18:47:16.560,305
Óliver,18:47:19.410,299
Óliver,18:47:23.561,53
Óliver,18:47:23.993,0
Óliver,18:47:25.976,333
Óliver,18:47:29.926,264
Óliver,18:47:33.958,366
Óliver,18:47:37.725,283
Óliver,18:47:41.058,260
Óliver,18:47:43.442,0
Óliver,18:47:46.857,283
Óliver,18:47:49.074,0
Óliver,18:47:51.490,316
Óliver,18:47:55.957,316
Óliver,18:47:59.206,299
Óliver,18:48:01.656,283
Óliver,18:48:06.123,283
Óliver,18:48:08.972,300
Óliver,18:48:11.389,283
Óliver,18:48:14.055,283
Óliver,18:48:16.138,299
Óliver,18:48:19.355,249
Óliver,18:48:23.221,249
Óliver,18:48:25.204,0
Óliver,18:48:29.620,249
Óliver,18:48:32.170,399
Óliver,18:48:35.670,299
Óliver,18:48:38.936,299
Óliver,18:48:42.186,283
Óliver,18:48:44.336,566
Óliver,18:48:47.985,283
Óliver,18:48:50.569,266
Óliver,18:48:53.052,283
Óliver,18:48:56.001,299
Óliver,18:48:58.435,266
Óliver,18:49:00.567,266
Óliver,18:49:02.668,233
Óliver,18:49:05.501,0
Óliver,18:49:06.067,0
Óliver,18:49:07.984,283
Óliver,18:49:11.701,0
Óliver,18:49:14.767,0
Óliver,18:49:16.716,349
Óliver,18:49:19.800,0
Óliver,18:49:20.015,0
Óliver,18:49:24.166,266
Óliver,18:49:28.232,0
Óliver,18:49:31.265,366
Óliver,18:49:33.465,433
Óliver,18:49:35.348,316
Óliver,18:49:37.798,299
Óliver,18:49:40.215,0
Óliver,18:49:44.331,1232
Óliver,18:49:47.013,449
Óliver,18:49:49.680,0
Óliver,18:49:51.980,283
Óliver,18:49:54.080,383
Óliver,18:49:58.062,299
Óliver,18:49:59.513,0
Óliver,18:50:01.696,0
Óliver,18:50:03.463,0
Óliver,18:50:06.196,0
Óliver,18:50:08.845,0
Óliver,18:50:11.428,266
Óliver,18:50:12.862,0
Óliver,18:50:17.095,333
Óliver,18:50:20.844,283
Óliver,18:50:23.894,222
Óliver,18:50:26.627,0
Óliver,18:50:29.843,283
Óliver,18:50:34.359,266
Óliver,18:50:37.209,383
Óliver,18:50:40.242,283
Óliver,18:50:42.141,316
Óliver,18:50:44.942,383
Óliver,18:50:47.375,0
Óliver,18:50:47.658,0
Óliver,18:50:51.508,149
Óliver,18:50:53.475,383
Óliver,18:50:56.741,0
Óliver,18:51:00.374,283
Óliver,18:51:00.690,0
Óliver,18:51:03.757,333
Óliver,18:51:04.624,0
Óliver,18:51:08.340,583
Óliver,18:51:10.789,366
Óliver,18:51:13.839,83
Óliver,18:51:17.606,249
Óliver,18:51:17.956,0
Óliver,18:51:18.789,0
Óliver,18:51:21.205,316
Óliver,18:51:25.255,299
Óliver,18:51:25.922,0
Óliver,18:51:30.055,899
Óliver,18:51:30.421,0
Óliver,18:51:32.055,0
Óliver,18:51:37.937,2449
Óliver,18:51:40.954,466
Óliver,18:51:41.837,0
Óliver,18:51:42.120,0
Óliver,18:51:42.586,0
Óliver,18:51:42.987,0
Óliver,18:51:43.537,0
Óliver,18:51:44.287,0
Óliver,18:51:44.987,0
Óliver,18:51:48.986,233
Óliver,18:51:51.470,0
Óliver,18:51:54.436,283
Óliver,18:51:58.169,416
Óliver,18:51:59.019,0
Óliver,18:52:02.568,349
Óliver,18:52:05.351,399
Óliver,18:52:09.051,366
Óliver,18:52:11.567,416
Óliver,18:52:14.934,49
Óliver,18:52:18.084,333
Óliver,18:52:22.067,316
Óliver,18:52:25.000,449
Óliver,Sex,Hombre
Óliver,Test Duration in seconds,420
Óliver,Number of False Positives,42
Óliver,Average response time ,338
Óliver,Fastest response time ,49
Óliver,Slowest response time ,2449
Óliver,Count of response time over 500ms ,6
