Task,TapTime,Milliseconds
Alejandro Gomariz Lozoya,19:41:23.089,0
Alejandro Gomariz Lozoya,19:41:25.271,459
Alejandro Gomariz Lozoya,19:41:27.254,310
Alejandro Gomariz Lozoya,19:41:28.854,0
Alejandro Gomariz Lozoya,19:41:32.788,0
Alejandro Gomariz Lozoya,19:41:36.120,298
Alejandro Gomariz Lozoya,19:41:38.120,333
Alejandro Gomariz Lozoya,19:41:41.270,349
Alejandro Gomariz Lozoya,19:41:44.086,299
Alejandro Gomariz Lozoya,19:41:47.436,316
Alejandro Gomariz Lozoya,19:41:49.770,0
Alejandro Gomariz Lozoya,19:41:53.469,264
Alejandro Gomariz Lozoya,19:41:56.952,299
Alejandro Gomariz Lozoya,19:41:58.852,266
Alejandro Gomariz Lozoya,19:42:02.502,0
Alejandro Gomariz Lozoya,19:42:07.368,293
Alejandro Gomariz Lozoya,19:42:10.201,397
Alejandro Gomariz Lozoya,19:42:13.784,599
Alejandro Gomariz Lozoya,19:42:14.317,0
Alejandro Gomariz Lozoya,19:42:17.534,0
Alejandro Gomariz Lozoya,19:42:20.000,321
Alejandro Gomariz Lozoya,19:42:23.250,314
Alejandro Gomariz Lozoya,19:42:25.750,566
Alejandro Gomariz Lozoya,19:42:28.233,383
Alejandro Gomariz Lozoya,19:42:30.550,0
Alejandro Gomariz Lozoya,19:42:31.149,0
Alejandro Gomariz Lozoya,19:42:31.683,0
Alejandro Gomariz Lozoya,19:42:33.817,0
Alejandro Gomariz Lozoya,19:42:34.249,0
Alejandro Gomariz Lozoya,19:42:34.649,0
Alejandro Gomariz Lozoya,19:42:38.549,136
Alejandro Gomariz Lozoya,19:42:43.199,416
Alejandro Gomariz Lozoya,19:42:44.315,0
Alejandro Gomariz Lozoya,19:42:47.832,0
Alejandro Gomariz Lozoya,19:42:49.132,0
Alejandro Gomariz Lozoya,19:42:51.048,0
Alejandro Gomariz Lozoya,19:42:55.264,283
Alejandro Gomariz Lozoya,19:42:58.497,516
Alejandro Gomariz Lozoya,19:43:02.930,275
Alejandro Gomariz Lozoya,19:43:04.864,0
Alejandro Gomariz Lozoya,19:43:07.947,292
Alejandro Gomariz Lozoya,19:43:10.247,532
Alejandro Gomariz Lozoya,19:43:14.879,299
Alejandro Gomariz Lozoya,19:43:16.597,0
Alejandro Gomariz Lozoya,19:43:16.929,0
Alejandro Gomariz Lozoya,19:43:18.096,0
Alejandro Gomariz Lozoya,19:43:20.763,383
Alejandro Gomariz Lozoya,19:43:24.479,499
Alejandro Gomariz Lozoya,19:43:27.095,449
Alejandro Gomariz Lozoya,19:43:29.879,0
Alejandro Gomariz Lozoya,19:43:33.645,399
Alejandro Gomariz Lozoya,19:43:37.011,299
Alejandro Gomariz Lozoya,19:43:40.328,283
Alejandro Gomariz Lozoya,19:43:43.578,0
Alejandro Gomariz Lozoya,19:43:46.878,0
Alejandro Gomariz Lozoya,19:43:47.627,0
Alejandro Gomariz Lozoya,19:43:50.210,166
Alejandro Gomariz Lozoya,19:43:53.693,383
Alejandro Gomariz Lozoya,19:43:57.076,547
Alejandro Gomariz Lozoya,19:43:58.659,0
Alejandro Gomariz Lozoya,19:44:00.060,0
Alejandro Gomariz Lozoya,19:44:03.143,366
Alejandro Gomariz Lozoya,19:44:06.792,349
Alejandro Gomariz Lozoya,19:44:07.843,0
Alejandro Gomariz Lozoya,19:44:10.426,0
Alejandro Gomariz Lozoya,19:44:11.042,0
Alejandro Gomariz Lozoya,19:44:12.909,0
Alejandro Gomariz Lozoya,19:44:16.025,0
Alejandro Gomariz Lozoya,19:44:18.042,333
Alejandro Gomariz Lozoya,19:44:20.958,916
Alejandro Gomariz Lozoya,19:44:24.141,432
Alejandro Gomariz Lozoya,19:44:24.758,0
Alejandro Gomariz Lozoya,19:44:25.308,0
Alejandro Gomariz Lozoya,19:44:26.358,0
Alejandro Gomariz Lozoya,19:44:26.990,0
Alejandro Gomariz Lozoya,19:44:28.208,0
Alejandro Gomariz Lozoya,19:44:30.657,483
Alejandro Gomariz Lozoya,19:44:33.824,430
Alejandro Gomariz Lozoya,19:44:37.474,402
Alejandro Gomariz Lozoya,19:44:40.456,349
Alejandro Gomariz Lozoya,19:44:43.690,0
Alejandro Gomariz Lozoya,19:44:47.390,416
Alejandro Gomariz Lozoya,19:44:50.040,0
Alejandro Gomariz Lozoya,19:44:52.522,349
Alejandro Gomariz Lozoya,19:44:56.622,383
Alejandro Gomariz Lozoya,19:44:59.838,533
Alejandro Gomariz Lozoya,19:45:03.955,273
Alejandro Gomariz Lozoya,19:45:06.171,333
Alejandro Gomariz Lozoya,19:45:06.671,0
Alejandro Gomariz Lozoya,19:45:07.305,0
Alejandro Gomariz Lozoya,19:45:11.087,316
Alejandro Gomariz Lozoya,19:45:13.687,316
Alejandro Gomariz Lozoya,19:45:15.071,0
Alejandro Gomariz Lozoya,19:45:17.871,0
Alejandro Gomariz Lozoya,19:45:20.253,16
Alejandro Gomariz Lozoya,19:45:24.486,1214
Alejandro Gomariz Lozoya,19:45:27.569,437
Alejandro Gomariz Lozoya,19:45:29.170,0
Alejandro Gomariz Lozoya,19:45:33.369,399
Alejandro Gomariz Lozoya,19:45:36.619,382
Alejandro Gomariz Lozoya,19:45:38.885,449
Alejandro Gomariz Lozoya,19:45:40.519,0
Alejandro Gomariz Lozoya,19:45:44.302,333
Alejandro Gomariz Lozoya,19:45:46.835,333
Alejandro Gomariz Lozoya,19:45:48.569,0
Alejandro Gomariz Lozoya,19:45:50.568,0
Alejandro Gomariz Lozoya,19:45:54.202,0
Alejandro Gomariz Lozoya,19:45:55.167,0
Alejandro Gomariz Lozoya,19:45:58.068,0
Alejandro Gomariz Lozoya,19:46:00.033,0
Alejandro Gomariz Lozoya,19:46:02.601,0
Alejandro Gomariz Lozoya,19:46:05.000,299
Alejandro Gomariz Lozoya,19:46:08.817,316
Alejandro Gomariz Lozoya,19:46:11.900,266
Alejandro Gomariz Lozoya,19:46:13.700,0
Alejandro Gomariz Lozoya,19:46:16.449,349
Alejandro Gomariz Lozoya,19:46:19.133,233
Alejandro Gomariz Lozoya,19:46:22.049,349
Alejandro Gomariz Lozoya,19:46:23.133,0
Alejandro Gomariz Lozoya,19:46:25.249,0
Alejandro Gomariz Lozoya,19:46:28.132,0
Alejandro Gomariz Lozoya,19:46:32.048,283
Alejandro Gomariz Lozoya,19:46:35.581,83
Alejandro Gomariz Lozoya,19:46:39.264,366
Alejandro Gomariz Lozoya,19:46:44.031,1066
Alejandro Gomariz Lozoya,19:46:45.997,433
Alejandro Gomariz Lozoya,19:46:47.281,0
Alejandro Gomariz Lozoya,19:46:51.981,949
Alejandro Gomariz Lozoya,19:46:52.230,0
Alejandro Gomariz Lozoya,19:46:52.413,0
Alejandro Gomariz Lozoya,19:46:54.430,447
Alejandro Gomariz Lozoya,19:46:57.163,333
Alejandro Gomariz Lozoya,19:46:58.163,0
Alejandro Gomariz Lozoya,19:46:59.847,0
Alejandro Gomariz Lozoya,19:47:01.263,0
Alejandro Gomariz Lozoya,19:47:05.480,0
Alejandro Gomariz Lozoya,19:47:09.362,266
Alejandro Gomariz Lozoya,19:47:12.712,55
Alejandro Gomariz Lozoya,19:47:15.312,283
Alejandro Gomariz Lozoya,19:47:17.679,0
Alejandro Gomariz Lozoya,19:47:19.762,0
Alejandro Gomariz Lozoya,19:47:20.711,0
Alejandro Gomariz Lozoya,19:47:22.395,0
Alejandro Gomariz Lozoya,19:47:25.778,283
Alejandro Gomariz Lozoya,19:47:28.794,366
Alejandro Gomariz Lozoya,19:47:32.727,766
Alejandro Gomariz Lozoya,19:47:34.910,330
Alejandro Gomariz Lozoya,19:47:36.344,0
Alejandro Gomariz Lozoya,19:47:37.994,0
Alejandro Gomariz Lozoya,19:47:39.977,283
Alejandro Gomariz Lozoya,19:47:43.260,0
Alejandro Gomariz Lozoya,19:47:45.426,0
Alejandro Gomariz Lozoya,19:47:49.559,266
Alejandro Gomariz Lozoya,19:47:53.226,333
Alejandro Gomariz Lozoya,19:47:56.575,949
Alejandro Gomariz Lozoya,19:47:59.708,253
Alejandro Gomariz Lozoya,19:48:02.725,67
Alejandro Gomariz Lozoya,19:48:06.408,0
Alejandro Gomariz Lozoya,19:48:09.724,499
Alejandro Gomariz Lozoya,19:48:12.908,0
Alejandro Gomariz Lozoya,19:48:15.591,33
Alejandro Gomariz Lozoya,19:48:19.390,366
Alejandro Gomariz Lozoya,19:48:21.691,0
Alejandro Gomariz Lozoya,Sex,
Alejandro Gomariz Lozoya,Test Duration in seconds,420
Alejandro Gomariz Lozoya,Number of False Positives,74
Alejandro Gomariz Lozoya,Average response time ,381
Alejandro Gomariz Lozoya,Fastest response time ,16
Alejandro Gomariz Lozoya,Slowest response time ,1214
Alejandro Gomariz Lozoya,Count of response time over 500ms ,12
