Task,TapTime,Milliseconds
gabriel,19:08:53.796,580
gabriel,19:08:56.097,0
gabriel,19:08:59.262,332
gabriel,19:09:01.362,432
gabriel,19:09:05.796,333
gabriel,19:09:10.062,333
gabriel,19:09:12.778,449
gabriel,19:09:15.362,0
gabriel,19:09:19.161,0
gabriel,19:09:23.560,366
gabriel,19:09:26.494,0
gabriel,19:09:26.860,0
gabriel,19:09:29.310,116
gabriel,19:09:31.843,328
gabriel,19:09:33.810,0
gabriel,19:09:35.876,0
gabriel,19:09:38.292,299
gabriel,19:09:40.975,383
gabriel,19:09:45.042,249
gabriel,19:09:47.592,0
gabriel,19:09:49.159,0
gabriel,19:09:54.091,299
gabriel,19:09:58.541,349
gabriel,19:10:01.057,447
gabriel,19:10:04.857,333
gabriel,19:10:09.673,416
gabriel,19:10:11.407,0
gabriel,19:10:11.806,0
gabriel,19:10:11.838,0
gabriel,19:10:16.572,323
gabriel,19:10:19.289,0
gabriel,19:10:22.489,299
gabriel,19:10:26.088,299
gabriel,19:10:30.238,316
gabriel,19:10:34.954,299
gabriel,19:10:38.121,423
gabriel,19:10:41.754,299
gabriel,19:10:45.270,349
gabriel,19:10:47.786,114
gabriel,19:10:47.970,0
gabriel,19:10:50.553,301
gabriel,19:10:54.836,383
gabriel,19:10:56.819,0
gabriel,19:10:59.069,0
gabriel,19:11:01.069,0
gabriel,19:11:04.635,383
gabriel,19:11:07.819,0
gabriel,19:11:10.334,616
gabriel,19:11:11.635,0
gabriel,19:11:13.651,399
gabriel,19:11:16.317,399
gabriel,19:11:20.067,349
gabriel,19:11:23.650,0
gabriel,19:11:23.983,0
gabriel,19:11:28.683,366
gabriel,19:11:31.066,0
gabriel,19:11:33.650,0
gabriel,19:11:35.466,0
gabriel,19:11:36.148,0
gabriel,19:11:40.215,433
gabriel,19:11:47.648,4332
gabriel,19:11:50.381,399
gabriel,19:11:52.581,0
gabriel,19:11:55.914,199
gabriel,19:11:58.997,330
gabriel,19:12:01.947,299
gabriel,19:12:04.246,287
gabriel,19:12:06.446,333
gabriel,19:12:08.463,0
gabriel,19:12:13.029,316
gabriel,19:12:14.613,0
gabriel,19:12:16.279,0
gabriel,19:12:20.778,333
gabriel,19:12:24.428,49
gabriel,19:12:29.211,2499
gabriel,19:12:29.626,0
gabriel,19:12:31.611,0
gabriel,19:12:34.444,0
gabriel,19:12:37.877,299
gabriel,19:12:39.310,0
gabriel,19:12:43.893,449
gabriel,19:12:46.709,1066
gabriel,19:12:50.342,299
gabriel,19:12:53.342,366
gabriel,19:12:56.808,366
gabriel,19:13:00.592,0
gabriel,19:13:03.891,1316
gabriel,19:13:06.607,299
gabriel,19:13:10.007,299
gabriel,19:13:11.724,0
gabriel,19:13:14.157,0
gabriel,19:13:17.490,316
gabriel,19:13:20.806,299
gabriel,19:13:21.323,0
gabriel,19:13:23.023,0
gabriel,19:13:26.173,0
gabriel,19:13:28.406,433
gabriel,19:13:31.722,263
gabriel,19:13:33.506,0
gabriel,19:13:34.438,0
gabriel,19:13:35.789,0
gabriel,19:13:37.439,0
gabriel,19:13:38.271,0
gabriel,19:13:39.289,0
gabriel,19:13:41.055,0
gabriel,19:13:42.922,0
gabriel,19:13:44.205,0
gabriel,19:13:47.637,333
gabriel,19:13:50.454,390
gabriel,19:13:53.237,0
gabriel,19:13:55.804,0
gabriel,19:13:56.953,0
gabriel,19:13:58.170,0
gabriel,19:13:58.836,0
gabriel,19:14:03.719,416
gabriel,19:14:07.252,949
gabriel,19:14:11.085,383
gabriel,19:14:14.702,333
gabriel,19:14:17.985,483
gabriel,19:14:20.451,616
gabriel,19:14:21.418,0
gabriel,19:14:22.718,0
gabriel,19:14:27.167,333
gabriel,19:14:31.633,385
gabriel,19:14:31.667,0
gabriel,19:14:35.100,333
gabriel,19:14:39.916,380
gabriel,19:14:43.799,33
gabriel,19:14:49.282,983
gabriel,19:14:50.532,0
gabriel,19:14:54.398,366
gabriel,19:14:57.948,183
gabriel,19:15:00.998,0
gabriel,19:15:04.081,316
gabriel,19:15:06.581,478
gabriel,19:15:09.131,0
gabriel,19:15:11.197,433
gabriel,19:15:13.363,399
gabriel,19:15:15.114,0
gabriel,19:15:17.846,349
gabriel,19:15:20.496,0
gabriel,19:15:24.379,349
gabriel,19:15:27.929,233
gabriel,19:15:31.678,316
gabriel,19:15:35.495,0
gabriel,19:15:39.127,366
gabriel,19:15:41.994,366
gabriel,19:15:45.510,83
gabriel,19:15:48.127,766
gabriel,19:15:50.593,299
gabriel,19:15:52.894,0
gabriel,Sex,
gabriel,Test Duration in seconds,420
gabriel,Number of False Positives,63
gabriel,Average response time ,448
gabriel,Fastest response time ,33
gabriel,Slowest response time ,4332
gabriel,Count of response time over 500ms ,10
