Task,TapTime,Milliseconds
Bosco,18:00:22.536,1866
Bosco,18:00:23.203,0
Bosco,18:00:27.420,0
Bosco,18:00:27.685,0
Bosco,18:00:30.435,323
Bosco,18:00:32.419,349
Bosco,18:00:34.502,0
Bosco,18:00:36.885,264
Bosco,18:00:39.101,433
Bosco,18:00:40.918,249
Bosco,18:00:42.718,0
Bosco,18:00:44.518,0
Bosco,18:00:46.318,0
Bosco,18:00:51.284,283
Bosco,18:00:55.633,366
Bosco,18:00:57.034,0
Bosco,18:00:58.567,0
Bosco,18:00:59.499,0
Bosco,18:01:03.449,516
Bosco,18:01:06.249,583
Bosco,18:01:08.199,333
Bosco,18:01:09.799,0
Bosco,18:01:12.898,299
Bosco,18:01:14.932,425
Bosco,18:01:19.165,299
Bosco,18:01:21.265,333
Bosco,18:01:23.981,249
Bosco,18:01:24.998,0
Bosco,18:01:29.197,466
Bosco,18:01:31.097,366
Bosco,18:01:34.030,299
Bosco,18:01:36.563,299
Bosco,18:01:40.863,314
Bosco,18:01:43.629,366
Bosco,18:01:46.230,0
Bosco,18:01:48.662,333
Bosco,18:01:52.628,299
Bosco,18:01:56.295,366
Bosco,18:01:59.245,352
Bosco,18:02:01.895,0
Bosco,18:02:04.194,286
Bosco,18:02:04.478,0
Bosco,18:02:08.344,349
Bosco,18:02:11.527,266
Bosco,18:02:15.977,316
Bosco,18:02:18.493,366
Bosco,18:02:20.609,349
Bosco,18:02:23.026,299
Bosco,18:02:26.292,299
Bosco,18:02:27.543,0
Bosco,18:02:32.375,316
Bosco,18:02:35.558,299
Bosco,18:02:37.708,516
Bosco,18:02:41.808,282
Bosco,18:02:45.691,299
Bosco,18:02:49.240,297
Bosco,18:02:53.507,0
Bosco,18:02:55.657,466
Bosco,18:02:59.390,333
Bosco,18:02:59.907,0
Bosco,18:03:03.423,299
Bosco,18:03:05.689,366
Bosco,18:03:09.305,316
Bosco,18:03:11.789,399
Bosco,18:03:12.622,0
Bosco,18:03:13.456,0
