Task,TapTime,Milliseconds
carlos,18:53:55.903,249
carlos,18:53:57.969,270
carlos,18:54:00.236,264
carlos,18:54:03.686,283
carlos,18:54:07.386,0
carlos,18:54:11.468,266
carlos,18:54:15.135,333
carlos,18:54:19.317,316
carlos,18:54:22.184,680
carlos,18:54:26.333,332
carlos,18:54:28.600,466
carlos,18:54:31.017,330
carlos,18:54:33.483,0
carlos,18:54:38.432,299
carlos,18:54:40.932,333
carlos,18:54:43.499,299
carlos,18:54:46.465,264
carlos,18:54:49.998,266
carlos,18:54:54.831,326
carlos,18:54:59.014,282
carlos,18:55:03.497,299
carlos,18:55:06.347,549
carlos,18:55:10.113,316
carlos,18:55:13.879,349
carlos,18:55:16.429,366
carlos,18:55:19.762,258
carlos,18:55:22.745,282
carlos,18:55:25.529,266
carlos,18:55:28.446,0
carlos,18:55:32.628,299
carlos,18:55:35.244,382
carlos,18:55:38.244,316
carlos,18:55:40.460,466
carlos,18:55:43.827,299
carlos,18:55:48.260,332
carlos,18:55:51.943,282
carlos,18:55:54.459,399
carlos,18:55:59.426,299
carlos,18:56:03.542,282
carlos,18:56:06.792,399
carlos,18:56:09.191,332
carlos,18:56:12.858,266
carlos,18:56:17.341,330
carlos,18:56:21.357,366
carlos,18:56:23.924,332
carlos,18:56:27.307,249
carlos,18:56:29.790,285
carlos,18:56:32.706,316
carlos,18:56:35.790,266
carlos,18:56:37.690,0
carlos,18:56:42.055,266
carlos,18:56:46.272,282
carlos,18:56:49.288,312
carlos,18:56:52.321,266
carlos,18:56:55.522,245
carlos,18:57:00.037,316
carlos,18:57:04.470,294
carlos,18:57:07.753,366
carlos,18:57:10.020,566
carlos,18:57:14.769,265
carlos,18:57:17.169,316
carlos,18:57:20.019,299
carlos,18:57:24.285,299
carlos,18:57:27.818,299
carlos,18:57:30.635,364
carlos,18:57:34.768,263
carlos,18:57:38.601,283
carlos,18:57:40.968,449
carlos,18:57:43.084,366
carlos,18:57:46.967,312
carlos,18:57:50.816,99
carlos,18:57:54.616,299
carlos,18:57:57.632,316
carlos,18:58:02.082,227
carlos,18:58:05.215,299
carlos,18:58:08.398,216
carlos,18:58:10.682,699
carlos,18:58:15.015,299
carlos,18:58:17.547,366
carlos,18:58:21.814,299
carlos,18:58:24.364,449
carlos,18:58:29.280,433
carlos,18:58:32.813,299
carlos,18:58:36.246,266
carlos,18:58:40.162,249
carlos,18:58:44.028,249
carlos,18:58:46.212,499
carlos,18:58:49.045,333
carlos,18:58:51.995,483
carlos,18:58:55.311,266
carlos,18:58:58.311,266
carlos,18:59:01.144,632
carlos,18:59:04.777,272
carlos,18:59:07.510,466
carlos,18:59:10.976,266
carlos,18:59:15.009,299
carlos,18:59:18.042,332
carlos,18:59:21.759,316
carlos,18:59:24.192,349
carlos,18:59:28.725,283
carlos,18:59:32.325,283
carlos,18:59:34.908,403
carlos,18:59:38.407,366
carlos,18:59:41.924,264
carlos,18:59:46.257,283
carlos,18:59:48.790,349
carlos,18:59:52.556,449
carlos,18:59:56.839,333
carlos,18:59:58.922,483
carlos,19:00:01.905,399
carlos,19:00:04.105,333
carlos,19:00:08.755,249
carlos,19:00:11.338,366
carlos,19:00:14.254,283
carlos,19:00:17.487,249
carlos,19:00:20.220,316
carlos,19:00:22.587,416
carlos,19:00:25.454,283
carlos,19:00:29.303,266
carlos,19:00:33.036,332
carlos,19:00:35.552,316
carlos,19:00:39.570,0
carlos,19:00:42.836,333
carlos,19:00:45.418,449
carlos,19:00:47.735,499
carlos,19:00:50.251,283
carlos,19:00:52.701,333
carlos,19:00:55.501,0
carlos,Sex,
carlos,Test Duration in seconds,422
carlos,Number of False Positives,6
carlos,Average response time ,332
carlos,Fastest response time ,99
carlos,Slowest response time ,699
carlos,Count of response time over 500ms ,5
