Task,TapTime,Milliseconds
jesus,18:25:10.093,266
jesus,18:25:13.043,283
jesus,18:25:15.909,0
jesus,18:25:18.326,0
jesus,18:25:21.975,283
jesus,18:25:25.708,283
jesus,18:25:28.158,266
jesus,18:25:31.725,0
jesus,18:25:34.991,299
jesus,18:25:38.540,249
jesus,18:25:39.424,0
jesus,18:25:44.123,433
jesus,18:25:46.323,433
jesus,18:25:48.256,299
jesus,18:25:50.439,283
jesus,18:25:53.956,333
jesus,18:25:56.872,383
jesus,18:25:59.955,399
jesus,18:26:04.754,247
jesus,18:26:07.705,0
jesus,18:26:11.937,316
jesus,18:26:15.570,283
jesus,18:26:18.370,283
jesus,18:26:21.737,0
jesus,18:26:26.519,260
jesus,18:26:30.169,483
jesus,18:26:33.019,314
jesus,18:26:35.785,276
jesus,18:26:40.001,316
jesus,18:26:42.601,516
jesus,18:26:45.968,349
jesus,18:26:47.401,0
jesus,18:26:50.818,0
jesus,18:26:53.550,266
jesus,18:26:56.417,333
jesus,18:27:01.000,382
jesus,18:27:05.899,416
jesus,18:27:10.849,280
jesus,18:27:14.365,283
jesus,18:27:17.015,290
jesus,18:27:21.581,322
jesus,18:27:26.264,383
jesus,18:27:29.997,297
jesus,18:27:32.464,0
jesus,18:27:35.097,349
jesus,18:27:38.247,433
jesus,18:27:42.396,316
jesus,18:27:45.946,266
jesus,18:27:48.746,0
jesus,18:27:53.295,283
jesus,18:27:58.161,416
jesus,18:28:00.011,333
jesus,18:28:04.194,316
jesus,18:28:06.627,368
jesus,18:28:08.894,257
jesus,18:28:12.127,316
jesus,18:28:14.577,299
jesus,18:28:18.577,0
jesus,18:28:23.492,349
jesus,18:28:27.092,330
jesus,18:28:29.959,482
jesus,18:28:33.525,267
jesus,18:28:38.191,449
jesus,18:28:40.158,416
jesus,18:28:43.124,316
jesus,18:28:46.341,266
jesus,18:28:49.740,266
jesus,18:28:53.540,266
jesus,18:28:57.190,0
jesus,18:28:59.573,299
jesus,18:29:03.439,299
jesus,18:29:08.055,316
jesus,18:29:12.755,416
jesus,18:29:15.738,333
jesus,18:29:18.604,333
jesus,18:29:20.504,299
jesus,18:29:23.471,333
jesus,18:29:26.920,316
jesus,18:29:28.870,275
jesus,18:29:30.637,233
jesus,18:29:31.987,0
jesus,18:29:32.436,0
jesus,18:29:36.136,266
jesus,18:29:40.986,316
jesus,18:29:44.069,0
jesus,18:29:47.086,0
jesus,18:29:48.018,0
jesus,18:29:51.435,366
jesus,18:29:56.018,349
jesus,18:30:00.684,349
jesus,18:30:04.500,299
jesus,18:30:07.584,316
jesus,18:30:11.516,383
jesus,18:30:15.184,183
jesus,18:30:18.550,0
jesus,18:30:19.066,0
jesus,18:30:22.349,0
jesus,18:30:25.165,299
jesus,18:30:29.965,633
jesus,18:30:33.798,333
jesus,18:30:36.964,299
jesus,18:30:39.781,0
jesus,18:30:41.997,266
jesus,18:30:46.430,366
jesus,18:30:50.530,266
jesus,18:30:53.346,349
jesus,18:30:56.596,0
jesus,18:30:58.812,349
jesus,18:31:01.745,283
jesus,18:31:06.245,316
jesus,18:31:09.545,483
jesus,18:31:14.278,483
jesus,18:31:18.411,349
jesus,18:31:23.277,349
jesus,18:31:26.560,302
jesus,18:31:28.560,432
jesus,18:31:32.809,416
jesus,18:31:36.176,516
jesus,18:31:40.309,382
jesus,18:31:43.775,316
jesus,18:31:47.775,316
jesus,18:31:52.374,249
jesus,18:31:55.274,482
jesus,18:31:59.074,282
jesus,18:32:02.407,282
jesus,18:32:07.023,366
jesus,18:32:09.373,382
jesus,Sex,
jesus,Test Duration in seconds,421
jesus,Number of False Positives,22
jesus,Average response time ,334
jesus,Fastest response time ,183
jesus,Slowest response time ,633
jesus,Count of response time over 500ms ,3
