Task,TapTime,Milliseconds
Kai González Castellanos ,19:01:15.588,626
Kai González Castellanos ,19:01:18.054,383
Kai González Castellanos ,19:01:21.137,266
Kai González Castellanos ,19:01:23.587,316
Kai González Castellanos ,19:01:25.720,316
Kai González Castellanos ,19:01:27.720,249
Kai González Castellanos ,19:01:29.820,83
Kai González Castellanos ,19:01:31.387,0
Kai González Castellanos ,19:01:33.453,249
Kai González Castellanos ,19:01:35.403,0
Kai González Castellanos ,19:01:37.819,349
Kai González Castellanos ,19:01:40.235,299
Kai González Castellanos ,19:01:44.652,316
Kai González Castellanos ,19:01:48.202,333
Kai González Castellanos ,19:01:52.885,349
Kai González Castellanos ,19:01:56.001,266
Kai González Castellanos ,19:01:59.084,282
Kai González Castellanos ,19:02:02.617,308
Kai González Castellanos ,19:02:04.984,0
Kai González Castellanos ,19:02:07.634,0
Kai González Castellanos ,19:02:10.133,314
Kai González Castellanos ,19:02:12.433,279
Kai González Castellanos ,19:02:14.583,0
Kai González Castellanos ,19:02:17.982,362
Kai González Castellanos ,19:02:21.666,314
Kai González Castellanos ,19:02:25.765,233
Kai González Castellanos ,19:02:29.965,299
Kai González Castellanos ,19:02:33.882,0
Kai González Castellanos ,19:02:37.048,316
Kai González Castellanos ,19:02:40.031,299
Kai González Castellanos ,19:02:42.564,0
Kai González Castellanos ,19:02:46.147,283
Kai González Castellanos ,19:02:50.880,149
Kai González Castellanos ,19:02:54.563,33
Kai González Castellanos ,19:02:57.812,149
Kai González Castellanos ,19:02:59.580,0
Kai González Castellanos ,19:03:03.179,0
Kai González Castellanos ,19:03:04.262,0
Kai González Castellanos ,19:03:08.012,283
Kai González Castellanos ,19:03:10.911,316
Kai González Castellanos ,19:03:14.695,366
Kai González Castellanos ,19:03:17.944,349
Kai González Castellanos ,19:03:22.361,299
Kai González Castellanos ,19:03:25.378,0
Kai González Castellanos ,19:03:27.893,366
Kai González Castellanos ,19:03:30.110,383
Kai González Castellanos ,19:03:33.060,0
Kai González Castellanos ,19:03:36.526,266
Kai González Castellanos ,19:03:37.360,0
Kai González Castellanos ,19:03:41.909,383
Kai González Castellanos ,19:03:44.126,380
Kai González Castellanos ,19:03:46.209,349
Kai González Castellanos ,19:03:47.592,0
Kai González Castellanos ,19:03:51.324,0
Kai González Castellanos ,19:03:51.708,0
Kai González Castellanos ,19:03:54.509,0
Kai González Castellanos ,19:03:57.891,433
Kai González Castellanos ,19:04:00.808,416
Kai González Castellanos ,19:04:03.575,0
Kai González Castellanos ,19:04:06.074,283
Kai González Castellanos ,19:04:08.290,366
Kai González Castellanos ,19:04:08.457,0
Kai González Castellanos ,19:04:11.073,349
Kai González Castellanos ,19:04:13.440,249
Kai González Castellanos ,19:04:15.773,249
Kai González Castellanos ,19:04:18.506,316
Kai González Castellanos ,19:04:20.690,0
Kai González Castellanos ,19:04:23.656,333
Kai González Castellanos ,19:04:25.922,533
Kai González Castellanos ,19:04:29.088,299
Kai González Castellanos ,19:04:34.122,333
Kai González Castellanos ,19:04:36.371,449
Kai González Castellanos ,19:04:39.772,0
Kai González Castellanos ,19:04:40.838,0
Kai González Castellanos ,19:04:43.087,366
Kai González Castellanos ,19:04:46.621,366
Kai González Castellanos ,19:04:48.954,366
Kai González Castellanos ,19:04:52.237,316
Kai González Castellanos ,19:04:55.186,447
Kai González Castellanos ,19:04:58.903,783
Kai González Castellanos ,19:05:01.169,383
Kai González Castellanos ,19:05:03.686,0
Kai González Castellanos ,19:05:06.736,483
Kai González Castellanos ,19:05:09.536,0
Kai González Castellanos ,19:05:11.802,349
Kai González Castellanos ,19:05:16.618,299
Kai González Castellanos ,19:05:20.085,0
Kai González Castellanos ,19:05:22.468,283
Kai González Castellanos ,19:05:25.235,0
Kai González Castellanos ,19:05:27.634,324
Kai González Castellanos ,19:05:32.833,849
Kai González Castellanos ,19:05:35.633,316
Kai González Castellanos ,19:05:38.533,283
Kai González Castellanos ,19:05:39.233,0
Kai González Castellanos ,19:05:40.383,0
Kai González Castellanos ,19:05:41.382,0
Kai González Castellanos ,19:05:43.383,466
Kai González Castellanos ,19:05:47.549,331
Kai González Castellanos ,19:05:51.515,533
Kai González Castellanos ,19:05:54.182,35
Kai González Castellanos ,19:05:56.915,0
Kai González Castellanos ,19:05:59.048,527
Kai González Castellanos ,19:06:02.498,0
Kai González Castellanos ,19:06:05.548,0
Kai González Castellanos ,19:06:07.797,650
Kai González Castellanos ,19:06:09.930,16
Kai González Castellanos ,19:06:12.564,583
Kai González Castellanos ,19:06:16.763,349
Kai González Castellanos ,19:06:19.447,0
Kai González Castellanos ,19:06:21.980,0
Kai González Castellanos ,19:06:24.163,0
Kai González Castellanos ,19:06:26.512,266
Kai González Castellanos ,19:06:28.879,366
Kai González Castellanos ,19:06:30.929,197
Kai González Castellanos ,19:06:34.212,166
Kai González Castellanos ,19:06:37.595,0
Kai González Castellanos ,19:06:41.761,316
Kai González Castellanos ,19:06:46.111,333
Kai González Castellanos ,19:06:51.044,733
Kai González Castellanos ,19:06:53.277,566
Kai González Castellanos ,19:06:57.527,283
Kai González Castellanos ,19:06:59.710,333
Kai González Castellanos ,19:07:02.193,283
Kai González Castellanos ,19:07:03.691,0
Kai González Castellanos ,19:07:06.543,0
Kai González Castellanos ,19:07:09.809,347
Kai González Castellanos ,19:07:12.693,0
Kai González Castellanos ,19:07:14.709,378
Kai González Castellanos ,19:07:19.208,414
Kai González Castellanos ,19:07:23.658,385
Kai González Castellanos ,19:07:27.691,463
Kai González Castellanos ,19:07:31.024,309
Kai González Castellanos ,19:07:34.191,0
Kai González Castellanos ,19:07:36.557,0
Kai González Castellanos ,19:07:38.907,0
Kai González Castellanos ,19:07:42.057,0
Kai González Castellanos ,19:07:45.123,283
Kai González Castellanos ,19:07:47.656,346
Kai González Castellanos ,19:07:51.839,333
Kai González Castellanos ,19:07:54.005,366
Kai González Castellanos ,19:07:56.655,483
Kai González Castellanos ,19:07:58.738,299
Kai González Castellanos ,19:08:03.354,316
Kai González Castellanos ,19:08:06.438,0
Kai González Castellanos ,19:08:09.821,0
Kai González Castellanos ,19:08:12.654,397
Kai González Castellanos ,Sex,
Kai González Castellanos ,Test Duration in seconds,420
Kai González Castellanos ,Number of False Positives,45
Kai González Castellanos ,Average response time ,346
Kai González Castellanos ,Fastest response time ,16
Kai González Castellanos ,Slowest response time ,849
Kai González Castellanos ,Count of response time over 500ms ,10
