Task,TapTime,Milliseconds
Víctor,19:10:46.907,364
Víctor,19:10:51.123,332
Víctor,19:10:55.973,316
Víctor,19:10:59.906,316
Víctor,19:11:04.489,299
Víctor,19:11:07.522,399
Víctor,19:11:10.455,335
Víctor,19:11:14.705,1249
Víctor,19:11:18.705,316
Víctor,19:11:23.104,316
Víctor,19:11:26.905,0
Víctor,19:11:30.837,249
Víctor,19:11:35.287,299
Víctor,19:11:37.604,483
Víctor,19:11:40.870,283
Víctor,19:11:44.637,0
Víctor,19:11:49.286,299
Víctor,19:11:53.435,316
Víctor,19:11:56.752,433
Víctor,19:12:01.085,299
Víctor,19:12:03.351,499
Víctor,19:12:05.551,366
Víctor,19:12:09.034,313
Víctor,19:12:12.917,279
Víctor,19:12:14.951,0
Víctor,19:12:19.917,301
Víctor,19:12:22.000,393
Víctor,19:12:25.800,349
Víctor,19:12:28.316,333
Víctor,19:12:31.966,316
Víctor,19:12:35.999,282
Víctor,19:12:38.033,430
Víctor,19:12:40.349,271
Víctor,19:12:42.599,278
Víctor,19:12:46.082,299
Víctor,19:12:49.281,299
Víctor,19:12:52.248,314
Víctor,19:12:56.697,297
Víctor,19:13:01.030,316
Víctor,19:13:03.330,416
Víctor,19:13:05.647,373
Víctor,19:13:07.763,316
Víctor,19:13:10.114,0
Víctor,19:13:13.247,0
Víctor,19:13:17.579,372
Víctor,19:13:20.596,397
Víctor,19:13:25.045,380
Víctor,19:13:27.928,349
Víctor,19:13:30.595,283
Víctor,19:13:34.461,149
Víctor,19:13:37.878,239
Víctor,19:13:40.111,365
Víctor,19:13:44.844,314
Víctor,19:13:49.344,277
Víctor,19:13:52.510,514
Víctor,19:13:57.076,299
Víctor,19:14:01.343,299
Víctor,19:14:05.293,295
Víctor,19:14:08.676,335
Víctor,19:14:12.142,268
Víctor,19:14:15.708,271
Víctor,19:14:19.342,0
Víctor,19:14:21.675,0
Víctor,19:14:24.875,0
Víctor,19:14:28.324,393
Víctor,19:14:31.374,328
Víctor,19:14:34.440,314
Víctor,19:14:38.340,296
Víctor,19:14:41.207,0
Víctor,19:14:43.723,390
Víctor,19:14:47.539,280
Víctor,19:14:49.639,532
Víctor,19:14:51.656,0
Víctor,19:14:54.305,414
Víctor,19:14:58.156,0
Víctor,19:15:00.588,395
Víctor,19:15:03.538,342
Víctor,19:15:05.137,0
Víctor,19:15:05.786,0
Víctor,19:15:07.405,0
Víctor,19:15:12.071,299
Víctor,19:15:15.588,416
Víctor,19:15:19.587,349
Víctor,19:15:22.520,283
Víctor,19:15:25.087,357
Víctor,19:15:28.653,327
Víctor,19:15:33.553,294
Víctor,19:15:38.219,316
Víctor,19:15:42.685,316
Víctor,19:15:46.036,0
Víctor,19:15:49.651,949
Víctor,19:15:53.335,546
Víctor,19:15:55.651,388
Víctor,19:15:58.134,347
Víctor,19:16:00.435,0
Víctor,19:16:00.700,0
Víctor,19:16:01.801,0
Víctor,19:16:04.118,0
Víctor,19:16:04.900,0
Víctor,19:16:05.584,0
Víctor,19:16:07.034,0
Víctor,19:16:11.750,286
Víctor,19:16:15.266,403
Víctor,19:16:18.349,288
Víctor,19:16:22.633,0
Víctor,19:16:27.115,282
Víctor,19:16:29.382,343
Víctor,19:16:32.515,282
Víctor,19:16:36.065,0
Víctor,19:16:38.331,366
Víctor,19:16:42.931,290
Víctor,19:16:45.481,424
Víctor,19:16:49.080,316
Víctor,19:16:51.280,449
Víctor,19:16:54.497,358
Víctor,19:16:57.813,284
Víctor,19:17:00.246,280
Víctor,19:17:01.696,0
Víctor,19:17:05.713,0
Víctor,19:17:10.345,294
Víctor,19:17:12.345,427
Víctor,19:17:16.145,582
Víctor,19:17:18.345,449
Víctor,19:17:22.144,382
Víctor,19:17:26.161,266
Víctor,19:17:28.461,432
Víctor,19:17:32.910,269
Víctor,19:17:36.660,347
Víctor,19:17:40.977,264
Víctor,19:17:45.859,299
Víctor,Sex,
Víctor,Test Duration in seconds,422
Víctor,Number of False Positives,26
Víctor,Average response time ,354
Víctor,Fastest response time ,149
Víctor,Slowest response time ,1249
Víctor,Count of response time over 500ms ,6
