Task,TapTime,Milliseconds
Eneko 6ºB,17:45:15.033,332
Eneko 6ºB,17:45:18.466,299
Eneko 6ºB,17:45:21.333,0
Eneko 6ºB,17:45:21.549,0
Eneko 6ºB,17:45:24.400,0
Eneko 6ºB,17:45:25.600,0
Eneko 6ºB,17:45:27.966,247
Eneko 6ºB,17:45:31.232,399
Eneko 6ºB,17:45:33.915,229
Eneko 6ºB,17:45:36.082,290
Eneko 6ºB,17:45:38.165,0
Eneko 6ºB,17:45:40.665,0
Eneko 6ºB,17:45:43.564,266
Eneko 6ºB,17:45:46.514,0
Eneko 6ºB,17:45:50.597,366
Eneko 6ºB,17:45:53.363,399
Eneko 6ºB,17:45:57.930,699
Eneko 6ºB,17:46:01.996,366
Eneko 6ºB,17:46:04.846,349
Eneko 6ºB,17:46:07.312,483
Eneko 6ºB,17:46:09.829,333
Eneko 6ºB,17:46:13.296,0
Eneko 6ºB,17:46:17.161,266
Eneko 6ºB,17:46:19.811,649
Eneko 6ºB,17:46:23.794,33
Eneko 6ºB,17:46:26.427,532
Eneko 6ºB,17:46:29.928,0
Eneko 6ºB,17:46:31.910,283
Eneko 6ºB,17:46:34.360,333
Eneko 6ºB,17:46:36.943,0
Eneko 6ºB,17:46:39.243,194
Eneko 6ºB,17:46:42.576,0
Eneko 6ºB,17:46:44.759,599
Eneko 6ºB,17:46:47.726,0
Eneko 6ºB,17:46:48.708,0
Eneko 6ºB,17:46:49.542,0
Eneko 6ºB,17:46:52.542,249
Eneko 6ºB,17:46:55.975,0
Eneko 6ºB,17:46:58.458,347
Eneko 6ºB,17:47:01.658,389
Eneko 6ºB,17:47:03.625,0
Eneko 6ºB,17:47:05.790,547
Eneko 6ºB,17:47:10.573,247
Eneko 6ºB,17:47:12.307,0
Eneko 6ºB,17:47:16.523,0
Eneko 6ºB,17:47:18.623,514
Eneko 6ºB,17:47:22.673,0
Eneko 6ºB,17:47:22.755,0
Eneko 6ºB,17:47:22.939,0
Eneko 6ºB,17:47:25.556,333
Eneko 6ºB,17:47:29.388,280
Eneko 6ºB,17:47:32.705,283
Eneko 6ºB,17:47:35.138,316
Eneko 6ºB,17:47:37.705,0
Eneko 6ºB,17:47:41.054,299
Eneko 6ºB,17:47:44.804,311
Eneko 6ºB,17:47:47.087,427
Eneko 6ºB,17:47:47.904,0
Eneko 6ºB,17:47:49.238,0
Eneko 6ºB,17:47:53.837,330
Eneko 6ºB,17:47:56.336,364
Eneko 6ºB,17:48:00.953,333
Eneko 6ºB,17:48:05.669,849
Eneko 6ºB,17:48:08.519,366
Eneko 6ºB,17:48:10.718,402
Eneko 6ºB,17:48:13.785,0
Eneko 6ºB,17:48:18.451,340
Eneko 6ºB,17:48:21.518,0
Eneko 6ºB,17:48:24.001,783
Eneko 6ºB,17:48:26.667,399
Eneko 6ºB,17:48:27.417,0
Eneko 6ºB,17:48:27.666,0
Eneko 6ºB,17:48:27.850,0
Eneko 6ºB,17:48:28.100,0
Eneko 6ºB,17:48:31.084,314
Eneko 6ºB,17:48:34.500,0
Eneko 6ºB,17:48:37.766,261
Eneko 6ºB,17:48:40.199,694
Eneko 6ºB,17:48:44.132,316
Eneko 6ºB,17:48:48.398,249
Eneko 6ºB,17:48:49.932,0
Eneko 6ºB,17:48:50.048,0
Eneko 6ºB,17:48:54.448,299
Eneko 6ºB,17:48:58.031,283
Eneko 6ºB,17:49:00.498,283
Eneko 6ºB,17:49:03.430,251
Eneko 6ºB,17:49:07.547,233
Eneko 6ºB,17:49:09.180,0
Eneko 6ºB,17:49:09.429,0
Eneko 6ºB,17:49:11.696,453
Eneko 6ºB,17:49:15.096,283
Eneko 6ºB,17:49:19.512,33
Eneko 6ºB,17:49:21.979,299
Eneko 6ºB,17:49:24.796,0
Eneko 6ºB,17:49:26.979,299
Eneko 6ºB,17:49:29.579,0
Eneko 6ºB,17:49:29.878,0
Eneko 6ºB,17:49:30.095,0
Eneko 6ºB,17:49:30.377,0
Eneko 6ºB,17:49:30.594,0
Eneko 6ºB,17:49:30.828,0
Eneko 6ºB,17:49:31.011,0
Eneko 6ºB,17:49:31.245,0
Eneko 6ºB,17:49:31.411,0
Eneko 6ºB,17:49:33.795,0
Eneko 6ºB,17:49:36.294,525
Eneko 6ºB,17:49:37.861,0
Eneko 6ºB,17:49:40.444,608
Eneko 6ºB,17:49:44.077,314
Eneko 6ºB,17:49:46.843,433
Eneko 6ºB,17:49:49.693,302
Eneko 6ºB,17:49:52.143,266
Eneko 6ºB,17:49:52.593,0
Eneko 6ºB,17:49:52.926,0
Eneko 6ºB,17:49:53.209,0
Eneko 6ºB,17:49:53.409,0
