Task,TapTime,Milliseconds
Lucas 6,17:11:15.725,1316
Lucas 6,17:11:17.092,0
Lucas 6,17:11:21.907,343
Lucas 6,17:11:25.257,359
Lucas 6,17:11:28.773,299
Lucas 6,17:11:32.156,349
Lucas 6,17:11:35.606,266
Lucas 6,17:11:39.772,299
Lucas 6,17:11:42.389,449
Lucas 6,17:11:47.122,316
Lucas 6,17:11:50.105,366
Lucas 6,17:11:52.338,399
Lucas 6,17:11:54.604,266
Lucas 6,17:11:57.471,266
Lucas 6,17:12:00.003,266
Lucas 6,17:12:04.104,299
Lucas 6,17:12:07.604,0
Lucas 6,17:12:11.137,333
Lucas 6,17:12:15.253,316
Lucas 6,17:12:17.469,466
Lucas 6,17:12:22.119,316
Lucas 6,17:12:24.685,283
Lucas 6,17:12:29.418,283
Lucas 6,17:12:34.118,316
Lucas 6,17:12:38.801,333
Lucas 6,17:12:41.984,316
Lucas 6,17:12:45.900,324
Lucas 6,17:12:48.734,0
Lucas 6,17:12:53.533,333
Lucas 6,17:12:55.832,347
Lucas 6,17:12:57.766,312
Lucas 6,17:13:00.299,316
Lucas 6,17:13:02.315,316
Lucas 6,17:13:05.865,266
Lucas 6,17:13:10.164,267
Lucas 6,17:13:13.331,266
Lucas 6,17:13:16.847,249
Lucas 6,17:13:20.697,299
Lucas 6,17:13:21.864,0
Lucas 6,17:13:24.330,349
Lucas 6,17:13:28.963,299
Lucas 6,17:13:32.413,283
Lucas 6,17:13:35.779,316
Lucas 6,17:13:38.545,283
Lucas 6,17:13:40.562,366
Lucas 6,17:13:44.211,283
Lucas 6,17:13:47.062,0
Lucas 6,17:13:49.544,283
Lucas 6,17:13:52.627,299
Lucas 6,17:13:56.660,266
Lucas 6,17:14:00.560,299
Lucas 6,17:14:05.226,260
Lucas 6,17:14:08.109,316
Lucas 6,17:14:11.876,259
Lucas 6,17:14:14.742,330
Lucas 6,17:14:18.592,266
Lucas 6,17:14:23.375,249
Lucas 6,17:14:27.074,282
Lucas 6,17:14:31.791,266
Lucas 6,17:14:35.307,316
Lucas 6,17:14:38.307,249
Lucas 6,17:14:41.740,283
Lucas 6,17:14:43.990,333
Lucas 6,17:14:48.189,266
Lucas 6,17:14:52.205,282
Lucas 6,17:14:56.988,266
Lucas 6,17:15:01.138,349
Lucas 6,17:15:04.621,299
Lucas 6,17:15:07.171,449
Lucas 6,17:15:10.887,299
Lucas 6,17:15:13.154,433
Lucas 6,17:15:15.637,297
Lucas 6,17:15:18.586,247
Lucas 6,17:15:20.536,349
Lucas 6,17:15:22.519,333
Lucas 6,17:15:25.769,316
Lucas 6,17:15:28.319,333
Lucas 6,17:15:31.935,283
Lucas 6,17:15:34.001,349
Lucas 6,17:15:36.418,299
Lucas 6,17:15:40.284,299
Lucas 6,17:15:42.668,311
Lucas 6,17:15:45.568,0
Lucas 6,17:15:49.150,299
Lucas 6,17:15:52.283,299
Lucas 6,17:15:57.083,299
Lucas 6,17:16:00.516,333
Lucas 6,17:16:04.133,283
Lucas 6,17:16:07.549,280
Lucas 6,17:16:10.232,316
Lucas 6,17:16:14.148,299
Lucas 6,17:16:17.314,266
Lucas 6,17:16:20.914,266
Lucas 6,17:16:24.531,0
Lucas 6,17:16:29.113,333
Lucas 6,17:16:33.863,283
Lucas 6,17:16:35.779,314
Lucas 6,17:16:40.229,249
Lucas 6,17:16:43.695,316
Lucas 6,17:16:46.395,283
Lucas 6,17:16:47.812,0
Lucas 6,17:16:52.112,333
Lucas 6,17:16:56.411,366
Lucas 6,17:17:01.260,323
Lucas 6,17:17:05.460,349
Lucas 6,17:17:07.860,295
Lucas 6,17:17:11.010,299
Lucas 6,17:17:15.909,333
Lucas 6,17:17:19.826,316
Lucas 6,17:17:23.042,333
Lucas 6,17:17:25.775,323
Lucas 6,17:17:30.241,314
Lucas 6,17:17:33.791,330
Lucas 6,17:17:37.840,332
Lucas 6,17:17:41.757,297
Lucas 6,17:17:43.990,349
Lucas 6,17:17:45.957,383
Lucas 6,17:17:49.490,316
Lucas 6,17:17:52.672,299
Lucas 6,17:17:53.423,0
Lucas 6,17:17:56.089,383
Lucas 6,17:17:59.356,0
Lucas 6,17:18:03.255,330
Lucas 6,17:18:08.038,266
Lucas 6,17:18:13.038,333
Lucas 6,17:18:17.154,316
Lucas 6,Sex,
Lucas 6,Test Duration in seconds,423
Lucas 6,Number of False Positives,10
Lucas 6,Average response time ,320
Lucas 6,Fastest response time ,247
Lucas 6,Slowest response time ,1316
Lucas 6,Count of response time over 500ms ,1
