Task,TapTime,Milliseconds
mrg,10:05:37.162,882
mrg,10:05:39.462,582
mrg,10:05:41.229,0
mrg,10:05:43.346,133
mrg,10:05:45.396,0
mrg,10:05:49.095,1732
mrg,10:05:51.112,0
mrg,10:05:53.328,0
mrg,10:05:55.245,0
mrg,10:06:00.227,314
mrg,10:06:02.544,378
mrg,10:06:05.877,199
mrg,10:06:09.444,0
mrg,10:06:11.843,766
mrg,10:06:13.360,0
mrg,10:06:15.060,0
mrg,10:06:17.343,314
mrg,10:06:19.360,0
mrg,10:06:23.259,316
mrg,10:06:26.809,333
mrg,10:06:30.058,292
mrg,10:06:33.342,0
mrg,10:06:36.358,283
mrg,10:06:39.908,366
mrg,10:06:42.374,366
mrg,10:06:45.373,306
mrg,10:06:49.907,299
mrg,10:06:54.157,283
mrg,10:06:56.807,333
mrg,10:07:01.023,283
mrg,10:07:02.290,0
mrg,10:07:05.838,366
mrg,10:07:08.839,366
mrg,10:07:12.839,0
mrg,10:07:15.089,464
mrg,10:07:17.172,299
mrg,10:07:20.321,382
mrg,10:07:23.472,0
mrg,10:07:26.488,816
mrg,10:07:30.504,366
mrg,10:07:30.671,0
mrg,10:07:32.920,345
mrg,10:07:37.170,299
mrg,10:07:41.270,266
mrg,10:07:44.037,299
mrg,10:07:47.036,299
mrg,10:07:51.502,280
mrg,10:07:56.135,266
mrg,10:07:58.702,347
mrg,10:08:01.451,263
mrg,10:08:05.019,0
mrg,10:08:09.101,0
mrg,10:08:12.584,316
mrg,10:08:16.101,297
mrg,10:08:20.317,316
mrg,10:08:24.316,249
mrg,10:08:26.600,532
mrg,10:08:30.199,332
mrg,10:08:33.999,330
mrg,10:08:37.782,316
mrg,10:08:42.398,399
mrg,10:08:46.315,0
mrg,10:08:48.948,416
mrg,10:08:53.281,149
mrg,10:08:56.864,332
mrg,10:09:00.730,199
mrg,10:09:03.930,532
mrg,10:09:07.713,297
mrg,10:09:10.097,331
mrg,10:09:13.646,449
mrg,10:09:17.029,280
mrg,10:09:20.496,146
mrg,10:09:23.345,282
mrg,10:09:26.796,0
mrg,10:09:30.895,0
mrg,10:09:33.861,332
mrg,10:09:37.428,0
mrg,10:09:39.978,449
mrg,10:09:42.594,399
mrg,10:09:46.777,291
mrg,10:09:49.627,341
mrg,10:09:52.377,316
mrg,10:09:56.076,282
mrg,10:09:58.609,397
mrg,10:10:01.010,0
mrg,10:10:05.826,366
mrg,10:10:10.675,397
mrg,10:10:12.975,382
mrg,10:10:16.726,0
mrg,10:10:20.308,238
mrg,10:10:23.774,358
mrg,10:10:27.424,366
mrg,10:10:30.340,349
mrg,10:10:34.390,266
mrg,10:10:37.756,347
mrg,10:10:40.739,325
mrg,10:10:44.056,266
mrg,10:10:47.322,266
mrg,10:10:50.306,0
mrg,10:10:53.523,0
mrg,10:10:57.205,0
mrg,10:11:01.238,316
mrg,10:11:02.455,0
mrg,10:11:04.788,799
mrg,10:11:08.038,316
mrg,10:11:10.537,349
mrg,10:11:14.304,316
mrg,10:11:17.487,299
mrg,10:11:22.053,466
mrg,10:11:25.253,599
mrg,10:11:28.286,366
mrg,10:11:32.769,316
mrg,10:11:37.752,299
mrg,10:11:40.102,484
mrg,10:11:42.136,0
mrg,10:11:44.585,333
mrg,10:11:48.185,0
mrg,10:11:48.251,0
mrg,10:11:51.351,936
mrg,10:11:51.684,0
mrg,10:11:54.001,483
mrg,10:11:56.784,333
mrg,10:11:59.999,264
mrg,10:12:02.317,333
mrg,10:12:05.767,0
mrg,10:12:08.967,0
mrg,10:12:13.349,299
mrg,10:12:14.599,0
mrg,10:12:18.032,383
mrg,10:12:20.799,447
mrg,10:12:23.082,456
mrg,10:12:24.948,299
mrg,10:12:28.199,0
mrg,10:12:31.731,283
mrg,10:12:35.514,444
mrg,10:12:38.031,516
mrg,Sex,
mrg,Test Duration in seconds,422
mrg,Number of False Positives,34
mrg,Average response time ,376
mrg,Fastest response time ,133
mrg,Slowest response time ,1732
mrg,Count of response time over 500ms ,11
