Task,TapTime,Milliseconds
c e m,10:22:39.985,249
c e m,10:22:42.919,0
c e m,10:22:43.001,0
c e m,10:22:45.552,243
c e m,10:22:47.951,149
c e m,10:22:49.868,0
c e m,10:22:51.718,0
c e m,10:22:54.051,0
c e m,10:22:56.085,0
c e m,10:22:58.034,280
c e m,10:23:00.867,419
c e m,10:23:05.233,280
c e m,10:23:08.200,247
c e m,10:23:10.417,216
c e m,10:23:12.583,0
c e m,10:23:14.849,249
c e m,10:23:18.916,214
c e m,10:23:23.032,233
c e m,10:23:23.599,0
c e m,10:23:27.265,266
c e m,10:23:30.765,280
c e m,10:23:34.065,0
c e m,10:23:34.164,0
c e m,10:23:36.582,0
c e m,10:23:39.098,280
c e m,10:23:41.080,321
c e m,10:23:45.181,249
c e m,10:23:47.847,249
c e m,10:23:51.180,249
c e m,10:23:53.613,283
c e m,10:23:55.947,0
c e m,10:23:58.163,0
c e m,10:24:01.963,299
c e m,10:24:04.246,0
c e m,10:24:08.828,299
c e m,10:24:11.362,366
c e m,10:24:16.011,283
c e m,10:24:19.844,249
c e m,10:24:23.161,233
c e m,10:24:26.461,266
c e m,10:24:28.394,333
c e m,10:24:31.461,0
c e m,10:24:31.660,0
c e m,10:24:33.577,0
c e m,10:24:36.893,233
c e m,10:24:40.827,0
c e m,10:24:43.576,0
c e m,10:24:45.993,0
c e m,10:24:50.492,299
c e m,10:24:53.842,316
c e m,10:24:57.808,283
c e m,10:24:58.158,0
c e m,10:25:01.224,299
c e m,10:25:03.224,299
c e m,10:25:05.291,499
c e m,10:25:08.207,283
c e m,10:25:11.140,283
c e m,10:25:14.040,249
c e m,10:25:17.723,266
c e m,10:25:21.856,266
c e m,10:25:24.956,299
c e m,10:25:27.056,380
c e m,10:25:30.023,0
c e m,10:25:32.656,0
c e m,10:25:34.823,0
c e m,10:25:36.339,0
c e m,10:25:38.688,322
c e m,10:25:41.871,389
c e m,10:25:46.838,382
c e m,10:25:51.004,283
c e m,10:25:55.188,223
c e m,10:25:56.221,0
c e m,10:25:59.654,0
c e m,10:26:02.103,230
c e m,10:26:06.453,266
c e m,10:26:09.753,233
c e m,10:26:13.436,230
c e m,10:26:16.286,233
c e m,10:26:20.685,233
c e m,10:26:23.368,230
c e m,10:26:26.035,230
c e m,10:26:28.868,216
c e m,10:26:30.835,316
c e m,10:26:33.534,216
c e m,10:26:36.118,0
c e m,10:26:39.167,249
c e m,10:26:42.051,0
c e m,10:26:46.667,260
c e m,10:26:49.316,303
c e m,10:26:54.033,316
c e m,10:26:57.516,314
c e m,10:27:00.866,283
c e m,10:27:02.433,0
c e m,10:27:07.215,299
c e m,10:27:10.682,0
c e m,10:27:13.748,347
c e m,10:27:16.014,402
c e m,10:27:19.697,335
c e m,10:27:21.647,333
c e m,10:27:24.547,366
c e m,10:27:29.330,283
c e m,10:27:32.013,366
c e m,10:27:34.113,399
c e m,10:27:37.363,316
c e m,10:27:39.462,416
c e m,10:27:42.780,333
c e m,10:27:46.962,316
c e m,10:27:50.078,299
c e m,10:27:52.062,0
c e m,10:27:55.312,0
c e m,10:27:58.978,266
c e m,10:27:59.461,0
c e m,10:28:02.277,280
c e m,10:28:04.310,447
c e m,10:28:06.444,0
c e m,10:28:09.060,16
c e m,10:28:11.710,266
c e m,10:28:14.644,0
c e m,10:28:16.827,0
c e m,10:28:19.210,0
c e m,10:28:21.477,0
c e m,10:28:23.659,283
c e m,10:28:28.359,249
c e m,10:28:31.742,299
c e m,10:28:34.242,266
c e m,10:28:36.392,216
c e m,10:28:39.042,0
c e m,10:28:41.425,116
c e m,10:28:44.708,0
c e m,10:28:47.141,0
c e m,10:28:50.074,233
c e m,10:28:53.540,266
c e m,10:28:56.840,305
c e m,10:29:01.106,266
c e m,10:29:04.123,0
c e m,10:29:06.340,0
c e m,10:29:08.756,0
c e m,10:29:13.272,299
c e m,10:29:16.405,266
c e m,10:29:18.989,255
c e m,10:29:22.905,266
c e m,10:29:25.255,283
c e m,10:29:27.688,0
c e m,10:29:29.721,283
c e m,10:29:31.471,0
c e m,10:29:34.770,266
c e m,10:29:36.854,416
c e m,10:29:40.837,266
c e m,Sex,
c e m,Test Duration in seconds,423
c e m,Number of False Positives,47
c e m,Average response time ,283
c e m,Fastest response time ,16
c e m,Slowest response time ,499
c e m,Count of response time over 500ms ,0
