Task,TapTime,Milliseconds
mvm,10:38:30.530,447
mvm,10:38:34.613,349
mvm,10:38:37.396,466
mvm,10:38:40.546,0
mvm,10:38:43.979,316
mvm,10:38:46.279,451
mvm,10:38:50.395,266
mvm,10:38:53.895,299
mvm,10:38:56.895,299
mvm,10:39:01.461,307
mvm,10:39:05.411,328
mvm,10:39:08.294,299
mvm,10:39:12.594,599
mvm,10:39:15.460,377
mvm,10:39:18.010,283
mvm,10:39:21.626,299
mvm,10:39:22.843,0
mvm,10:39:25.759,366
mvm,10:39:27.975,550
mvm,10:39:31.526,0
mvm,10:39:33.276,0
mvm,10:39:37.975,316
mvm,10:39:40.941,349
mvm,10:39:45.324,332
mvm,10:39:47.841,316
mvm,10:39:52.274,349
mvm,10:39:57.157,1032
mvm,10:40:01.240,351
mvm,10:40:06.006,616
mvm,10:40:08.373,383
mvm,10:40:11.872,349
mvm,10:40:16.555,233
mvm,10:40:19.572,516
mvm,10:40:21.888,366
mvm,10:40:25.189,0
mvm,10:40:27.505,0
mvm,10:40:29.454,333
mvm,10:40:31.504,449
mvm,10:40:33.654,380
mvm,10:40:35.021,0
mvm,10:40:37.687,366
mvm,10:40:40.753,566
mvm,10:40:43.937,349
mvm,10:40:47.770,49
mvm,10:40:50.969,316
mvm,10:40:53.853,0
mvm,10:40:56.703,0
mvm,10:40:59.052,333
mvm,10:41:03.385,466
mvm,10:41:07.052,399
mvm,10:41:12.235,476
mvm,10:41:15.001,616
mvm,10:41:19.434,479
mvm,10:41:24.084,366
mvm,10:41:28.400,416
mvm,10:41:31.550,233
mvm,10:41:35.416,332
mvm,10:41:37.949,633
mvm,10:41:39.583,0
mvm,10:41:43.615,366
mvm,10:41:47.516,0
mvm,10:41:49.832,0
mvm,10:41:54.382,333
mvm,10:41:57.198,483
mvm,10:42:00.064,416
mvm,10:42:03.981,0
mvm,10:42:07.947,294
mvm,10:42:12.730,549
mvm,10:42:15.479,395
mvm,10:42:17.530,483
mvm,10:42:22.263,387
mvm,10:42:24.362,449
mvm,10:42:26.929,349
mvm,10:42:31.828,316
mvm,10:42:35.029,383
mvm,10:42:38.028,516
mvm,10:42:41.561,316
mvm,10:42:46.144,99
mvm,10:42:49.960,316
mvm,10:42:52.310,434
mvm,10:42:53.027,0
mvm,10:42:57.010,299
mvm,10:42:59.843,66
mvm,10:43:02.360,383
mvm,10:43:04.743,366
mvm,10:43:08.059,359
mvm,10:43:12.392,330
mvm,10:43:14.842,466
mvm,10:43:17.992,0
mvm,10:43:20.425,0
mvm,10:43:22.625,0
mvm,10:43:24.508,0
mvm,10:43:28.391,299
mvm,10:43:32.824,383
mvm,10:43:37.207,330
mvm,10:43:40.056,349
mvm,10:43:44.940,340
mvm,10:43:48.473,499
mvm,10:43:52.323,416
mvm,10:43:57.123,416
mvm,10:43:59.772,408
mvm,10:44:02.538,347
mvm,10:44:06.571,333
mvm,10:44:10.954,449
mvm,10:44:14.454,349
mvm,10:44:19.120,349
mvm,10:44:23.737,433
mvm,10:44:26.903,466
mvm,10:44:31.619,316
mvm,10:44:34.152,716
mvm,10:44:37.586,385
mvm,10:44:40.252,483
mvm,10:44:44.702,333
mvm,10:44:47.768,333
mvm,10:44:51.768,266
mvm,10:44:54.518,0
mvm,10:44:58.251,283
mvm,10:45:00.934,433
mvm,10:45:03.184,349
mvm,10:45:05.667,0
mvm,10:45:08.033,380
mvm,10:45:11.150,316
mvm,10:45:13.684,583
mvm,10:45:16.333,0
mvm,10:45:19.099,333
mvm,10:45:20.766,0
mvm,10:45:23.166,399
mvm,10:45:25.349,449
mvm,10:45:27.266,0
mvm,Sex,
mvm,Test Duration in seconds,420
mvm,Number of False Positives,23
mvm,Average response time ,387
mvm,Fastest response time ,49
mvm,Slowest response time ,1032
mvm,Count of response time over 500ms ,12
