Task,TapTime,Milliseconds
ing,10:56:16.799,783
ing,10:56:18.816,0
ing,10:56:21.482,276
ing,10:56:24.749,0
ing,10:56:28.616,0
ing,10:56:28.848,0
ing,10:56:33.215,299
ing,10:56:36.848,511
ing,10:56:41.181,0
ing,10:56:41.830,0
ing,10:56:44.581,333
ing,10:56:46.864,264
ing,10:56:49.947,289
ing,10:56:52.896,249
ing,10:56:55.530,0
ing,10:56:58.263,244
ing,10:57:02.529,259
ing,10:57:04.929,310
ing,10:57:07.929,0
ing,10:57:10.995,283
ing,10:57:14.595,283
ing,10:57:17.912,0
ing,10:57:20.245,266
ing,10:57:22.478,0
ing,10:57:25.578,0
ing,10:57:29.310,266
ing,10:57:31.777,466
ing,10:57:35.310,289
ing,10:57:38.576,239
ing,10:57:41.093,297
ing,10:57:43.377,0
ing,10:57:44.643,0
ing,10:57:48.776,0
ing,10:57:51.176,0
ing,10:57:51.292,0
ing,10:57:56.142,281
ing,10:57:59.558,297
ing,10:58:03.708,333
ing,10:58:07.024,297
ing,10:58:09.641,311
ing,10:58:12.541,0
ing,10:58:17.557,349
ing,10:58:20.623,284
ing,10:58:25.273,289
ing,10:58:27.473,480
ing,10:58:30.156,310
ing,10:58:34.205,166
ing,10:58:34.306,0
ing,10:58:37.306,333
ing,10:58:39.988,250
ing,10:58:41.806,0
ing,10:58:42.121,0
ing,10:58:45.355,86
ing,10:58:47.555,441
ing,10:58:49.088,0
ing,10:58:53.887,360
ing,10:58:57.687,249
ing,10:59:00.354,261
ing,10:59:02.453,313
ing,10:59:06.936,12
ing,10:59:09.619,315
ing,10:59:11.170,0
ing,10:59:13.186,0
ing,10:59:16.919,283
ing,10:59:20.369,276
ing,10:59:23.602,258
ing,10:59:25.768,325
ing,10:59:28.501,66
ing,10:59:31.318,283
ing,10:59:33.135,0
ing,10:59:35.618,0
ing,10:59:40.050,255
ing,10:59:42.934,271
ing,10:59:46.883,291
ing,10:59:50.666,299
ing,10:59:52.899,399
ing,10:59:56.149,249
ing,10:59:59.150,0
ing,11:00:01.699,0
ing,11:00:04.515,83
ing,11:00:08.565,235
ing,11:00:11.565,258
ing,11:00:15.998,299
ing,11:00:18.281,383
ing,11:00:21.098,0
ing,11:00:23.181,0
ing,11:00:25.714,0
ing,11:00:27.748,0
ing,11:00:30.447,64
ing,11:00:32.413,316
ing,11:00:35.213,249
ing,11:00:38.063,233
ing,11:00:40.196,0
ing,11:00:42.046,283
ing,11:00:44.646,0
ing,11:00:47.413,0
ing,11:00:50.878,285
ing,11:00:53.495,285
ing,11:00:57.528,299
ing,11:00:59.695,0
ing,11:01:01.978,0
ing,11:01:06.427,259
ing,11:01:08.744,309
ing,11:01:11.444,0
ing,11:01:13.677,316
ing,11:01:15.943,316
ing,11:01:18.810,0
ing,11:01:21.360,0
ing,11:01:25.443,0
ing,11:01:28.776,0
ing,11:01:32.692,256
ing,11:01:36.009,316
ing,11:01:38.775,283
ing,11:01:41.892,333
ing,11:01:45.158,358
ing,11:01:46.891,0
ing,11:01:49.841,349
ing,11:01:51.907,0
ing,11:01:54.157,266
ing,11:01:59.007,285
ing,11:02:01.940,316
ing,11:02:04.989,299
ing,11:02:07.289,666
ing,11:02:09.057,0
ing,11:02:09.355,0
ing,11:02:11.756,0
ing,11:02:14.139,316
ing,11:02:17.722,285
ing,11:02:20.121,366
ing,11:02:22.571,330
ing,11:02:24.771,329
ing,11:02:27.405,0
ing,11:02:30.571,0
ing,11:02:33.237,253
ing,11:02:37.070,316
ing,11:02:39.337,313
ing,11:02:40.954,0
ing,11:02:41.586,0
ing,11:02:45.303,316
ing,11:02:47.420,366
ing,11:02:52.269,316
ing,11:02:56.669,316
ing,11:02:58.036,0
ing,11:03:01.068,542
ing,11:03:05.935,316
ing,11:03:09.685,333
ing,11:03:13.551,333
ing,11:03:18.167,283
ing,Sex,
ing,Test Duration in seconds,423
ing,Number of False Positives,51
ing,Average response time ,302
ing,Fastest response time ,12
ing,Slowest response time ,783
ing,Count of response time over 500ms ,4
