Task,TapTime,Milliseconds
dmd,11:12:58.850,333
dmd,11:13:02.067,383
dmd,11:13:04.300,283
dmd,11:13:08.333,249
dmd,11:13:10.683,399
dmd,11:13:14.682,333
dmd,11:13:17.982,233
dmd,11:13:21.216,0
dmd,11:13:23.632,0
dmd,11:13:26.182,0
dmd,11:13:30.148,266
dmd,11:13:32.248,0
dmd,11:13:36.081,284
dmd,11:13:38.697,349
dmd,11:13:42.164,283
dmd,11:13:46.830,283
dmd,11:13:48.780,239
dmd,11:13:52.213,350
dmd,11:13:52.446,0
dmd,11:13:53.947,0
dmd,11:13:57.029,264
dmd,11:13:59.663,0
dmd,11:14:01.629,0
dmd,11:14:03.645,299
dmd,11:14:07.629,0
dmd,11:14:11.178,233
dmd,11:14:15.462,0
dmd,11:14:17.577,366
dmd,11:14:20.994,316
dmd,11:14:23.794,316
dmd,11:14:26.977,299
dmd,11:14:29.192,316
dmd,11:14:31.777,0
dmd,11:14:34.876,266
dmd,11:14:39.376,299
dmd,11:14:43.609,295
dmd,11:14:46.142,399
dmd,11:14:49.642,299
dmd,11:14:52.441,299
dmd,11:14:56.158,283
dmd,11:15:00.124,316
dmd,11:15:01.641,0
dmd,11:15:02.991,0
dmd,11:15:05.524,0
dmd,11:15:08.657,0
dmd,11:15:12.223,283
dmd,11:15:14.340,466
dmd,11:15:17.606,399
dmd,11:15:21.922,249
dmd,11:15:24.606,266
dmd,11:15:26.855,279
dmd,11:15:29.305,299
dmd,11:15:33.288,283
dmd,11:15:34.455,0
dmd,11:15:38.338,133
dmd,11:15:42.154,283
dmd,11:15:45.854,316
dmd,11:15:48.204,266
dmd,11:15:50.921,383
dmd,11:15:54.620,283
dmd,11:15:59.153,283
dmd,11:16:01.236,299
dmd,11:16:04.103,299
dmd,11:16:05.986,0
dmd,11:16:09.153,0
dmd,11:16:11.819,0
dmd,11:16:15.851,249
dmd,11:16:20.335,257
dmd,11:16:24.034,499
dmd,11:16:27.201,266
dmd,11:16:28.534,0
dmd,11:16:31.299,299
dmd,11:16:35.117,316
dmd,11:16:38.800,266
dmd,11:16:41.633,299
dmd,11:16:44.900,0
dmd,11:16:47.349,283
dmd,11:16:50.682,260
dmd,11:16:55.698,326
dmd,11:16:58.165,433
dmd,11:17:00.498,366
dmd,11:17:02.998,266
dmd,11:17:05.581,223
dmd,11:17:09.581,249
dmd,11:17:13.664,266
dmd,11:17:17.230,299
dmd,11:17:19.896,366
dmd,11:17:22.496,299
dmd,11:17:26.013,283
dmd,11:17:28.296,299
dmd,11:17:29.646,0
dmd,11:17:33.063,0
dmd,11:17:36.145,283
dmd,11:17:38.112,383
dmd,11:17:41.978,303
dmd,11:17:45.711,316
dmd,11:17:48.345,283
dmd,11:17:52.611,283
dmd,11:17:57.210,16
dmd,11:17:59.477,416
dmd,11:18:02.594,0
dmd,11:18:05.943,259
dmd,11:18:08.209,283
dmd,11:18:11.260,0
dmd,11:18:13.692,233
dmd,11:18:17.226,0
dmd,11:18:19.493,0
dmd,11:18:21.976,0
dmd,11:18:25.475,283
dmd,11:18:29.875,283
dmd,11:18:32.357,299
dmd,11:18:36.174,183
dmd,11:18:39.674,283
dmd,11:18:41.707,249
dmd,11:18:42.774,0
dmd,11:18:45.574,0
dmd,11:18:48.224,0
dmd,11:18:50.406,549
dmd,11:18:53.206,273
dmd,11:18:57.156,99
dmd,11:18:59.039,316
dmd,11:19:03.788,110
dmd,11:19:06.939,0
dmd,11:19:09.738,0
dmd,11:19:12.888,233
dmd,11:19:16.471,0
dmd,11:19:20.804,264
dmd,11:19:22.254,0
dmd,11:19:26.170,249
dmd,11:19:29.770,316
dmd,11:19:31.936,349
dmd,11:19:35.203,283
dmd,11:19:38.153,0
dmd,11:19:42.136,0
dmd,11:19:45.735,283
dmd,11:19:47.952,366
dmd,11:19:51.468,275
dmd,11:19:54.735,0
dmd,11:19:57.384,266
dmd,Sex,
dmd,Test Duration in seconds,422
dmd,Number of False Positives,38
dmd,Average response time ,294
dmd,Fastest response time ,16
dmd,Slowest response time ,549
dmd,Count of response time over 500ms ,1
