Task,TapTime,Milliseconds
DVM,12:02:29.350,283
DVM,12:02:30.767,0
DVM,12:02:33.667,0
DVM,12:02:36.182,266
DVM,12:02:39.999,283
DVM,12:02:43.032,249
DVM,12:02:45.232,249
DVM,12:02:47.232,0
DVM,12:02:49.965,0
DVM,12:02:52.382,0
DVM,12:02:52.681,0
DVM,12:02:57.231,316
DVM,12:02:59.931,483
DVM,12:03:02.447,266
DVM,12:03:04.680,99
DVM,12:03:06.747,0
DVM,12:03:09.030,0
DVM,12:03:11.447,333
DVM,12:03:13.763,230
DVM,12:03:15.763,297
DVM,12:03:17.646,0
DVM,12:03:20.246,0
DVM,12:03:24.612,299
DVM,12:03:28.645,266
DVM,12:03:31.429,0
DVM,12:03:35.111,266
DVM,12:03:37.812,0
DVM,12:03:38.094,0
DVM,12:03:42.261,283
DVM,12:03:46.977,66
DVM,12:03:51.243,266
DVM,12:03:53.243,399
DVM,12:03:55.409,299
DVM,12:03:57.660,0
DVM,12:03:57.942,0
DVM,12:04:00.143,433
DVM,12:04:02.059,283
DVM,12:04:05.642,266
DVM,12:04:07.975,266
DVM,12:04:10.442,0
DVM,12:04:12.725,0
DVM,12:04:14.725,349
DVM,12:04:17.708,266
DVM,12:04:21.707,247
DVM,12:04:26.424,316
DVM,12:04:31.107,266
DVM,12:04:34.006,290
DVM,12:04:36.106,312
DVM,12:04:39.107,0
DVM,12:04:41.939,292
DVM,12:04:44.873,0
DVM,12:04:45.038,0
DVM,12:04:47.139,299
DVM,12:04:50.755,297
DVM,12:04:53.072,347
DVM,12:04:56.171,266
DVM,12:05:00.938,299
DVM,12:05:04.754,316
DVM,12:05:09.604,299
DVM,12:05:12.520,283
DVM,12:05:14.903,303
DVM,12:05:19.086,249
DVM,12:05:21.303,399
DVM,12:05:23.986,281
DVM,12:05:26.136,314
DVM,12:05:28.652,283
DVM,12:05:30.735,280
DVM,12:05:33.719,283
DVM,12:05:36.151,764
DVM,12:05:38.518,549
DVM,12:05:42.201,299
DVM,12:05:45.551,249
DVM,12:05:50.217,335
DVM,12:05:53.184,0
DVM,12:05:57.266,315
DVM,12:06:01.500,283
DVM,12:06:03.633,497
DVM,12:06:05.900,0
DVM,12:06:10.382,291
DVM,12:06:12.049,0
DVM,12:06:14.482,316
DVM,12:06:17.632,333
DVM,12:06:21.348,316
DVM,12:06:25.781,254
DVM,12:06:30.047,283
DVM,12:06:31.546,0
DVM,12:06:33.714,313
DVM,12:06:36.864,308
DVM,12:06:40.097,314
DVM,12:06:43.946,382
DVM,12:06:47.196,299
DVM,12:06:49.979,264
DVM,12:06:52.930,0
DVM,12:06:57.812,316
DVM,12:07:01.212,316
DVM,12:07:03.245,483
DVM,12:07:06.944,316
DVM,12:07:10.544,453
DVM,12:07:15.544,916
DVM,12:07:19.127,366
DVM,12:07:22.743,297
DVM,12:07:25.493,279
DVM,12:07:30.260,362
DVM,12:07:33.276,361
DVM,12:07:35.459,368
DVM,12:07:38.692,266
DVM,12:07:41.708,283
DVM,12:07:45.342,0
DVM,12:07:47.425,298
DVM,12:07:49.008,0
DVM,12:07:51.708,248
DVM,12:07:53.258,0
DVM,12:07:56.107,247
DVM,12:07:57.508,0
DVM,12:08:01.273,249
DVM,12:08:03.140,49
DVM,12:08:07.356,266
DVM,12:08:10.839,349
DVM,12:08:14.572,349
DVM,12:08:18.039,283
DVM,12:08:22.005,316
DVM,12:08:23.955,333
DVM,12:08:27.688,333
DVM,12:08:31.488,266
DVM,12:08:34.905,0
DVM,12:08:37.155,0
DVM,12:08:38.987,233
DVM,12:08:43.171,283
DVM,12:08:45.687,399
DVM,12:08:49.236,264
DVM,12:08:52.186,299
DVM,12:08:54.569,349
DVM,12:08:59.286,333
DVM,12:09:03.735,249
DVM,12:09:06.318,299
DVM,12:09:08.769,0
DVM,12:09:11.235,283
DVM,12:09:13.502,0
DVM,12:09:15.618,133
DVM,12:09:18.385,0
DVM,12:09:20.585,0
DVM,12:09:22.868,0
DVM,12:09:25.101,0
DVM,12:09:27.733,297
DVM,Sex,
DVM,Test Duration in seconds,421
DVM,Number of False Positives,37
DVM,Average response time ,310
DVM,Fastest response time ,49
DVM,Slowest response time ,916
DVM,Count of response time over 500ms ,3
