Task,TapTime,Milliseconds
MSC,12:49:27.611,333
MSC,12:49:30.495,391
MSC,12:49:32.078,0
MSC,12:49:32.260,0
MSC,12:49:32.477,0
MSC,12:49:35.111,283
MSC,12:49:38.195,0
MSC,12:49:40.428,0
MSC,12:49:42.361,0
MSC,12:49:44.610,316
MSC,12:49:46.625,0
MSC,12:49:46.976,0
MSC,12:49:48.943,0
MSC,12:49:51.610,0
MSC,12:49:53.726,366
MSC,12:49:58.209,383
MSC,12:50:03.125,366
MSC,12:50:06.858,499
MSC,12:50:10.708,1616
MSC,12:50:19.158,0
MSC,12:50:19.658,0
MSC,12:50:23.724,664
MSC,12:50:25.091,0
MSC,12:50:29.890,370
MSC,12:50:32.356,333
MSC,12:50:36.006,249
MSC,12:50:37.456,0
MSC,12:50:39.456,0
MSC,12:50:43.472,116
MSC,12:50:46.871,649
MSC,12:50:48.572,0
MSC,12:50:49.054,0
MSC,12:50:51.255,366
MSC,12:50:52.153,0
MSC,12:50:57.021,333
MSC,12:50:58.388,0
MSC,12:50:59.021,0
MSC,12:50:59.271,0
MSC,12:50:59.523,0
MSC,12:51:01.204,0
MSC,12:51:01.421,0
MSC,12:51:01.620,0
MSC,12:51:01.820,0
MSC,12:51:02.021,0
MSC,12:51:02.221,0
MSC,12:51:02.438,0
MSC,12:51:02.638,0
MSC,12:51:02.837,0
MSC,12:51:03.038,0
MSC,12:51:03.238,0
MSC,12:51:03.438,0
MSC,12:51:03.671,0
MSC,12:51:03.854,0
MSC,12:51:04.087,0
MSC,12:51:04.321,0
MSC,12:51:04.554,0
MSC,12:51:04.804,0
MSC,12:51:05.188,0
MSC,12:51:05.754,0
MSC,12:51:08.720,299
MSC,12:51:09.520,0
MSC,12:51:12.203,297
MSC,12:51:15.603,355
MSC,12:51:17.503,321
MSC,12:51:18.853,0
MSC,12:51:19.719,0
MSC,12:51:20.287,0
MSC,12:51:21.137,0
MSC,12:51:26.085,1799
MSC,12:51:32.951,4799
MSC,12:51:40.301,4349
MSC,12:51:44.517,299
MSC,12:51:47.933,316
MSC,12:51:50.134,0
MSC,12:51:50.766,0
MSC,12:51:51.217,0
MSC,12:51:51.449,0
MSC,12:51:52.000,0
MSC,12:51:54.100,483
MSC,12:51:55.100,0
MSC,12:51:56.883,0
MSC,12:51:57.748,0
MSC,12:51:57.748,0
MSC,12:51:58.468,0
MSC,12:51:58.468,0
MSC,12:51:59.884,0
MSC,12:52:01.049,0
MSC,12:52:01.382,0
MSC,12:52:02.833,0
MSC,12:52:04.933,0
MSC,12:52:05.282,0
MSC,12:52:05.532,0
MSC,12:52:05.765,0
MSC,12:52:05.931,0
MSC,12:52:06.065,0
MSC,12:52:08.999,383
MSC,12:52:10.366,0
MSC,12:52:12.298,349
MSC,12:52:13.649,0
MSC,12:52:15.115,0
MSC,12:52:16.815,0
MSC,12:52:18.748,285
MSC,12:52:20.148,0
MSC,12:52:22.231,0
MSC,12:52:23.881,0
MSC,12:52:25.514,0
MSC,12:52:29.213,333
MSC,12:52:32.097,483
MSC,12:52:38.663,4382
MSC,12:52:40.146,0
MSC,12:52:43.396,736
MSC,12:52:45.596,116
MSC,12:52:46.762,0
MSC,12:52:46.895,0
MSC,12:52:47.962,0
MSC,12:52:48.795,0
MSC,12:52:50.079,0
MSC,12:52:54.462,916
MSC,12:53:02.028,4808
MSC,12:53:05.094,549
MSC,12:53:07.844,299
MSC,12:53:11.927,316
MSC,12:53:16.510,499
MSC,12:53:20.593,0
MSC,12:53:23.826,349
MSC,12:53:28.276,333
MSC,12:53:31.009,399
MSC,12:53:35.708,603
MSC,12:53:39.492,523
MSC,12:53:43.691,349
MSC,12:53:47.575,0
MSC,12:53:55.157,4397
MSC,12:54:01.939,0
MSC,12:54:02.290,0
MSC,12:54:03.357,0
MSC,12:54:03.789,0
MSC,12:54:04.256,0
MSC,12:54:04.757,0
MSC,12:54:05.373,0
MSC,12:54:06.206,0
MSC,12:54:06.906,0
MSC,12:54:07.556,0
MSC,12:54:08.023,0
MSC,12:54:08.572,0
MSC,12:54:10.289,0
MSC,12:54:11.556,0
MSC,12:54:13.006,0
MSC,12:54:13.355,0
MSC,12:54:14.556,0
MSC,12:54:16.705,433
MSC,12:54:17.739,0
MSC,12:54:18.072,0
MSC,12:54:18.471,0
MSC,12:54:20.789,0
MSC,12:54:22.905,457
MSC,12:54:26.371,433
MSC,12:54:30.537,432
MSC,12:54:35.370,499
MSC,12:54:39.020,397
MSC,12:54:41.204,0
MSC,12:54:42.754,0
MSC,12:54:45.236,566
MSC,12:54:47.786,449
MSC,12:54:50.469,364
MSC,12:54:53.953,0
MSC,12:54:55.219,0
MSC,12:54:55.752,0
MSC,12:54:58.169,299
MSC,12:55:00.685,299
MSC,12:55:03.368,299
MSC,12:55:05.851,316
MSC,12:55:08.884,349
MSC,12:55:11.901,299
MSC,12:55:14.168,0
MSC,12:55:17.367,299
MSC,12:55:21.366,366
MSC,12:55:26.233,366
MSC,12:55:31.032,347
MSC,12:55:35.932,533
MSC,12:55:40.982,449
MSC,12:55:43.931,580
MSC,12:55:48.765,414
MSC,12:55:51.448,644
MSC,12:55:55.431,325
MSC,12:55:57.880,349
MSC,12:56:01.430,341
MSC,12:56:04.097,366
MSC,12:56:07.846,316
MSC,12:56:10.929,333
MSC,12:56:14.912,249
MSC,12:56:18.296,319
MSC,12:56:21.229,0
MSC,12:56:24.079,0
MSC,12:56:28.711,364
MSC,Sex,
MSC,Test Duration in seconds,424
MSC,Number of False Positives,113
MSC,Average response time ,681
MSC,Fastest response time ,116
MSC,Slowest response time ,4808
MSC,Count of response time over 500ms ,18
