Task,TapTime,Milliseconds
HSR,12:35:42.359,326
HSR,12:35:42.960,0
HSR,12:35:45.376,276
HSR,12:35:45.876,0
HSR,12:35:48.676,316
HSR,12:35:49.110,0
HSR,12:35:51.643,0
HSR,12:35:55.059,299
HSR,12:35:55.575,0
HSR,12:35:58.025,266
HSR,12:35:58.525,0
HSR,12:36:00.459,0
HSR,12:36:03.391,699
HSR,12:36:04.058,0
HSR,12:36:05.875,0
HSR,12:36:07.991,0
HSR,12:36:10.575,0
HSR,12:36:13.691,0
HSR,12:36:16.574,483
HSR,12:36:17.041,0
HSR,12:36:19.924,0
HSR,12:36:22.373,349
HSR,12:36:23.040,0
HSR,12:36:26.873,0
HSR,12:36:29.722,299
HSR,12:36:30.189,0
HSR,12:36:33.589,0
HSR,12:36:37.488,266
HSR,12:36:37.939,0
HSR,12:36:41.705,282
HSR,12:36:42.122,0
HSR,12:36:45.871,249
HSR,12:36:46.305,0
HSR,12:36:49.272,0
HSR,12:36:52.471,0
HSR,12:36:56.020,266
HSR,12:36:56.454,0
HSR,12:36:57.337,0
HSR,12:37:00.537,249
HSR,12:37:00.887,0
HSR,12:37:03.786,299
HSR,12:37:04.187,0
HSR,12:37:07.503,0
HSR,12:37:10.869,249
HSR,12:37:11.253,0
HSR,12:37:14.286,333
HSR,12:37:14.703,0
HSR,12:37:19.502,283
HSR,12:37:19.919,0
HSR,12:37:23.385,299
HSR,12:37:23.785,0
HSR,12:37:26.735,316
HSR,12:37:27.052,0
HSR,12:37:30.468,249
HSR,12:37:30.834,0
HSR,12:37:34.051,0
HSR,12:37:38.034,283
HSR,12:37:38.500,0
HSR,12:37:42.733,291
HSR,12:37:43.133,0
HSR,12:37:45.850,338
HSR,12:37:46.333,0
HSR,12:37:50.033,283
HSR,12:37:50.616,0
HSR,12:37:52.883,333
HSR,12:37:53.283,0
HSR,12:37:55.766,0
HSR,12:37:58.415,333
HSR,12:37:58.799,0
HSR,12:38:02.915,260
HSR,12:38:03.415,0
HSR,12:38:07.931,249
HSR,12:38:08.398,0
HSR,12:38:12.731,288
HSR,12:38:13.164,0
HSR,12:38:15.081,333
HSR,12:38:15.481,0
HSR,12:38:17.297,282
HSR,12:38:17.581,0
HSR,12:38:20.397,249
HSR,12:38:20.814,0
HSR,12:38:23.364,260
HSR,12:38:23.764,0
HSR,12:38:26.381,0
HSR,12:38:28.646,299
HSR,12:38:31.013,333
HSR,12:38:33.097,0
HSR,12:38:36.630,0
HSR,12:38:39.046,345
HSR,12:38:41.529,297
HSR,12:38:41.946,0
HSR,12:38:44.462,430
HSR,12:38:45.079,0
HSR,12:38:47.062,0
HSR,12:38:49.579,0
HSR,12:38:53.261,316
HSR,12:38:53.862,0
HSR,12:38:56.044,366
HSR,12:38:56.528,0
HSR,12:39:00.377,277
HSR,12:39:03.794,249
HSR,12:39:04.360,0
HSR,12:39:06.411,0
HSR,12:39:10.843,233
HSR,12:39:11.377,0
HSR,12:39:13.110,166
HSR,12:39:15.360,0
HSR,12:39:18.209,266
HSR,12:39:18.809,0
HSR,12:39:22.226,0
HSR,12:39:24.192,383
HSR,12:39:24.926,0
HSR,12:39:28.058,249
HSR,12:39:30.175,299
HSR,12:39:32.058,249
HSR,12:39:34.042,0
HSR,12:39:35.058,0
HSR,12:39:38.241,33
HSR,12:39:42.857,316
HSR,12:39:46.774,299
HSR,12:39:47.257,0
HSR,12:39:49.474,0
HSR,12:39:52.824,0
HSR,12:39:52.973,0
HSR,12:39:54.007,0
HSR,12:39:57.807,0
HSR,12:40:01.256,316
HSR,12:40:03.606,236
HSR,12:40:06.406,0
HSR,12:40:10.388,287
HSR,12:40:11.939,0
HSR,12:40:16.188,316
HSR,12:40:16.655,0
HSR,12:40:19.804,266
HSR,12:40:20.388,0
HSR,12:40:22.571,0
HSR,12:40:25.154,349
HSR,12:40:25.637,0
HSR,12:40:28.421,0
HSR,12:40:32.021,0
HSR,12:40:34.720,383
HSR,12:40:35.303,0
HSR,12:40:39.070,333
HSR,12:40:41.736,266
HSR,12:40:43.819,349
HSR,12:40:46.802,266
HSR,12:40:48.436,0
HSR,12:40:51.219,283
HSR,12:40:52.636,0
HSR,12:40:54.735,435
HSR,12:40:57.135,247
HSR,12:41:00.135,266
HSR,12:41:02.067,399
HSR,12:41:04.451,249
HSR,12:41:08.850,316
HSR,12:41:12.983,116
HSR,12:41:13.184,0
HSR,12:41:15.483,483
HSR,12:41:18.433,366
HSR,12:41:22.449,249
HSR,12:41:23.316,0
HSR,12:41:25.466,0
HSR,12:41:30.415,349
HSR,12:41:34.032,330
HSR,12:41:38.898,299
HSR,12:41:43.548,283
HSR,12:41:45.481,0
HSR,12:41:47.897,166
HSR,12:41:48.114,0
HSR,12:41:50.714,249
HSR,12:41:55.380,279
HSR,12:41:59.047,0
HSR,12:42:03.280,283
HSR,12:42:07.430,0
HSR,12:42:08.646,0
HSR,12:42:11.012,349
HSR,12:42:14.095,299
HSR,12:42:16.312,316
HSR,12:42:21.161,299
HSR,12:42:22.062,0
HSR,12:42:24.278,349
HSR,12:42:28.461,0
HSR,12:42:33.494,747
HSR,12:42:34.294,0
HSR,12:42:37.078,0
HSR,12:42:40.443,342
HSR,Sex,
HSR,Test Duration in seconds,421
HSR,Number of False Positives,96
HSR,Average response time ,306
HSR,Fastest response time ,33
HSR,Slowest response time ,747
HSR,Count of response time over 500ms ,2
