Task,TapTime,Milliseconds
JASM,12:37:46.797,376
JASM,12:37:51.080,283
JASM,12:37:55.463,266
JASM,12:38:00.229,249
JASM,12:38:04.945,265
JASM,12:38:08.428,268
JASM,12:38:10.528,399
JASM,12:38:14.278,283
JASM,12:38:18.811,283
JASM,12:38:22.427,299
JASM,12:38:26.560,280
JASM,12:38:31.209,283
JASM,12:38:35.776,249
JASM,12:38:40.242,249
JASM,12:38:43.543,0
JASM,12:38:46.308,316
JASM,12:38:50.324,266
JASM,12:38:52.908,383
JASM,12:38:57.291,299
JASM,12:39:00.557,280
JASM,12:39:03.740,283
JASM,12:39:07.907,0
JASM,12:39:12.173,316
JASM,12:39:15.239,316
JASM,12:39:18.522,247
JASM,12:39:21.822,33
JASM,12:39:26.038,383
JASM,12:39:28.788,514
JASM,12:39:31.187,266
JASM,12:39:35.471,283
JASM,12:39:40.237,249
JASM,12:39:43.604,0
JASM,12:39:48.203,283
JASM,12:39:52.252,333
JASM,12:39:54.819,480
JASM,12:39:58.935,283
JASM,12:40:02.518,266
JASM,12:40:05.335,349
JASM,12:40:09.668,264
JASM,12:40:13.367,316
JASM,12:40:17.916,266
JASM,12:40:23.015,499
JASM,12:40:25.000,0
JASM,12:40:29.982,303
JASM,12:40:33.649,333
JASM,12:40:36.831,249
JASM,12:40:39.548,299
JASM,12:40:41.964,268
JASM,12:40:44.931,252
JASM,12:40:47.464,283
JASM,12:40:51.297,249
JASM,12:40:53.430,516
JASM,12:40:56.980,247
JASM,12:40:59.179,599
JASM,12:41:01.830,0
JASM,12:41:04.062,416
JASM,12:41:06.396,283
JASM,12:41:09.262,216
JASM,12:41:12.645,262
JASM,12:41:15.028,349
JASM,12:41:17.128,283
JASM,12:41:21.044,266
JASM,12:41:24.078,0
JASM,12:41:26.460,483
JASM,12:41:30.993,264
JASM,12:41:34.843,266
JASM,12:41:37.077,0
JASM,12:41:41.276,299
JASM,12:41:43.742,366
JASM,12:41:47.925,349
JASM,12:41:51.741,289
JASM,12:41:55.541,299
JASM,12:41:57.591,416
JASM,12:42:02.424,383
JASM,12:42:06.257,309
JASM,12:42:08.623,316
JASM,12:42:13.289,316
JASM,12:42:18.089,383
JASM,12:42:21.772,266
JASM,12:42:23.938,343
JASM,12:42:26.688,226
JASM,12:42:29.038,278
JASM,12:42:31.704,266
JASM,12:42:36.037,286
JASM,12:42:40.787,253
JASM,12:42:45.303,333
JASM,12:42:47.569,380
JASM,12:42:50.686,249
JASM,12:42:54.202,233
JASM,12:42:57.519,283
JASM,12:43:00.435,333
JASM,12:43:02.969,0
JASM,12:43:06.734,299
JASM,12:43:09.068,566
JASM,12:43:11.701,266
JASM,12:43:16.700,311
JASM,12:43:19.533,432
JASM,12:43:24.216,271
JASM,12:43:26.649,384
JASM,12:43:30.332,233
JASM,12:43:32.965,266
JASM,12:43:35.132,299
JASM,12:43:38.248,282
JASM,12:43:40.781,283
JASM,12:43:43.298,266
JASM,12:43:47.914,283
JASM,12:43:50.764,266
JASM,12:43:54.213,249
JASM,12:43:56.830,333
JASM,12:44:01.363,266
JASM,12:44:04.613,316
JASM,12:44:06.979,283
JASM,12:44:09.079,316
JASM,12:44:12.362,266
JASM,12:44:14.896,0
JASM,12:44:17.545,316
JASM,12:44:20.361,333
JASM,12:44:23.078,383
JASM,12:44:26.761,266
JASM,12:44:28.794,366
JASM,12:44:31.677,249
JASM,12:44:34.127,280
JASM,12:44:38.559,266
JASM,12:44:42.292,266
JASM,12:44:45.359,266
JASM,12:44:47.875,249
JASM,Sex,
JASM,Test Duration in seconds,422
JASM,Number of False Positives,9
JASM,Average response time ,307
JASM,Fastest response time ,33
JASM,Slowest response time ,599
JASM,Count of response time over 500ms ,4
