Task,TapTime,Milliseconds
LGP,09:49:38.052,299
LGP,09:49:39.985,347
LGP,09:49:44.235,283
LGP,09:49:45.752,0
LGP,09:49:48.834,149
LGP,09:49:51.534,0
LGP,09:49:54.934,249
LGP,09:49:57.700,282
LGP,09:49:59.367,0
LGP,09:50:02.133,249
LGP,09:50:05.833,0
LGP,09:50:09.800,249
LGP,09:50:12.282,332
LGP,09:50:15.299,239
LGP,09:50:17.499,282
LGP,09:50:19.515,280
LGP,09:50:22.082,133
LGP,09:50:24.048,280
LGP,09:50:25.665,0
LGP,09:50:29.064,278
LGP,09:50:31.298,283
LGP,09:50:35.165,0
LGP,09:50:37.847,432
LGP,09:50:39.714,0
LGP,09:50:43.030,283
LGP,09:50:46.930,78
LGP,09:50:49.497,0
LGP,09:50:51.714,0
LGP,09:50:56.546,266
LGP,09:50:59.546,0
LGP,09:51:02.512,230
LGP,09:51:05.045,432
LGP,09:51:09.745,266
LGP,09:51:12.711,232
LGP,09:51:15.912,0
LGP,09:51:19.127,249
LGP,09:51:23.194,249
LGP,09:51:24.577,0
LGP,09:51:27.827,282
LGP,09:51:30.977,299
LGP,09:51:35.309,249
LGP,09:51:38.326,0
LGP,09:51:40.426,0
LGP,09:51:42.875,332
LGP,09:51:46.342,266
LGP,09:51:50.108,48
LGP,09:51:53.058,249
LGP,09:51:55.691,282
LGP,09:51:57.992,0
LGP,09:51:59.108,0
LGP,09:52:00.891,0
LGP,09:52:01.157,0
LGP,09:52:04.874,266
LGP,09:52:07.774,366
LGP,09:52:11.007,266
LGP,09:52:15.040,166
LGP,09:52:19.423,149
LGP,09:52:21.406,332
LGP,09:52:24.072,266
LGP,09:52:25.923,0
LGP,09:52:28.522,316
LGP,09:52:30.539,0
LGP,09:52:34.488,216
LGP,09:52:37.355,416
LGP,09:52:39.538,266
LGP,09:52:40.222,0
LGP,09:52:42.988,316
LGP,09:52:44.821,0
LGP,09:52:45.671,0
LGP,09:52:47.205,0
LGP,09:52:47.470,0
LGP,09:52:50.204,399
LGP,09:52:51.804,0
LGP,09:52:53.803,466
LGP,09:52:56.270,266
LGP,09:53:01.087,283
LGP,09:53:02.353,0
LGP,09:53:04.586,316
LGP,09:53:06.869,333
LGP,09:53:11.320,0
LGP,09:53:14.836,233
LGP,09:53:17.668,247
LGP,09:53:21.701,299
LGP,09:53:22.335,0
LGP,09:53:24.351,416
LGP,09:53:27.485,283
LGP,09:53:30.318,0
LGP,09:53:34.701,0
LGP,09:53:38.200,66
LGP,09:53:40.550,349
LGP,09:53:42.283,149
LGP,09:53:43.717,0
LGP,09:53:45.600,0
LGP,09:53:48.767,0
LGP,09:53:52.482,283
LGP,09:53:56.699,0
LGP,09:54:00.765,299
LGP,09:54:04.232,299
LGP,09:54:05.899,0
LGP,09:54:08.665,332
LGP,09:54:11.531,333
LGP,09:54:13.381,0
LGP,09:54:15.447,249
LGP,09:54:18.730,332
LGP,09:54:22.114,0
LGP,09:54:24.246,249
LGP,09:54:25.280,0
LGP,09:54:29.063,266
LGP,09:54:31.413,416
LGP,09:54:36.046,249
LGP,09:54:38.062,333
LGP,09:54:38.896,0
LGP,09:54:41.329,0
LGP,09:54:43.679,283
LGP,09:54:46.795,266
LGP,09:54:49.595,0
LGP,09:54:52.561,275
LGP,09:54:54.878,283
LGP,09:54:57.028,0
LGP,09:54:58.778,0
LGP,09:54:59.077,0
LGP,09:55:01.194,0
LGP,09:55:04.777,249
LGP,09:55:08.343,283
LGP,09:55:09.260,0
LGP,09:55:12.310,0
LGP,09:55:16.826,233
LGP,09:55:18.759,299
LGP,09:55:21.176,316
LGP,09:55:23.676,0
LGP,09:55:28.025,232
LGP,09:55:31.108,249
LGP,09:55:35.192,266
LGP,09:55:39.091,299
LGP,09:55:41.391,0
LGP,09:55:43.707,249
LGP,09:55:45.724,314
LGP,09:55:47.358,0
LGP,09:55:51.674,283
LGP,09:55:53.991,0
LGP,09:55:55.523,0
LGP,09:55:58.523,0
LGP,09:56:01.823,366
LGP,09:56:03.973,383
LGP,09:56:08.239,249
LGP,09:56:11.638,249
LGP,09:56:12.772,0
LGP,09:56:15.171,316
LGP,09:56:18.971,249
LGP,09:56:21.788,0
LGP,09:56:25.371,309
LGP,09:56:27.720,266
LGP,09:56:29.954,99
LGP,09:56:32.154,233
LGP,09:56:33.987,0
LGP,09:56:37.121,0
LGP,Sex,
LGP,Test Duration in seconds,423
LGP,Number of False Positives,58
LGP,Average response time ,276
LGP,Fastest response time ,48
LGP,Slowest response time ,466
LGP,Count of response time over 500ms ,0
