Task,TapTime,Milliseconds
RPM,10:19:30.339,316
RPM,10:19:33.322,299
RPM,10:19:36.005,116
RPM,10:19:40.021,266
RPM,10:19:42.671,316
RPM,10:19:45.804,49
RPM,10:19:48.688,0
RPM,10:19:51.805,0
RPM,10:19:56.504,349
RPM,10:19:59.104,324
RPM,10:20:03.837,591
RPM,10:20:08.653,299
RPM,10:20:12.170,283
RPM,10:20:14.536,383
RPM,10:20:17.353,333
RPM,10:20:20.469,316
RPM,10:20:23.103,0
RPM,10:20:27.452,299
RPM,10:20:30.585,99
RPM,10:20:33.269,383
RPM,10:20:35.969,283
RPM,10:20:38.535,297
RPM,10:20:40.785,299
RPM,10:20:42.785,166
RPM,10:20:44.718,299
RPM,10:20:46.385,0
RPM,10:20:50.368,349
RPM,10:20:53.852,0
RPM,10:20:55.984,471
RPM,10:21:00.734,383
RPM,10:21:03.167,549
RPM,10:21:06.734,383
RPM,10:21:10.767,349
RPM,10:21:15.200,383
RPM,10:21:17.849,290
RPM,10:21:19.866,309
RPM,10:21:22.333,292
RPM,10:21:25.033,264
RPM,10:21:27.532,316
RPM,10:21:29.549,380
RPM,10:21:33.249,366
RPM,10:21:36.932,316
RPM,10:21:39.715,322
RPM,10:21:42.131,316
RPM,10:21:46.131,290
RPM,10:21:50.465,783
RPM,10:21:54.464,1116
RPM,10:21:59.064,316
RPM,10:22:03.480,314
RPM,10:22:07.214,0
RPM,10:22:10.847,299
RPM,10:22:14.047,299
RPM,10:22:16.947,0
RPM,10:22:19.196,316
RPM,10:22:21.463,308
RPM,10:22:25.363,349
RPM,10:22:27.646,530
RPM,10:22:29.779,347
RPM,10:22:31.845,299
RPM,10:22:33.929,316
RPM,10:22:35.613,0
RPM,10:22:37.029,0
RPM,10:22:39.845,299
RPM,10:22:43.112,299
RPM,10:22:45.228,349
RPM,10:22:48.128,316
RPM,10:22:50.278,399
RPM,10:22:52.945,333
RPM,10:22:55.612,0
RPM,10:22:57.944,333
RPM,10:23:02.327,316
RPM,10:23:07.260,449
RPM,10:23:08.894,0
RPM,10:23:12.377,499
RPM,10:23:15.526,1364
RPM,10:23:17.860,583
RPM,10:23:21.076,399
RPM,10:23:26.009,333
RPM,10:23:28.343,533
RPM,10:23:32.525,316
RPM,10:23:37.325,383
RPM,10:23:40.675,599
RPM,10:23:44.975,366
RPM,10:23:47.175,427
RPM,10:23:51.708,499
RPM,10:23:56.424,349
RPM,10:24:00.141,1333
RPM,10:24:04.074,1199
RPM,10:24:08.440,499
RPM,10:24:11.407,396
RPM,10:24:16.040,566
RPM,10:24:20.273,333
RPM,10:24:24.790,316
RPM,10:24:28.640,299
RPM,10:24:32.206,266
RPM,10:24:36.772,299
RPM,10:24:40.972,414
RPM,10:24:44.788,364
RPM,10:24:48.971,299
RPM,10:24:51.304,432
RPM,10:24:54.738,333
RPM,10:24:57.938,533
RPM,10:25:01.671,309
RPM,10:25:05.254,359
RPM,10:25:08.704,499
RPM,10:25:11.453,292
RPM,10:25:13.687,416
RPM,10:25:18.720,383
RPM,10:25:20.920,649
RPM,10:25:25.103,299
RPM,10:25:27.653,716
RPM,10:25:30.086,0
RPM,10:25:33.136,0
RPM,10:25:36.919,316
RPM,10:25:41.202,333
RPM,10:25:44.335,666
RPM,10:25:48.668,308
RPM,10:25:51.351,749
RPM,10:25:56.107,1081
RPM,10:25:58.693,841
RPM,10:26:03.096,349
RPM,10:26:05.247,366
RPM,10:26:07.349,0
RPM,10:26:09.883,333
RPM,10:26:12.951,333
RPM,10:26:15.251,433
RPM,10:26:18.002,316
RPM,10:26:20.219,349
RPM,10:26:22.353,466
RPM,10:26:24.520,433
RPM,10:26:26.887,333
RPM,10:26:31.837,349
RPM,Sex,
RPM,Test Duration in seconds,423
RPM,Number of False Positives,14
RPM,Average response time ,408
RPM,Fastest response time ,49
RPM,Slowest response time ,1364
RPM,Count of response time over 500ms ,19
