Task,TapTime,Milliseconds
2025-06-04 12:20:36,12:20:38.314,416
2025-06-04 12:20:36,12:20:42.380,282
2025-06-04 12:20:36,12:20:46.713,283
2025-06-04 12:20:36,12:20:49.530,299
2025-06-04 12:20:36,12:20:53.046,216
2025-06-04 12:20:36,12:20:55.929,433
2025-06-04 12:20:36,12:20:58.662,299
2025-06-04 12:20:36,12:21:02.446,283
2025-06-04 12:20:36,12:21:04.812,316
2025-06-04 12:20:36,12:21:08.479,0
2025-06-04 12:20:36,12:21:13.244,349
2025-06-04 12:20:36,12:21:17.244,349
2025-06-04 12:20:36,12:21:22.011,249
2025-06-04 12:20:36,12:21:25.660,280
2025-06-04 12:20:36,12:21:29.410,297
2025-06-04 12:20:36,12:21:32.160,333
2025-06-04 12:20:36,12:21:35.459,566
2025-06-04 12:20:36,12:21:38.059,299
2025-06-04 12:20:36,12:21:42.043,283
2025-06-04 12:20:36,12:21:45.809,316
2025-06-04 12:20:36,12:21:50.142,383
2025-06-04 12:20:36,12:21:52.658,633
2025-06-04 12:20:36,12:21:55.458,362
2025-06-04 12:20:36,12:21:57.991,299
2025-06-04 12:20:36,12:22:00.741,297
2025-06-04 12:20:36,12:22:05.374,278
2025-06-04 12:20:36,12:22:08.990,832
2025-06-04 12:20:36,12:22:12.823,266
2025-06-04 12:20:36,12:22:17.490,266
2025-06-04 12:20:36,12:22:21.823,332
2025-06-04 12:20:36,12:22:24.989,366
2025-06-04 12:20:36,12:22:28.289,399
2025-06-04 12:20:36,12:22:31.772,283
2025-06-04 12:20:36,12:22:34.005,649
2025-06-04 12:20:36,12:22:36.888,305
2025-06-04 12:20:36,12:22:40.355,259
2025-06-04 12:20:36,12:22:45.187,299
2025-06-04 12:20:36,12:22:49.054,299
2025-06-04 12:20:36,12:22:52.487,333
2025-06-04 12:20:36,12:22:54.620,466
2025-06-04 12:20:36,12:22:58.303,283
2025-06-04 12:20:36,12:23:03.186,299
2025-06-04 12:20:36,12:23:06.486,333
2025-06-04 12:20:36,12:23:08.686,548
2025-06-04 12:20:36,12:23:12.519,299
2025-06-04 12:20:36,12:23:16.852,433
2025-06-04 12:20:36,12:23:19.801,581
2025-06-04 12:20:36,12:23:21.918,299
2025-06-04 12:20:36,12:23:24.718,233
2025-06-04 12:20:36,12:23:27.601,316
