Task,TapTime,Milliseconds
PVG,10:38:01.485,0
PVG,10:38:04.934,264
PVG,10:38:05.801,0
PVG,10:38:08.801,316
PVG,10:38:11.784,266
PVG,10:38:15.550,261
PVG,10:38:18.234,249
PVG,10:38:21.767,249
PVG,10:38:25.717,0
PVG,10:38:29.849,239
PVG,10:38:32.499,316
PVG,10:38:36.549,166
PVG,10:38:40.449,266
PVG,10:38:44.666,252
PVG,10:38:47.199,283
PVG,10:38:50.698,249
PVG,10:38:53.298,249
PVG,10:38:56.298,249
PVG,10:38:59.898,249
PVG,10:39:03.214,274
PVG,10:39:05.148,299
PVG,10:39:08.131,264
PVG,10:39:10.147,366
PVG,10:39:12.281,299
PVG,10:39:15.348,0
PVG,10:39:18.447,333
PVG,10:39:21.230,316
PVG,10:39:23.413,299
PVG,10:39:26.197,283
PVG,10:39:28.030,297
PVG,10:39:30.646,247
PVG,10:39:34.013,233
PVG,10:39:38.813,233
PVG,10:39:42.429,382
PVG,10:39:46.612,233
PVG,10:39:49.546,0
PVG,10:39:53.262,397
PVG,10:39:57.928,283
PVG,10:40:00.578,266
PVG,10:40:02.611,299
PVG,10:40:04.961,249
PVG,10:40:08.361,249
PVG,10:40:11.544,299
PVG,10:40:15.094,294
PVG,10:40:19.727,282
PVG,10:40:21.977,399
PVG,10:40:24.277,299
PVG,10:40:26.377,314
PVG,10:40:29.626,249
PVG,10:40:33.160,249
PVG,10:40:36.493,249
PVG,10:40:38.376,314
PVG,10:40:41.543,0
PVG,10:40:45.092,291
PVG,10:40:48.792,282
PVG,10:40:50.992,349
PVG,10:40:55.708,266
PVG,10:40:59.542,284
PVG,10:41:01.991,349
PVG,10:41:05.458,283
PVG,10:41:07.391,349
PVG,10:41:10.492,0
PVG,10:41:14.174,333
PVG,10:41:18.706,266
PVG,10:41:23.639,266
PVG,10:41:27.488,249
PVG,10:41:30.037,399
PVG,10:41:33.071,233
PVG,10:41:37.353,116
PVG,10:41:39.786,283
PVG,10:41:42.803,0
PVG,10:41:46.486,316
PVG,10:41:49.586,283
PVG,10:41:52.802,366
PVG,10:41:54.785,349
PVG,10:41:58.135,233
PVG,10:42:00.935,233
PVG,10:42:02.885,249
PVG,10:42:05.285,0
PVG,10:42:07.651,483
PVG,10:42:12.234,266
PVG,10:42:15.851,283
PVG,10:42:17.933,299
PVG,10:42:20.334,0
PVG,10:42:24.734,233
PVG,10:42:28.084,0
PVG,10:42:31.266,299
PVG,10:42:34.533,299
PVG,10:42:38.899,266
PVG,10:42:43.482,316
PVG,10:42:46.482,249
PVG,10:42:49.848,330
PVG,10:42:51.766,333
PVG,10:42:55.132,330
PVG,10:42:57.932,233
PVG,10:43:01.198,299
PVG,10:43:04.898,266
PVG,10:43:08.864,80
PVG,10:43:12.214,249
PVG,10:43:15.630,266
PVG,10:43:17.847,283
PVG,10:43:20.631,0
PVG,10:43:23.564,333
PVG,10:43:28.280,249
PVG,10:43:30.263,299
PVG,10:43:33.296,266
PVG,10:43:35.097,0
PVG,10:43:39.279,383
PVG,10:43:41.646,483
PVG,10:43:43.846,283
PVG,10:43:46.845,283
PVG,10:43:50.663,233
PVG,10:43:53.112,283
PVG,10:43:57.111,216
PVG,10:44:00.811,249
PVG,10:44:05.161,358
PVG,10:44:08.561,266
PVG,10:44:10.544,383
PVG,10:44:11.561,0
PVG,10:44:15.861,0
PVG,10:44:18.543,449
PVG,10:44:21.294,333
PVG,10:44:24.826,266
PVG,10:44:28.743,249
PVG,10:44:31.659,299
PVG,10:44:34.543,249
PVG,10:44:36.810,316
PVG,10:44:39.376,310
PVG,10:44:43.709,416
PVG,10:44:48.292,266
PVG,10:44:52.875,254
PVG,10:44:55.775,262
PVG,10:44:58.758,266
PVG,10:45:02.009,0
PVG,Sex,
PVG,Test Duration in seconds,421
PVG,Number of False Positives,16
PVG,Average response time ,287
PVG,Fastest response time ,80
PVG,Slowest response time ,483
PVG,Count of response time over 500ms ,0
