Task,TapTime,Milliseconds
ivm,10:56:18.170,1016
ivm,10:56:21.320,333
ivm,10:56:24.153,299
ivm,10:56:26.520,0
ivm,10:56:28.820,0
ivm,10:56:31.019,299
ivm,10:56:33.369,316
ivm,10:56:35.893,266
ivm,10:56:39.626,266
ivm,10:56:42.276,441
ivm,10:56:44.709,149
ivm,10:56:47.576,0
ivm,10:56:49.243,0
ivm,10:56:52.476,0
ivm,10:56:54.442,16
ivm,10:56:56.409,0
ivm,10:56:59.442,0
ivm,10:57:02.108,0
ivm,10:57:05.108,0
ivm,10:57:07.425,0
ivm,10:57:09.657,566
ivm,10:57:13.807,649
ivm,10:57:17.907,349
ivm,10:57:20.790,299
ivm,10:57:23.406,293
ivm,10:57:26.039,259
ivm,10:57:28.239,283
ivm,10:57:30.439,283
ivm,10:57:33.822,314
ivm,10:57:38.655,299
ivm,10:57:40.888,0
ivm,10:57:42.538,0
ivm,10:57:46.704,349
ivm,10:57:50.304,283
ivm,10:57:53.087,466
ivm,10:57:54.604,0
ivm,10:57:57.854,0
ivm,10:58:02.086,778
ivm,10:58:06.902,283
ivm,10:58:09.469,449
ivm,10:58:11.318,299
ivm,10:58:13.452,299
ivm,10:58:15.885,0
ivm,10:58:20.051,319
ivm,10:58:23.501,283
ivm,10:58:26.900,549
ivm,10:58:29.350,333
ivm,10:58:33.300,283
ivm,10:58:36.500,0
ivm,10:58:40.333,600
ivm,10:58:42.933,383
ivm,10:58:46.415,266
ivm,10:58:49.032,384
ivm,10:58:53.265,316
ivm,10:58:57.248,299
ivm,10:58:58.982,0
ivm,10:59:02.598,0
ivm,10:59:05.747,336
ivm,10:59:10.447,433
ivm,10:59:13.996,316
ivm,10:59:16.996,316
ivm,10:59:19.029,349
ivm,10:59:21.530,0
ivm,10:59:23.746,0
ivm,10:59:26.145,314
ivm,10:59:29.562,283
ivm,10:59:32.278,199
ivm,10:59:34.845,0
ivm,10:59:37.711,280
ivm,10:59:40.645,0
ivm,10:59:42.960,476
ivm,10:59:46.294,190
ivm,10:59:49.444,0
ivm,10:59:52.543,333
ivm,10:59:55.327,0
ivm,10:59:58.709,345
ivm,11:00:01.742,333
ivm,11:00:04.826,0
ivm,11:00:08.558,349
ivm,11:00:11.474,371
ivm,11:00:14.041,337
ivm,11:00:16.441,299
ivm,11:00:18.841,233
ivm,11:00:23.024,283
ivm,11:00:26.657,0
ivm,11:00:29.390,316
ivm,11:00:33.156,349
ivm,11:00:37.173,233
ivm,11:00:40.622,182
ivm,11:00:40.772,0
ivm,11:00:43.722,487
ivm,11:00:47.055,383
ivm,11:00:49.671,333
ivm,11:00:51.988,449
ivm,11:00:55.621,0
ivm,11:00:58.704,433
ivm,11:01:01.604,0
ivm,11:01:05.370,299
ivm,11:01:07.636,499
ivm,11:01:10.136,404
ivm,11:01:12.503,366
ivm,11:01:14.569,366
ivm,11:01:17.319,316
ivm,11:01:20.902,433
ivm,11:01:25.868,333
ivm,11:01:28.101,433
ivm,11:01:31.685,283
ivm,11:01:35.251,294
ivm,11:01:39.534,333
ivm,11:01:43.851,0
ivm,11:01:48.150,349
ivm,11:01:53.066,303
ivm,11:01:56.065,380
ivm,11:01:59.332,266
ivm,11:02:01.682,349
ivm,11:02:04.081,283
ivm,11:02:07.432,0
ivm,11:02:09.798,333
ivm,11:02:11.981,383
ivm,11:02:15.547,283
ivm,11:02:18.080,349
ivm,11:02:22.380,383
ivm,11:02:25.213,349
ivm,11:02:29.246,49
ivm,11:02:32.480,0
ivm,11:02:35.062,399
ivm,11:02:36.262,0
ivm,11:02:38.745,349
ivm,11:02:43.078,282
ivm,11:02:47.844,297
ivm,11:02:51.261,399
ivm,11:02:53.910,49
ivm,11:02:56.627,280
ivm,11:03:00.776,516
ivm,11:03:03.610,416
ivm,11:03:06.676,216
ivm,11:03:10.693,0
ivm,11:03:13.526,332
ivm,11:03:17.325,325
ivm,Sex,
ivm,Test Duration in seconds,422
ivm,Number of False Positives,34
ivm,Average response time ,343
ivm,Fastest response time ,16
ivm,Slowest response time ,1016
ivm,Count of response time over 500ms ,7
