Task,TapTime,Milliseconds
ARM,11:12:23.898,316
ARM,11:12:26.982,0
ARM,11:12:30.314,249
ARM,11:12:33.631,0
ARM,11:12:36.414,0
ARM,11:12:36.512,0
ARM,11:12:41.129,266
ARM,11:12:45.229,0
ARM,11:12:48.028,366
ARM,11:12:49.928,333
ARM,11:12:53.677,264
ARM,11:12:56.310,316
ARM,11:12:58.944,0
ARM,11:13:01.710,224
ARM,11:13:04.109,249
ARM,11:13:09.009,283
ARM,11:13:12.625,299
ARM,11:13:16.625,99
ARM,11:13:19.308,316
ARM,11:13:22.191,199
ARM,11:13:25.091,233
ARM,11:13:28.108,0
ARM,11:13:30.090,299
ARM,11:13:32.840,249
ARM,11:13:35.123,266
ARM,11:13:36.840,0
ARM,11:13:39.423,233
ARM,11:13:41.540,0
ARM,11:13:43.990,0
ARM,11:13:46.589,0
ARM,11:13:49.272,83
ARM,11:13:52.789,0
ARM,11:13:55.171,249
ARM,11:13:58.755,0
ARM,11:14:01.704,249
ARM,11:14:05.904,249
ARM,11:14:06.621,0
ARM,11:14:08.854,266
ARM,11:14:11.287,323
ARM,11:14:13.436,316
ARM,11:14:15.936,283
ARM,11:14:18.703,0
ARM,11:14:21.820,0
ARM,11:14:23.885,299
ARM,11:14:26.135,323
ARM,11:14:28.052,0
ARM,11:14:30.935,83
ARM,11:14:35.451,266
ARM,11:14:37.251,0
ARM,11:14:38.434,0
ARM,11:14:41.284,233
ARM,11:14:44.667,283
ARM,11:14:46.284,0
ARM,11:14:50.733,283
ARM,11:14:55.316,266
ARM,11:15:00.282,280
ARM,11:15:02.882,304
ARM,11:15:06.898,249
ARM,11:15:09.898,0
ARM,11:15:13.265,0
ARM,11:15:17.514,266
ARM,11:15:21.714,266
ARM,11:15:25.696,249
ARM,11:15:28.929,282
ARM,11:15:31.297,0
ARM,11:15:31.779,0
ARM,11:15:33.946,566
ARM,11:15:36.679,366
ARM,11:15:38.695,316
ARM,11:15:42.645,264
ARM,11:15:45.512,0
ARM,11:15:48.462,0
ARM,11:15:52.494,230
ARM,11:15:55.960,297
ARM,11:16:00.443,298
ARM,11:16:04.193,349
ARM,11:16:05.660,0
ARM,11:16:08.876,233
ARM,11:16:11.576,399
ARM,11:16:15.942,299
ARM,11:16:19.258,730
ARM,11:16:22.058,283
ARM,11:16:26.424,316
ARM,11:16:29.257,530
ARM,11:16:31.541,366
ARM,11:16:35.273,265
ARM,11:16:37.974,0
ARM,11:16:40.190,264
ARM,11:16:44.956,428
ARM,11:16:52.039,0
ARM,11:16:53.189,0
ARM,11:16:57.388,283
ARM,11:17:00.120,308
ARM,11:17:04.537,366
ARM,11:17:08.504,266
ARM,11:17:12.787,216
ARM,11:17:15.387,379
ARM,11:17:19.137,0
ARM,11:17:21.319,349
ARM,11:17:24.602,264
ARM,11:17:28.852,16
ARM,11:17:32.118,283
ARM,11:17:34.918,205
ARM,11:17:37.568,0
ARM,11:17:39.435,0
ARM,11:17:41.101,0
ARM,11:17:42.568,0
ARM,11:17:44.151,0
ARM,11:17:45.884,0
ARM,11:17:47.800,99
ARM,11:17:50.267,0
ARM,11:17:52.600,0
ARM,11:17:55.083,0
ARM,11:17:58.100,0
ARM,11:18:01.599,0
ARM,11:18:04.948,235
ARM,11:18:09.499,333
ARM,11:18:10.432,0
ARM,11:18:14.448,283
ARM,11:18:14.781,0
ARM,11:18:15.164,0
ARM,11:18:18.880,249
ARM,11:18:19.264,0
ARM,11:18:19.530,0
ARM,11:18:21.031,0
ARM,11:18:25.297,0
ARM,11:18:28.313,283
ARM,11:18:28.930,0
ARM,11:18:33.230,0
ARM,11:18:35.396,366
ARM,11:18:38.979,283
ARM,11:18:43.462,0
ARM,11:18:46.178,296
ARM,11:18:49.044,327
ARM,11:18:51.328,0
ARM,11:18:55.645,0
ARM,11:18:58.828,0
ARM,11:19:01.393,166
ARM,11:19:03.610,449
ARM,11:19:07.076,249
ARM,11:19:08.543,0
ARM,11:19:11.809,249
ARM,11:19:14.109,349
ARM,11:19:16.492,266
ARM,11:19:18.692,0
ARM,11:19:18.791,0
ARM,11:19:20.892,0
ARM,11:19:22.775,0
ARM,Sex,
ARM,Test Duration in seconds,421
ARM,Number of False Positives,60
ARM,Average response time ,286
ARM,Fastest response time ,16
ARM,Slowest response time ,730
ARM,Count of response time over 500ms ,3
