Task,TapTime,Milliseconds
I N L,12:02:55.504,449
I N L,12:02:56.854,0
I N L,12:02:58.988,0
I N L,12:03:01.987,266
I N L,12:03:03.870,349
I N L,12:03:06.870,0
I N L,12:03:09.687,0
I N L,12:03:14.252,266
I N L,12:03:16.269,349
I N L,12:03:20.602,264
I N L,12:03:24.285,270
I N L,12:03:27.268,283
I N L,12:03:30.401,216
I N L,12:03:33.651,0
I N L,12:03:36.834,316
I N L,12:03:39.501,0
I N L,12:03:39.800,0
I N L,12:03:44.566,285
I N L,12:03:49.316,333
I N L,12:03:53.666,283
I N L,12:03:56.215,331
I N L,12:03:59.582,266
I N L,12:04:02.865,0
I N L,12:04:06.564,249
I N L,12:04:09.980,286
I N L,12:04:12.014,366
I N L,12:04:14.698,0
I N L,12:04:16.930,283
I N L,12:04:21.163,316
I N L,12:04:24.646,266
I N L,12:04:27.162,316
I N L,12:04:30.646,0
I N L,12:04:33.396,0
I N L,12:04:36.162,316
I N L,12:04:38.662,283
I N L,12:04:41.311,333
I N L,12:04:43.494,316
I N L,12:04:46.327,283
I N L,12:04:48.211,299
I N L,12:04:50.327,283
I N L,12:04:53.411,0
I N L,12:04:56.193,283
I N L,12:04:59.793,283
I N L,12:05:04.492,183
I N L,12:05:07.609,299
I N L,12:05:11.259,283
I N L,12:05:15.341,299
I N L,12:05:18.641,266
I N L,12:05:21.257,349
I N L,12:05:23.741,299
I N L,12:05:27.241,0
I N L,12:05:31.257,216
I N L,12:05:34.873,366
I N L,12:05:36.873,433
I N L,12:05:39.622,249
I N L,12:05:42.172,266
I N L,12:05:45.489,0
I N L,12:05:48.006,0
I N L,12:05:50.155,0
I N L,12:05:53.105,333
I N L,12:05:55.721,319
I N L,12:05:59.871,299
I N L,12:06:02.488,0
I N L,12:06:03.004,0
I N L,12:06:07.403,258
I N L,12:06:12.236,266
I N L,12:06:15.286,316
I N L,12:06:18.953,0
I N L,12:06:19.419,0
I N L,12:06:23.952,316
I N L,12:06:26.118,416
I N L,12:06:28.635,0
I N L,12:06:30.868,433
I N L,12:06:35.717,283
I N L,12:06:39.334,299
I N L,12:06:41.800,299
I N L,12:06:42.084,0
I N L,12:06:44.017,383
I N L,12:06:46.784,0
I N L,12:06:47.233,0
I N L,12:06:50.299,266
I N L,12:06:54.816,297
I N L,12:06:57.916,0
I N L,12:07:00.316,333
I N L,12:07:03.181,349
I N L,12:07:07.998,299
I N L,12:07:10.364,333
I N L,12:07:14.597,280
I N L,12:07:18.664,233
I N L,12:07:22.963,266
I N L,12:07:25.729,299
I N L,12:07:28.879,316
I N L,12:07:32.212,183
I N L,12:07:35.913,0
I N L,12:07:38.279,316
I N L,12:07:41.961,266
I N L,12:07:45.911,283
I N L,12:07:49.328,233
I N L,12:07:52.078,0
I N L,12:07:52.210,0
I N L,12:07:54.177,349
I N L,12:07:57.327,0
I N L,12:07:57.810,0
I N L,12:08:00.710,83
I N L,12:08:04.559,266
I N L,12:08:07.126,366
I N L,12:08:08.476,0
I N L,12:08:10.293,0
I N L,12:08:12.176,0
I N L,12:08:14.075,316
I N L,12:08:16.276,0
I N L,12:08:16.774,0
I N L,12:08:18.559,0
I N L,12:08:20.308,0
I N L,12:08:24.808,0
I N L,12:08:28.657,298
I N L,12:08:33.057,280
I N L,12:08:36.657,0
I N L,12:08:36.806,0
I N L,12:08:40.023,331
I N L,12:08:44.622,314
I N L,12:08:45.823,0
I N L,12:08:48.289,380
I N L,12:08:49.622,0
I N L,12:08:51.672,383
I N L,12:08:55.039,0
I N L,12:08:57.771,327
I N L,12:09:01.238,283
I N L,12:09:03.604,316
I N L,12:09:05.038,0
I N L,12:09:07.538,0
I N L,12:09:10.937,316
I N L,12:09:12.154,0
I N L,12:09:15.853,214
I N L,12:09:18.736,316
I N L,12:09:22.519,11
I N L,12:09:25.186,0
I N L,12:09:27.969,0
I N L,12:09:31.702,283
I N L,12:09:34.618,333
I N L,12:09:37.685,0
I N L,12:09:40.568,0
I N L,12:09:42.168,0
I N L,12:09:42.433,0
I N L,12:09:45.567,0
I N L,12:09:48.200,316
I N L,12:09:50.300,416
I N L,12:09:52.584,0
I N L,12:09:54.700,0
I N L,Sex,
I N L,Test Duration in seconds,421
I N L,Number of False Positives,55
I N L,Average response time ,298
I N L,Fastest response time ,11
I N L,Slowest response time ,449
I N L,Count of response time over 500ms ,0
