Task,TapTime,Milliseconds
SSN,12:20:53.506,318
SSN,12:20:54.906,0
SSN,12:20:55.056,0
SSN,12:20:57.456,299
SSN,12:20:59.589,366
SSN,12:21:02.355,287
SSN,12:21:05.072,183
SSN,12:21:08.105,0
SSN,12:21:10.271,283
SSN,12:21:12.505,0
SSN,12:21:13.004,0
SSN,12:21:13.187,0
SSN,12:21:13.387,0
SSN,12:21:13.588,0
SSN,12:21:13.820,0
SSN,12:21:14.004,0
SSN,12:21:14.205,0
SSN,12:21:14.388,0
SSN,12:21:14.571,0
SSN,12:21:14.754,0
SSN,12:21:14.954,0
SSN,12:21:15.154,0
SSN,12:21:15.371,0
SSN,12:21:15.571,0
SSN,12:21:15.771,0
SSN,12:21:16.004,0
SSN,12:21:16.187,0
SSN,12:21:19.021,0
SSN,12:21:22.287,266
SSN,12:21:23.237,0
SSN,12:21:24.121,0
SSN,12:21:26.204,0
SSN,12:21:26.486,0
SSN,12:21:31.069,297
SSN,12:21:33.719,403
SSN,12:21:36.219,333
SSN,12:21:37.053,0
SSN,12:21:37.586,0
SSN,12:21:37.918,0
SSN,12:21:38.202,0
SSN,12:21:38.401,0
SSN,12:21:40.368,349
SSN,12:21:40.885,0
SSN,12:21:41.068,0
SSN,12:21:41.235,0
SSN,12:21:41.452,0
SSN,12:21:41.618,0
SSN,12:21:41.818,0
SSN,12:21:42.018,0
SSN,12:21:42.218,0
SSN,12:21:42.402,0
SSN,12:21:42.568,0
SSN,12:21:42.735,0
SSN,12:21:42.918,0
SSN,12:21:43.119,0
SSN,12:21:43.318,0
SSN,12:21:43.485,0
SSN,12:21:43.718,0
SSN,12:21:43.885,0
SSN,12:21:44.118,0
SSN,12:21:44.318,0
SSN,12:21:44.518,0
SSN,12:21:44.701,0
SSN,12:21:44.918,0
SSN,12:21:45.135,0
SSN,12:21:45.318,0
SSN,12:21:45.518,0
SSN,12:21:45.768,0
SSN,12:21:45.967,0
SSN,12:21:46.268,0
SSN,12:21:46.551,0
SSN,12:21:46.768,0
SSN,12:21:46.985,0
SSN,12:21:47.184,0
SSN,12:21:47.401,0
SSN,12:21:47.651,0
SSN,12:21:47.868,0
SSN,12:21:48.051,0
SSN,12:21:48.268,0
SSN,12:21:51.618,333
SSN,12:21:53.700,416
SSN,12:21:57.567,345
SSN,12:22:00.000,0
SSN,12:22:03.000,316
SSN,12:22:07.183,279
SSN,12:22:10.366,283
SSN,12:22:14.599,316
SSN,12:22:18.132,249
SSN,12:22:19.999,0
SSN,12:22:20.431,0
SSN,12:22:20.564,0
SSN,12:22:20.748,0
SSN,12:22:20.964,0
SSN,12:22:21.215,0
SSN,12:22:21.414,0
SSN,12:22:21.515,0
SSN,12:22:25.232,0
SSN,12:22:25.381,0
SSN,12:22:28.414,262
SSN,12:22:31.064,361
SSN,12:22:33.364,0
SSN,12:22:35.347,328
SSN,12:22:37.964,0
SSN,12:22:40.464,0
SSN,12:22:42.663,316
SSN,12:22:45.796,360
SSN,12:22:50.329,316
SSN,12:22:53.928,316
SSN,12:22:58.095,349
SSN,12:23:00.295,0
SSN,12:23:00.578,0
SSN,12:23:03.344,318
SSN,12:23:06.178,0
SSN,12:23:07.010,0
SSN,12:23:07.227,0
SSN,12:23:07.393,0
SSN,12:23:07.543,0
SSN,12:23:07.743,0
SSN,12:23:07.943,0
SSN,12:23:09.644,0
SSN,12:23:09.843,0
SSN,12:23:12.211,0
SSN,12:23:12.476,0
SSN,12:23:12.693,0
SSN,12:23:12.909,0
SSN,12:23:13.377,0
SSN,12:23:13.610,0
SSN,12:23:13.860,0
SSN,12:23:14.077,0
SSN,12:23:14.276,0
SSN,12:23:14.510,0
SSN,12:23:14.777,0
SSN,12:23:14.977,0
SSN,12:23:18.076,638
SSN,12:23:20.943,533
SSN,12:23:21.926,0
SSN,12:23:22.143,0
SSN,12:23:24.376,299
SSN,12:23:26.992,316
SSN,12:23:31.592,0
SSN,12:23:33.942,0
SSN,12:23:36.025,0
SSN,12:23:38.408,66
SSN,12:23:40.674,644
SSN,12:23:43.024,349
SSN,12:23:45.291,0
SSN,12:23:47.641,0
SSN,12:23:50.157,283
SSN,12:23:53.006,266
SSN,12:23:55.957,0
SSN,12:23:56.222,0
SSN,12:23:58.006,180
SSN,12:24:01.006,0
SSN,12:24:03.506,0
SSN,12:24:05.472,199
SSN,12:24:08.038,299
SSN,12:24:10.589,0
SSN,12:24:12.822,0
SSN,12:24:14.938,0
SSN,12:24:17.472,0
SSN,12:24:20.055,0
SSN,12:24:23.088,0
SSN,12:24:25.237,433
SSN,12:24:27.353,522
SSN,12:24:30.353,349
SSN,12:24:33.586,316
SSN,12:24:36.619,283
SSN,12:24:39.203,0
SSN,12:24:39.885,0
SSN,12:24:40.068,0
SSN,12:24:40.319,0
SSN,12:24:42.902,0
SSN,12:24:45.619,0
SSN,12:24:47.869,0
SSN,12:24:50.018,416
SSN,12:24:54.834,299
SSN,12:24:57.317,449
SSN,12:25:00.634,833
SSN,12:25:03.833,407
SSN,12:25:04.000,0
SSN,12:25:04.166,0
SSN,12:25:07.450,575
SSN,12:25:09.899,366
SSN,12:25:13.049,583
SSN,12:25:16.916,383
SSN,12:25:19.882,0
SSN,12:25:24.231,337
SSN,12:25:28.015,483
SSN,12:25:31.514,316
SSN,12:25:34.414,549
SSN,12:25:38.947,483
SSN,12:25:43.496,433
SSN,12:25:44.630,0
SSN,12:25:48.463,239
SSN,12:25:50.763,366
SSN,12:25:52.729,399
SSN,12:25:56.428,299
SSN,12:25:58.829,0
SSN,12:26:01.728,333
SSN,12:26:04.828,233
SSN,12:26:07.428,0
SSN,12:26:10.011,0
SSN,12:26:12.444,0
SSN,12:26:15.044,0
SSN,12:26:18.077,0
SSN,12:26:21.193,266
SSN,12:26:23.559,299
SSN,12:26:26.326,266
SSN,12:26:30.609,318
SSN,12:26:33.009,0
SSN,12:26:33.275,0
SSN,12:26:33.524,0
SSN,12:26:33.791,0
SSN,12:26:34.025,0
SSN,12:26:34.292,0
SSN,12:26:34.509,0
SSN,12:26:34.742,0
SSN,12:26:34.992,0
SSN,12:26:35.208,0
SSN,12:26:35.408,0
SSN,12:26:35.859,0
SSN,12:26:35.991,0
SSN,12:26:36.108,0
SSN,12:26:36.240,0
SSN,12:26:36.342,0
SSN,12:26:36.475,0
SSN,12:26:38.858,66
SSN,12:26:42.008,0
SSN,12:26:47.157,547
SSN,12:26:51.557,366
SSN,12:26:54.406,416
SSN,12:26:57.673,249
SSN,12:27:00.373,289
SSN,12:27:03.156,274
SSN,12:27:05.222,340
SSN,12:27:09.605,282
SSN,12:27:11.539,0
SSN,12:27:12.188,0
SSN,12:27:12.521,0
SSN,12:27:12.755,0
SSN,12:27:12.971,0
SSN,12:27:13.171,0
SSN,12:27:13.405,0
SSN,12:27:13.571,0
SSN,12:27:13.805,0
SSN,12:27:14.022,0
SSN,12:27:14.205,0
SSN,12:27:14.422,0
SSN,12:27:14.622,0
SSN,12:27:14.822,0
SSN,12:27:15.005,0
SSN,12:27:15.238,0
SSN,12:27:15.438,0
SSN,12:27:15.672,0
SSN,12:27:15.871,0
SSN,12:27:16.088,0
SSN,12:27:16.321,0
SSN,12:27:16.538,0
SSN,12:27:16.721,0
SSN,12:27:16.955,0
SSN,12:27:17.171,0
SSN,12:27:17.388,0
SSN,12:27:17.621,0
SSN,12:27:20.221,280
SSN,12:27:24.920,236
SSN,12:27:27.687,366
SSN,12:27:30.737,330
SSN,12:27:32.953,366
SSN,12:27:35.103,516
SSN,12:27:38.553,432
SSN,12:27:41.302,316
SSN,12:27:44.269,283
SSN,12:27:46.552,433
SSN,12:27:49.501,316
SSN,12:27:54.251,533
SSN,Sex,M
SSN,Age,11
SSN,Test Duration in seconds,424
SSN,Number of False Positives,184
SSN,Average response time ,351
SSN,Fastest response time ,66
SSN,Slowest response time ,833
SSN,Count of response time over 500ms ,11
