Task,TapTime,Milliseconds
B.R.A,09:33:11.592,280
B.R.A,09:33:15.009,233
B.R.A,09:33:18.078,0
B.R.A,09:33:21.392,99
B.R.A,09:33:24.175,504
B.R.A,09:33:26.391,299
B.R.A,09:33:28.625,0
B.R.A,09:33:31.974,264
B.R.A,09:33:36.490,199
B.R.A,09:33:41.258,299
B.R.A,09:33:44.040,149
B.R.A,09:33:47.323,280
B.R.A,09:33:50.806,249
B.R.A,09:33:54.440,83
B.R.A,09:33:58.522,233
B.R.A,09:34:00.555,387
B.R.A,09:34:04.022,247
B.R.A,09:34:07.406,0
B.R.A,09:34:07.905,0
B.R.A,09:34:10.489,0
B.R.A,09:34:13.188,299
B.R.A,09:34:15.621,333
B.R.A,09:34:17.971,576
B.R.A,09:34:22.270,316
B.R.A,09:34:24.670,316
B.R.A,09:34:26.221,0
B.R.A,09:34:28.970,310
B.R.A,09:34:33.586,271
B.R.A,09:34:36.436,283
B.R.A,09:34:38.619,314
B.R.A,09:34:40.636,258
B.R.A,09:34:43.353,0
B.R.A,09:34:45.535,370
B.R.A,09:34:47.869,0
B.R.A,09:34:52.335,299
B.R.A,09:34:57.001,316
B.R.A,09:35:01.384,299
B.R.A,09:35:06.367,549
B.R.A,09:35:08.917,366
B.R.A,09:35:12.084,333
B.R.A,09:35:15.316,299
B.R.A,09:35:18.500,327
B.R.A,09:35:21.099,349
B.R.A,09:35:23.633,0
B.R.A,09:35:25.616,282
B.R.A,09:35:28.683,333
B.R.A,09:35:31.032,349
B.R.A,09:35:33.665,316
B.R.A,09:35:36.865,249
B.R.A,09:35:39.298,283
B.R.A,09:35:41.232,0
B.R.A,09:35:42.615,0
B.R.A,09:35:44.981,0
B.R.A,09:35:47.647,232
B.R.A,09:35:52.414,266
B.R.A,09:35:55.563,349
B.R.A,09:35:58.463,316
B.R.A,09:36:01.280,266
B.R.A,09:36:05.529,316
B.R.A,09:36:09.146,0
B.R.A,09:36:11.179,334
B.R.A,09:36:13.995,316
B.R.A,09:36:16.579,299
B.R.A,09:36:20.012,0
B.R.A,09:36:22.945,0
B.R.A,09:36:25.162,0
B.R.A,09:36:28.644,299
B.R.A,09:36:31.611,332
B.R.A,09:36:35.227,282
B.R.A,09:36:39.910,265
B.R.A,09:36:43.477,332
B.R.A,09:36:48.176,366
B.R.A,09:36:50.326,382
B.R.A,09:36:52.943,0
B.R.A,09:36:57.075,369
B.R.A,09:37:01.459,290
B.R.A,09:37:05.658,316
B.R.A,09:37:10.308,299
B.R.A,09:37:14.574,299
B.R.A,09:37:17.541,333
B.R.A,09:37:21.274,314
B.R.A,09:37:24.090,349
B.R.A,09:37:26.423,549
B.R.A,09:37:29.456,249
B.R.A,09:37:33.306,296
B.R.A,09:37:37.706,299
B.R.A,09:37:39.939,399
B.R.A,09:37:42.706,0
B.R.A,09:37:45.106,0
B.R.A,09:37:47.389,0
B.R.A,09:37:49.522,316
B.R.A,09:37:51.738,399
B.R.A,09:37:54.088,349
B.R.A,09:37:58.071,332
B.R.A,09:38:00.754,349
B.R.A,09:38:03.604,314
B.R.A,09:38:06.770,299
B.R.A,09:38:11.520,343
B.R.A,09:38:16.236,299
B.R.A,09:38:18.403,399
B.R.A,09:38:20.719,297
B.R.A,09:38:23.653,316
B.R.A,09:38:27.269,300
B.R.A,09:38:29.952,0
B.R.A,09:38:32.235,354
B.R.A,09:38:36.835,293
B.R.A,09:38:39.418,326
B.R.A,09:38:42.601,0
B.R.A,09:38:44.651,316
B.R.A,09:38:46.917,382
B.R.A,09:38:49.584,382
B.R.A,09:38:52.400,266
B.R.A,09:38:54.634,0
B.R.A,09:38:56.700,366
B.R.A,09:38:59.483,282
B.R.A,09:39:01.883,349
B.R.A,09:39:03.833,299
B.R.A,09:39:05.832,299
B.R.A,09:39:08.249,249
B.R.A,09:39:09.866,0
B.R.A,09:39:12.216,0
B.R.A,09:39:15.932,266
B.R.A,09:39:19.281,282
B.R.A,09:39:24.014,282
B.R.A,09:39:27.481,282
B.R.A,09:39:31.597,332
B.R.A,09:39:34.614,359
B.R.A,09:39:39.047,316
B.R.A,09:39:41.796,266
B.R.A,09:39:44.946,282
B.R.A,09:39:47.363,280
B.R.A,09:39:50.930,0
B.R.A,09:39:53.012,397
B.R.A,09:39:55.829,299
B.R.A,09:39:58.079,349
B.R.A,09:40:00.912,249
B.R.A,09:40:04.062,266
B.R.A,09:40:08.361,299
B.R.A,09:40:11.044,316
B.R.A,Sex,
B.R.A,Test Duration in seconds,422
B.R.A,Number of False Positives,26
B.R.A,Average response time ,312
B.R.A,Fastest response time ,83
B.R.A,Slowest response time ,576
B.R.A,Count of response time over 500ms ,4
