Task,TapTime,Milliseconds
aaq,11:10:07.149,299
aaq,11:10:08.550,0
aaq,11:10:11.299,291
aaq,11:10:15.598,287
aaq,11:10:19.415,280
aaq,11:10:23.049,0
aaq,11:10:25.598,349
aaq,11:10:29.914,266
aaq,11:10:33.831,0
aaq,11:10:37.464,264
aaq,11:10:41.663,616
aaq,11:10:46.146,299
aaq,11:10:48.446,466
aaq,11:10:52.579,314
aaq,11:10:55.512,314
aaq,11:10:58.962,316
aaq,11:11:00.946,433
aaq,11:11:03.079,366
aaq,11:11:05.529,330
aaq,11:11:09.662,282
aaq,11:11:11.761,449
aaq,11:11:15.328,349
aaq,11:11:17.678,0
aaq,11:11:17.994,0
aaq,11:11:20.945,0
aaq,11:11:23.078,433
aaq,11:11:27.961,383
aaq,11:11:32.027,383
aaq,11:11:34.093,449
aaq,11:11:37.110,333
aaq,11:11:40.559,316
aaq,11:11:42.893,316
aaq,11:11:46.292,283
aaq,11:11:49.275,254
aaq,11:11:53.125,283
aaq,11:11:57.875,276
aaq,11:12:01.441,309
aaq,11:12:04.324,349
aaq,11:12:07.274,299
aaq,11:12:09.974,333
aaq,11:12:12.041,333
aaq,11:12:16.924,283
aaq,11:12:20.106,266
aaq,11:12:23.323,483
aaq,11:12:26.106,333
aaq,11:12:28.289,286
aaq,11:12:30.723,282
aaq,11:12:33.406,0
aaq,11:12:38.205,366
aaq,11:12:41.538,299
aaq,11:12:43.638,399
aaq,11:12:45.738,299
aaq,11:12:49.454,283
aaq,11:12:52.254,283
aaq,11:12:55.088,0
aaq,11:12:58.754,382
aaq,11:13:01.853,416
aaq,11:13:06.603,366
aaq,11:13:10.503,0
aaq,11:13:13.737,366
aaq,11:13:17.536,366
aaq,11:13:21.052,349
aaq,11:13:23.569,333
aaq,11:13:28.368,266
aaq,11:13:31.885,316
aaq,11:13:35.301,332
aaq,11:13:39.651,283
aaq,11:13:43.634,333
aaq,11:13:45.950,449
aaq,11:13:48.400,325
aaq,11:13:51.200,299
aaq,11:13:55.350,292
aaq,11:13:59.116,264
aaq,11:14:03.066,499
aaq,11:14:05.399,366
aaq,11:14:08.582,491
aaq,11:14:11.465,347
aaq,11:14:12.532,0
aaq,11:14:15.715,349
aaq,11:14:19.565,932
aaq,11:14:21.681,364
aaq,11:14:24.914,283
aaq,11:14:27.881,316
aaq,11:14:31.764,333
aaq,11:14:35.897,266
aaq,11:14:38.646,349
aaq,11:14:42.446,283
aaq,11:14:46.346,249
aaq,11:14:50.679,316
aaq,11:14:53.545,516
aaq,11:14:55.979,616
aaq,11:15:00.045,349
aaq,11:15:02.345,516
aaq,11:15:04.711,416
aaq,11:15:07.911,349
aaq,11:15:11.878,0
aaq,11:15:13.911,349
aaq,11:15:17.894,466
aaq,11:15:20.360,466
aaq,11:15:24.793,366
aaq,11:15:27.543,382
aaq,11:15:32.176,349
aaq,11:15:35.843,283
aaq,11:15:40.192,299
aaq,11:15:44.892,332
aaq,11:15:47.925,401
aaq,11:15:51.075,0
aaq,11:15:55.258,232
aaq,11:15:58.791,366
aaq,11:16:01.574,416
aaq,11:16:05.657,299
aaq,11:16:08.007,449
aaq,11:16:11.473,316
aaq,11:16:14.840,283
aaq,11:16:19.639,283
aaq,11:16:23.623,333
aaq,11:16:25.955,466
aaq,11:16:28.522,433
aaq,11:16:32.055,299
aaq,11:16:34.455,347
aaq,11:16:37.072,316
aaq,11:16:39.821,266
aaq,11:16:44.088,333
aaq,11:16:46.821,533
aaq,11:16:51.170,397
aaq,11:16:55.370,349
aaq,11:16:59.870,316
aaq,11:17:02.003,430
aaq,11:17:06.303,290
aaq,Sex,
aaq,Test Duration in seconds,421
aaq,Number of False Positives,12
aaq,Average response time ,354
aaq,Fastest response time ,232
aaq,Slowest response time ,932
aaq,Count of response time over 500ms ,6
