Task,TapTime,Milliseconds
CSM,10:38:27.724,499
CSM,10:38:30.656,386
CSM,10:38:33.407,303
CSM,10:38:35.806,316
CSM,10:38:39.073,249
CSM,10:38:42.290,0
CSM,10:38:46.506,396
CSM,10:38:49.222,506
CSM,10:38:51.805,297
CSM,10:38:54.072,297
CSM,10:38:56.022,325
CSM,10:39:00.288,293
CSM,10:39:04.538,279
CSM,10:39:08.070,292
CSM,10:39:11.554,308
CSM,10:39:14.470,291
CSM,10:39:17.454,271
CSM,10:39:21.520,299
CSM,10:39:26.436,283
CSM,10:39:29.820,333
CSM,10:39:31.836,416
CSM,10:39:34.585,280
CSM,10:39:36.685,298
CSM,10:39:39.335,316
CSM,10:39:41.319,299
CSM,10:39:44.652,299
CSM,10:39:48.968,283
CSM,10:39:51.284,466
CSM,10:39:54.217,332
CSM,10:39:57.767,349
CSM,10:40:01.500,349
CSM,10:40:06.333,316
CSM,10:40:08.650,433
CSM,10:40:11.083,266
CSM,10:40:13.533,383
CSM,10:40:16.283,333
CSM,10:40:18.733,0
CSM,10:40:22.132,308
CSM,10:40:26.899,283
CSM,10:40:30.431,436
CSM,10:40:33.448,366
CSM,10:40:35.931,291
CSM,10:40:38.398,316
CSM,10:40:43.181,299
CSM,10:40:45.780,299
CSM,10:40:50.280,284
CSM,10:40:54.414,333
CSM,10:40:58.630,283
CSM,10:41:01.163,683
CSM,10:41:05.079,333
CSM,10:41:08.129,383
CSM,10:41:12.312,299
CSM,10:41:15.295,299
CSM,10:41:19.845,299
CSM,10:41:22.278,533
CSM,10:41:25.895,283
CSM,10:41:28.311,299
CSM,10:41:31.561,349
CSM,10:41:34.244,299
CSM,10:41:36.710,299
CSM,10:41:41.110,299
CSM,10:41:43.593,430
CSM,10:41:48.493,616
CSM,10:41:50.742,533
CSM,10:41:54.692,349
CSM,10:41:58.892,349
CSM,10:42:01.692,514
CSM,10:42:06.125,0
CSM,10:42:06.224,0
CSM,10:42:10.974,299
CSM,10:42:13.257,316
CSM,10:42:17.941,293
CSM,10:42:21.240,299
CSM,10:42:25.573,299
CSM,10:42:28.690,483
CSM,10:42:33.056,316
CSM,10:42:36.639,499
CSM,10:42:41.172,299
CSM,10:42:43.705,480
CSM,10:42:46.272,333
CSM,10:42:48.322,383
CSM,10:42:51.455,316
CSM,10:42:55.321,324
CSM,10:42:59.654,316
CSM,10:43:03.704,299
CSM,10:43:07.554,416
CSM,10:43:11.954,349
CSM,10:43:14.353,616
CSM,10:43:16.920,449
CSM,10:43:20.986,316
CSM,10:43:24.319,383
CSM,10:43:27.385,316
CSM,10:43:31.003,533
CSM,10:43:33.152,416
CSM,10:43:36.285,349
CSM,10:43:39.818,616
CSM,10:43:44.351,325
CSM,10:43:48.001,466
CSM,10:43:50.067,399
CSM,10:43:52.934,466
CSM,10:43:57.817,349
CSM,10:44:00.050,316
CSM,10:44:03.550,283
CSM,10:44:06.699,299
CSM,10:44:11.050,316
CSM,10:44:13.616,483
CSM,10:44:17.915,316
CSM,10:44:21.198,399
CSM,10:44:23.615,283
CSM,10:44:28.314,316
CSM,10:44:31.498,366
CSM,10:44:36.330,447
CSM,10:44:39.030,433
CSM,10:44:41.464,0
CSM,10:44:44.714,316
CSM,10:44:49.196,266
CSM,10:44:53.729,399
CSM,10:44:58.213,349
CSM,10:45:01.262,466
CSM,10:45:03.312,383
CSM,10:45:05.762,299
CSM,10:45:08.662,533
CSM,10:45:12.512,316
CSM,10:45:15.195,466
CSM,10:45:17.844,316
CSM,10:45:20.211,283
CSM,10:45:22.527,333
CSM,10:45:26.144,283
CSM,Sex,
CSM,Test Duration in seconds,421
CSM,Number of False Positives,5
CSM,Average response time ,359
CSM,Fastest response time ,249
CSM,Slowest response time ,683
CSM,Count of response time over 500ms ,10
