Task,TapTime,Milliseconds
JAS,11:25:53.867,283
JAS,11:25:58.100,245
JAS,11:26:01.217,233
JAS,11:26:03.584,0
JAS,11:26:05.600,0
JAS,11:26:08.233,0
JAS,11:26:10.749,833
JAS,11:26:15.165,249
JAS,11:26:18.532,282
JAS,11:26:23.365,265
JAS,11:26:27.648,266
JAS,11:26:29.648,399
JAS,11:26:34.014,218
JAS,11:26:35.997,349
JAS,11:26:38.347,232
JAS,11:26:41.147,233
JAS,11:26:43.313,333
JAS,11:26:48.130,264
JAS,11:26:50.429,316
JAS,11:26:53.413,299
JAS,11:26:53.513,0
JAS,11:26:56.279,299
JAS,11:26:58.312,399
JAS,11:26:59.546,0
JAS,11:27:04.062,265
JAS,11:27:05.712,0
JAS,11:27:08.996,0
JAS,11:27:11.179,333
JAS,11:27:13.845,333
JAS,11:27:16.995,283
JAS,11:27:20.611,299
JAS,11:27:23.444,332
JAS,11:27:26.627,249
JAS,11:27:30.160,449
JAS,11:27:32.593,349
JAS,11:27:36.310,66
JAS,11:27:39.977,0
JAS,11:27:43.076,233
JAS,11:27:44.876,0
JAS,11:27:46.976,266
JAS,11:27:49.525,283
JAS,11:27:52.892,0
JAS,11:27:57.058,216
JAS,11:28:01.408,232
JAS,11:28:03.791,283
JAS,11:28:05.674,299
JAS,11:28:07.508,0
JAS,11:28:07.774,0
JAS,11:28:12.440,266
JAS,11:28:15.990,283
JAS,11:28:18.957,0
JAS,11:28:22.656,283
JAS,11:28:24.790,0
JAS,11:28:26.939,566
JAS,11:28:30.523,283
JAS,11:28:34.539,299
JAS,11:28:38.922,283
JAS,11:28:41.772,266
JAS,11:28:46.138,433
JAS,11:28:50.872,233
JAS,11:28:53.821,23
JAS,11:28:57.921,283
JAS,11:29:02.737,366
JAS,11:29:05.721,283
JAS,11:29:09.170,266
JAS,11:29:12.686,353
JAS,11:29:14.386,0
JAS,11:29:17.419,1049
JAS,11:29:21.619,244
JAS,11:29:24.086,0
JAS,11:29:26.902,266
JAS,11:29:29.534,299
JAS,11:29:34.068,269
JAS,11:29:37.135,0
JAS,11:29:39.667,166
JAS,11:29:43.284,0
JAS,11:29:45.301,266
JAS,11:29:46.484,0
JAS,11:29:48.867,366
JAS,11:29:51.550,316
JAS,11:29:53.950,249
JAS,11:29:56.733,233
JAS,11:29:58.816,189
JAS,11:30:00.917,0
JAS,11:30:02.933,0
JAS,11:30:05.600,0
JAS,11:30:08.632,302
JAS,11:30:12.882,287
JAS,11:30:16.165,266
JAS,11:30:18.215,383
JAS,11:30:20.981,283
JAS,11:30:24.831,66
JAS,11:30:25.014,0
JAS,11:30:29.631,399
JAS,11:30:31.931,407
JAS,11:30:35.547,230
JAS,11:30:37.730,366
JAS,11:30:39.597,0
JAS,11:30:43.130,366
JAS,11:30:45.463,499
JAS,11:30:49.829,266
JAS,11:30:53.512,410
JAS,11:30:57.313,283
JAS,11:30:59.112,0
JAS,11:31:01.612,316
JAS,11:31:04.961,599
JAS,11:31:07.428,66
JAS,11:31:11.695,133
JAS,11:31:13.728,33
JAS,11:31:17.394,0
JAS,11:31:21.277,316
JAS,11:31:21.810,0
JAS,11:31:25.610,583
JAS,11:31:29.226,266
JAS,11:31:32.160,0
JAS,11:31:36.809,230
JAS,11:31:40.959,266
JAS,11:31:43.209,0
JAS,11:31:47.075,316
JAS,11:31:49.458,433
JAS,11:31:53.208,49
JAS,11:31:57.691,266
JAS,11:32:01.374,283
JAS,11:32:05.274,116
JAS,11:32:09.773,416
JAS,11:32:14.023,223
JAS,11:32:16.873,230
JAS,11:32:17.956,0
JAS,11:32:18.206,0
JAS,11:32:20.656,299
JAS,11:32:25.456,233
JAS,11:32:26.506,0
JAS,11:32:28.772,549
JAS,11:32:31.889,0
JAS,11:32:34.222,421
JAS,11:32:38.122,0
JAS,11:32:40.555,0
JAS,11:32:43.788,299
JAS,11:32:48.521,233
JAS,11:32:50.288,0
JAS,11:32:52.370,349
JAS,Sex,
JAS,Test Duration in seconds,421
JAS,Number of False Positives,36
JAS,Average response time ,302
JAS,Fastest response time ,23
JAS,Slowest response time ,1049
JAS,Count of response time over 500ms ,6
