Task,TapTime,Milliseconds
M D A,10:53:37.724,283
M D A,10:53:41.558,0
M D A,10:53:44.490,316
M D A,10:53:48.374,266
M D A,10:53:52.790,283
M D A,10:53:57.540,299
M D A,10:54:01.639,266
M D A,10:54:04.723,283
M D A,10:54:08.640,0
M D A,10:54:08.872,0
M D A,10:54:12.372,333
M D A,10:54:16.622,297
M D A,10:54:20.122,0
M D A,10:54:23.955,316
M D A,10:54:27.305,0
M D A,10:54:31.054,283
M D A,10:54:34.554,340
M D A,10:54:37.504,333
M D A,10:54:41.903,266
M D A,10:54:45.503,260
M D A,10:54:47.436,333
M D A,10:54:49.803,280
M D A,10:54:52.786,0
M D A,10:54:56.136,0
M D A,10:54:59.969,266
M D A,10:55:03.669,0
M D A,10:55:05.819,0
M D A,10:55:08.518,283
M D A,10:55:11.485,316
M D A,10:55:16.084,383
M D A,10:55:19.617,316
M D A,10:55:22.634,302
M D A,10:55:25.034,333
M D A,10:55:29.100,266
M D A,10:55:30.133,0
M D A,10:55:30.299,0
M D A,10:55:33.384,283
M D A,10:55:35.983,283
M D A,10:55:39.132,336
M D A,10:55:43.666,233
M D A,10:55:46.265,299
M D A,10:55:50.848,416
M D A,10:55:54.081,284
M D A,10:55:57.182,0
M D A,10:56:00.448,258
M D A,10:56:03.231,247
M D A,10:56:05.230,266
M D A,10:56:08.314,283
M D A,10:56:10.614,297
M D A,10:56:12.480,249
M D A,10:56:16.397,0
M D A,10:56:18.480,364
M D A,10:56:20.463,281
M D A,10:56:22.363,266
M D A,10:56:26.229,370
M D A,10:56:29.979,98
M D A,10:56:34.045,248
M D A,10:56:36.812,0
M D A,10:56:39.761,191
M D A,10:56:42.345,249
M D A,10:56:44.511,0
M D A,10:56:45.828,0
M D A,10:56:50.394,299
M D A,10:56:52.727,278
M D A,10:56:55.893,266
M D A,10:56:59.510,283
M D A,10:57:02.294,0
M D A,10:57:05.443,264
M D A,10:57:07.727,0
M D A,10:57:10.592,280
M D A,10:57:12.826,266
M D A,10:57:17.659,299
M D A,10:57:20.259,299
M D A,10:57:22.892,0
M D A,10:57:24.909,0
M D A,10:57:26.842,283
M D A,10:57:29.541,316
M D A,10:57:31.642,0
M D A,10:57:33.008,0
M D A,10:57:35.525,0
M D A,10:57:39.524,1366
M D A,10:57:44.091,512
M D A,10:57:47.456,12
M D A,10:57:51.555,795
M D A,10:57:56.256,344
M D A,10:58:00.222,244
M D A,10:58:04.522,261
M D A,10:58:08.122,0
M D A,10:58:10.988,233
M D A,10:58:14.438,262
M D A,10:58:16.554,247
M D A,10:58:20.988,299
M D A,10:58:23.888,0
M D A,10:58:26.438,0
M D A,10:58:28.971,0
M D A,10:58:33.637,264
M D A,10:58:37.986,299
M D A,10:58:41.303,283
M D A,10:58:43.769,283
M D A,10:58:46.803,0
M D A,10:58:50.052,233
M D A,10:58:52.036,283
M D A,10:58:53.369,0
M D A,10:58:55.585,366
M D A,10:58:58.852,0
M D A,10:59:01.935,0
M D A,10:59:04.234,349
M D A,10:59:07.368,283
M D A,10:59:09.968,283
M D A,10:59:12.651,0
M D A,10:59:15.884,247
M D A,10:59:18.334,0
M D A,10:59:22.317,299
M D A,10:59:24.333,383
M D A,10:59:27.216,266
M D A,10:59:30.350,266
M D A,10:59:32.699,283
M D A,10:59:35.716,299
M D A,10:59:40.198,284
M D A,10:59:44.298,329
M D A,10:59:46.982,0
M D A,10:59:49.964,260
M D A,10:59:54.032,316
M D A,10:59:58.097,349
M D A,11:00:00.564,349
M D A,11:00:04.081,0
M D A,11:00:07.480,266
M D A,11:00:09.530,449
M D A,11:00:13.979,299
M D A,11:00:16.913,1166
M D A,11:00:18.580,0
M D A,11:00:21.346,266
M D A,11:00:25.595,249
M D A,11:00:27.779,299
M D A,11:00:32.611,266
M D A,11:00:37.011,266
M D A,Sex,
M D A,Test Duration in seconds,422
M D A,Number of False Positives,36
M D A,Average response time ,313
M D A,Fastest response time ,12
M D A,Slowest response time ,1366
M D A,Count of response time over 500ms ,4
