Task,TapTime,Milliseconds
pml,10:16:40.421,416
pml,10:16:43.188,416
pml,10:16:46.504,247
pml,10:16:49.187,254
pml,10:16:52.671,271
pml,10:16:55.703,266
pml,10:16:58.886,249
pml,10:17:01.020,582
pml,10:17:03.319,349
pml,10:17:05.869,299
pml,10:17:10.103,266
pml,10:17:11.436,0
pml,10:17:13.869,566
pml,10:17:16.752,262
pml,10:17:19.318,282
pml,10:17:21.752,0
pml,10:17:25.101,266
pml,10:17:28.001,299
pml,10:17:30.168,0
pml,10:17:34.185,0
pml,10:17:37.434,266
pml,10:17:39.333,299
pml,10:17:43.317,349
pml,10:17:44.750,0
pml,10:17:48.883,348
pml,10:17:48.983,0
pml,10:17:53.299,333
pml,10:17:55.882,449
pml,10:17:58.816,249
pml,10:18:01.332,283
pml,10:18:05.232,298
pml,10:18:10.049,283
pml,10:18:13.231,332
pml,10:18:15.631,266
pml,10:18:18.331,299
pml,10:18:23.080,249
pml,10:18:26.930,225
pml,10:18:31.513,283
pml,10:18:35.630,333
pml,10:18:39.763,266
pml,10:18:42.329,432
pml,10:18:45.129,433
pml,10:18:45.611,0
pml,10:18:50.362,399
pml,10:18:54.962,333
pml,10:18:58.778,416
pml,10:19:02.011,383
pml,10:19:05.245,283
pml,10:19:08.094,266
pml,10:19:11.027,266
pml,10:19:13.793,299
pml,10:19:16.144,629
pml,10:19:18.360,313
pml,10:19:21.144,0
pml,10:19:23.060,0
pml,10:19:26.493,0
pml,10:19:31.376,283
pml,10:19:34.059,279
pml,10:19:36.942,316
pml,10:19:39.592,299
pml,10:19:42.808,293
pml,10:19:47.558,266
pml,10:19:50.490,0
pml,10:19:54.841,283
pml,10:19:57.674,316
pml,10:19:59.857,433
pml,10:20:02.257,299
pml,10:20:04.807,0
pml,10:20:09.090,0
pml,10:20:12.173,283
pml,10:20:16.856,299
pml,10:20:19.589,499
pml,10:20:21.805,449
pml,10:20:25.405,316
pml,10:20:28.270,0
pml,10:20:28.555,0
pml,10:20:30.755,422
pml,10:20:35.288,333
pml,10:20:38.871,316
pml,10:20:42.121,366
pml,10:20:45.337,316
pml,10:20:47.287,333
pml,10:20:49.037,83
pml,10:20:52.287,466
pml,10:20:55.203,249
pml,10:20:57.053,299
pml,10:20:58.186,0
pml,10:20:59.770,0
pml,10:21:02.770,0
pml,10:21:06.619,0
pml,10:21:09.519,299
pml,10:21:11.835,318
pml,10:21:14.568,283
pml,10:21:17.635,283
pml,10:21:20.802,285
pml,10:21:23.334,249
pml,10:21:25.368,349
pml,10:21:27.484,333
pml,10:21:30.867,297
pml,10:21:33.267,449
pml,10:21:35.484,466
pml,10:21:40.300,454
pml,10:21:43.133,449
pml,10:21:45.233,416
pml,10:21:46.566,0
pml,10:21:47.967,0
pml,10:21:52.582,299
pml,10:21:57.032,283
pml,10:21:57.515,0
pml,10:21:59.765,683
pml,10:22:03.781,299
pml,10:22:07.665,383
pml,10:22:10.331,383
pml,10:22:13.115,0
pml,10:22:17.564,83
pml,10:22:20.313,499
pml,10:22:24.246,299
pml,10:22:27.146,314
pml,10:22:30.013,333
pml,10:22:32.463,316
pml,10:22:34.697,0
pml,10:22:37.530,0
pml,10:22:40.463,0
pml,10:22:42.579,299
pml,10:22:46.462,316
pml,10:22:49.845,299
pml,10:22:52.411,333
pml,10:22:54.611,466
pml,10:22:57.195,583
pml,10:23:00.944,310
pml,10:23:03.677,599
pml,10:23:07.560,349
pml,10:23:10.877,0
pml,10:23:14.043,299
pml,10:23:16.543,453
pml,10:23:19.777,0
pml,10:23:22.359,330
pml,10:23:25.276,333
pml,10:23:28.825,397
pml,10:23:31.042,407
pml,10:23:34.192,316
pml,10:23:37.625,283
pml,Sex,
pml,Test Duration in seconds,420
pml,Number of False Positives,28
pml,Average response time ,339
pml,Fastest response time ,83
pml,Slowest response time ,683
pml,Count of response time over 500ms ,6
