Task,TapTime,Milliseconds
rct,09:59:02.950,346
rct,09:59:04.718,0
rct,09:59:08.400,256
rct,09:59:12.083,216
rct,09:59:14.916,249
rct,09:59:17.800,0
rct,09:59:20.983,0
rct,09:59:24.999,666
rct,09:59:28.648,316
rct,09:59:32.482,283
rct,09:59:36.965,302
rct,09:59:39.864,514
rct,09:59:43.281,0
rct,09:59:46.997,334
rct,09:59:51.098,0
rct,09:59:53.597,0
rct,09:59:56.313,449
rct,09:59:59.995,332
rct,10:00:02.663,333
rct,10:00:06.913,250
rct,10:00:10.496,232
rct,10:00:12.962,347
rct,10:00:16.445,316
rct,10:00:19.912,383
rct,10:00:23.128,466
rct,10:00:26.078,0
rct,10:00:30.061,466
rct,10:00:33.261,332
rct,10:00:35.960,347
rct,10:00:39.977,353
rct,10:00:44.110,383
rct,10:00:47.194,0
rct,10:00:49.460,333
rct,10:00:52.393,383
rct,10:00:56.992,329
rct,10:01:00.575,249
rct,10:01:03.225,480
rct,10:01:06.309,0
rct,10:01:10.275,0
rct,10:01:13.391,532
rct,10:01:18.207,349
rct,10:01:22.624,432
rct,10:01:25.907,583
rct,10:01:28.640,449
rct,10:01:31.340,349
rct,10:01:34.373,383
rct,10:01:35.590,0
rct,10:01:39.289,366
rct,10:01:42.256,458
rct,10:01:44.506,559
rct,10:01:49.039,316
rct,10:01:53.472,397
rct,10:01:57.338,349
rct,10:02:00.504,482
rct,10:02:04.637,316
rct,10:02:09.170,516
rct,10:02:12.687,433
rct,10:02:15.587,466
rct,10:02:19.236,449
rct,10:02:23.086,339
rct,10:02:26.519,493
rct,10:02:29.853,466
rct,10:02:34.535,349
rct,10:02:38.618,468
rct,10:02:41.568,497
rct,10:02:43.901,516
rct,10:02:46.068,597
rct,10:02:48.901,316
rct,10:02:53.667,416
rct,10:02:57.234,116
rct,10:03:01.400,349
rct,10:03:04.366,316
rct,10:03:07.800,282
rct,10:03:11.267,0
rct,10:03:14.000,0
rct,10:03:17.083,0
rct,10:03:19.299,316
rct,10:03:22.715,380
rct,10:03:25.198,349
rct,10:03:26.215,0
rct,10:03:29.298,316
rct,10:03:32.682,0
rct,10:03:34.931,0
rct,10:03:36.931,416
rct,10:03:38.981,466
rct,10:03:42.064,283
rct,10:03:45.147,499
rct,10:03:47.764,583
rct,10:03:51.213,499
rct,10:03:55.046,399
rct,10:03:59.396,149
rct,10:04:01.646,266
rct,10:04:04.545,299
rct,10:04:07.313,0
rct,10:04:09.829,183
rct,10:04:11.928,349
rct,10:04:14.645,266
rct,10:04:18.012,0
rct,10:04:20.245,0
rct,10:04:23.744,1295
rct,10:04:27.744,766
rct,10:04:31.044,333
rct,10:04:34.110,258
rct,10:04:37.427,292
rct,10:04:39.943,366
rct,10:04:43.426,316
rct,10:04:44.976,0
rct,10:04:47.476,0
rct,10:04:51.926,260
rct,10:04:54.042,133
rct,10:04:57.042,376
rct,10:04:59.342,0
rct,10:05:01.308,0
rct,10:05:03.558,364
rct,10:05:04.291,0
rct,10:05:08.374,1466
rct,10:05:10.824,449
rct,10:05:14.241,333
rct,10:05:17.557,316
rct,10:05:19.623,449
rct,10:05:21.690,449
rct,10:05:25.523,416
rct,10:05:28.706,399
rct,10:05:32.389,416
rct,10:05:34.856,416
rct,10:05:38.639,399
rct,10:05:42.439,333
rct,10:05:44.988,438
rct,10:05:48.288,316
rct,10:05:50.604,499
rct,10:05:52.955,0
rct,10:05:55.471,299
rct,10:05:58.854,304
rct,10:06:00.271,0
rct,10:06:02.337,433
rct,Sex,
rct,Test Duration in seconds,422
rct,Number of False Positives,27
rct,Average response time ,396
rct,Fastest response time ,116
rct,Slowest response time ,1466
rct,Count of response time over 500ms ,12
