Task,TapTime,Milliseconds
ACL,10:31:21.532,266
ACL,10:31:24.582,283
ACL,10:31:26.548,316
ACL,10:31:29.731,264
ACL,10:31:31.997,166
ACL,10:31:33.881,0
ACL,10:31:36.430,266
ACL,10:31:38.347,383
ACL,10:31:41.430,266
ACL,10:31:45.263,154
ACL,10:31:47.645,0
ACL,10:31:49.580,0
ACL,10:31:51.579,349
ACL,10:31:54.262,368
ACL,10:31:57.279,0
ACL,10:31:59.395,233
ACL,10:32:01.596,0
ACL,10:32:03.912,0
ACL,10:32:08.811,292
ACL,10:32:12.744,249
ACL,10:32:15.594,485
ACL,10:32:19.427,266
ACL,10:32:23.593,299
ACL,10:32:28.293,266
ACL,10:32:31.259,366
ACL,10:32:34.109,283
ACL,10:32:36.608,249
ACL,10:32:38.843,0
ACL,10:32:41.742,0
ACL,10:32:44.125,299
ACL,10:32:46.158,333
ACL,10:32:49.258,299
ACL,10:32:51.992,0
ACL,10:32:54.541,316
ACL,10:32:57.257,147
ACL,10:33:00.557,266
ACL,10:33:03.457,0
ACL,10:33:06.757,0
ACL,10:33:09.689,266
ACL,10:33:12.806,183
ACL,10:33:16.389,299
ACL,10:33:20.755,266
ACL,10:33:23.222,266
ACL,10:33:27.871,271
ACL,10:33:31.937,316
ACL,10:33:34.871,0
ACL,10:33:39.087,266
ACL,10:33:43.820,307
ACL,10:33:46.337,383
ACL,10:33:49.536,286
ACL,10:33:52.570,283
ACL,10:33:55.702,282
ACL,10:33:57.652,366
ACL,10:34:01.169,349
ACL,10:34:04.502,263
ACL,10:34:07.335,296
ACL,10:34:10.851,299
ACL,10:34:13.152,0
ACL,10:34:16.084,333
ACL,10:34:19.234,283
ACL,10:34:23.967,416
ACL,10:34:26.284,533
ACL,10:34:28.967,283
ACL,10:34:33.316,280
ACL,10:34:37.299,263
ACL,10:34:40.049,416
ACL,10:34:43.432,343
ACL,10:34:45.581,367
ACL,10:34:49.098,283
ACL,10:34:52.347,0
ACL,10:34:57.281,382
ACL,10:35:00.431,0
ACL,10:35:04.647,299
ACL,10:35:08.280,0
ACL,10:35:12.879,266
ACL,10:35:15.046,366
ACL,10:35:18.962,283
ACL,10:35:21.013,333
ACL,10:35:22.829,0
ACL,10:35:25.512,433
ACL,10:35:28.945,247
ACL,10:35:33.811,266
ACL,10:35:37.561,416
ACL,10:35:41.310,299
ACL,10:35:44.644,233
ACL,10:35:48.110,366
ACL,10:35:51.093,283
ACL,10:35:54.193,0
ACL,10:35:58.459,347
ACL,10:36:02.992,316
ACL,10:36:06.542,533
ACL,10:36:10.825,351
ACL,10:36:13.092,416
ACL,10:36:16.892,283
ACL,10:36:17.058,0
ACL,10:36:19.524,316
ACL,10:36:21.674,466
ACL,10:36:24.207,399
ACL,10:36:27.791,345
ACL,10:36:27.939,0
ACL,10:36:32.790,249
ACL,10:36:34.789,316
ACL,10:36:38.356,349
ACL,10:36:42.889,549
ACL,10:36:45.672,399
ACL,10:36:47.722,516
ACL,10:36:51.321,249
ACL,10:36:55.355,245
ACL,10:36:57.921,294
ACL,10:37:01.654,284
ACL,10:37:03.987,364
ACL,10:37:07.320,284
ACL,10:37:09.737,0
ACL,10:37:14.370,296
ACL,10:37:18.619,283
ACL,10:37:22.852,249
ACL,10:37:25.969,366
ACL,10:37:30.152,216
ACL,10:37:32.235,366
ACL,10:37:36.401,266
ACL,10:37:41.284,283
ACL,10:37:45.167,57
ACL,10:37:45.384,0
ACL,10:37:49.850,380
ACL,10:37:54.350,283
ACL,10:37:58.849,285
ACL,10:38:03.199,266
ACL,10:38:06.582,249
ACL,10:38:09.066,0
ACL,10:38:12.464,0
ACL,10:38:17.148,283
ACL,10:38:20.831,336
ACL,Sex,
ACL,Test Duration in seconds,422
ACL,Number of False Positives,24
ACL,Average response time ,310
ACL,Fastest response time ,57
ACL,Slowest response time ,549
ACL,Count of response time over 500ms ,4
