Task,TapTime,Milliseconds
LAQ,10:10:43.749,549
LAQ,10:10:45.682,282
LAQ,10:10:47.649,0
LAQ,10:10:50.731,266
LAQ,10:10:52.765,322
LAQ,10:10:54.382,0
LAQ,10:10:55.682,0
LAQ,10:10:56.164,0
LAQ,10:10:56.397,0
LAQ,10:10:57.048,0
LAQ,10:10:57.748,0
LAQ,10:10:59.231,0
LAQ,10:11:00.964,166
LAQ,10:11:03.514,0
LAQ,10:11:05.781,0
LAQ,10:11:07.797,0
LAQ,10:11:10.114,0
LAQ,10:11:13.613,282
LAQ,10:11:16.446,249
LAQ,10:11:18.979,316
LAQ,10:11:20.680,0
LAQ,10:11:22.313,0
LAQ,10:11:23.062,0
LAQ,10:11:25.795,266
LAQ,10:11:27.829,0
LAQ,10:11:30.928,266
LAQ,10:11:33.845,182
LAQ,10:11:36.395,0
LAQ,10:11:38.377,382
LAQ,10:11:41.061,0
LAQ,10:11:43.261,0
LAQ,10:11:45.311,0
LAQ,10:11:46.727,0
LAQ,10:11:47.460,0
LAQ,10:11:47.660,0
LAQ,10:11:47.860,0
LAQ,10:11:48.043,0
LAQ,10:11:48.193,0
LAQ,10:11:48.376,0
LAQ,10:11:48.544,0
LAQ,10:11:48.727,0
LAQ,10:11:48.910,0
LAQ,10:11:49.077,0
LAQ,10:11:49.243,0
LAQ,10:11:49.443,0
LAQ,10:11:49.610,0
LAQ,10:11:49.777,0
LAQ,10:11:49.926,0
LAQ,10:11:50.127,0
LAQ,10:11:50.294,0
LAQ,10:11:50.510,0
LAQ,10:11:51.561,0
LAQ,10:11:52.427,0
LAQ,10:11:53.444,0
LAQ,10:11:54.627,0
LAQ,10:11:56.093,0
LAQ,10:11:58.527,0
LAQ,10:12:01.359,299
LAQ,10:12:03.642,451
LAQ,10:12:04.076,0
LAQ,10:12:07.476,0
LAQ,10:12:08.942,0
LAQ,10:12:13.192,0
LAQ,10:12:16.458,0
LAQ,10:12:20.441,334
LAQ,10:12:24.157,432
LAQ,10:12:27.757,299
LAQ,10:12:31.573,249
LAQ,10:12:32.457,0
LAQ,10:12:32.723,0
LAQ,10:12:35.540,0
LAQ,10:12:37.990,0
LAQ,10:12:40.123,332
LAQ,10:12:43.840,0
LAQ,10:12:44.339,0
LAQ,10:12:44.822,0
LAQ,10:12:48.455,306
LAQ,10:12:49.339,0
LAQ,10:12:50.139,0
LAQ,10:12:50.705,0
LAQ,10:12:53.689,0
LAQ,10:12:56.205,282
LAQ,10:12:59.221,270
LAQ,10:13:01.887,266
LAQ,10:13:04.687,266
LAQ,10:13:06.737,264
LAQ,10:13:08.937,0
LAQ,10:13:11.154,0
LAQ,10:13:13.870,0
LAQ,10:13:17.254,0
LAQ,10:13:21.753,264
LAQ,10:13:25.386,279
LAQ,10:13:27.619,0
LAQ,10:13:29.652,332
LAQ,10:13:31.802,416
LAQ,10:13:34.485,0
LAQ,10:13:37.902,0
LAQ,10:13:41.068,381
LAQ,10:13:45.168,0
LAQ,10:13:48.200,282
LAQ,10:13:51.551,0
LAQ,10:13:53.650,433
LAQ,10:13:56.533,258
LAQ,10:13:58.566,291
LAQ,10:13:59.867,0
