Task,TapTime,Milliseconds
ACF,11:10:30.674,366
ACF,11:10:35.491,916
ACF,11:10:36.491,0
ACF,11:10:39.274,0
ACF,11:10:39.506,0
ACF,11:10:42.857,283
ACF,11:10:45.773,333
ACF,11:10:46.957,0
ACF,11:10:48.490,0
ACF,11:10:50.757,0
ACF,11:10:53.306,266
ACF,11:10:54.406,0
ACF,11:10:57.039,333
ACF,11:10:59.072,433
ACF,11:11:00.972,266
ACF,11:11:02.306,0
ACF,11:11:03.789,0
ACF,11:11:05.072,0
ACF,11:11:06.989,0
ACF,11:11:09.454,283
ACF,11:11:11.222,0
ACF,11:11:13.554,383
ACF,11:11:16.137,499
ACF,11:11:19.421,0
ACF,11:11:23.187,283
ACF,11:11:25.737,0
ACF,11:11:26.853,0
ACF,11:11:28.337,0
ACF,11:11:30.769,599
ACF,11:11:35.119,418
ACF,11:11:37.619,0
ACF,11:11:40.735,433
ACF,11:11:43.285,383
ACF,11:11:46.118,349
ACF,11:11:48.768,0
ACF,11:11:52.185,0
ACF,11:11:55.018,0
ACF,11:11:59.450,349
ACF,11:12:00.584,0
ACF,11:12:04.683,246
ACF,11:12:08.684,0
ACF,11:12:13.066,266
ACF,11:12:15.416,556
ACF,11:12:18.432,394
ACF,11:12:20.716,0
ACF,11:12:24.465,349
ACF,11:12:26.982,394
ACF,11:12:30.864,299
ACF,11:12:34.764,466
ACF,11:12:39.547,297
ACF,11:12:44.297,333
ACF,11:12:47.463,566
ACF,11:12:50.779,416
ACF,11:12:54.746,116
ACF,11:12:58.029,330
ACF,11:13:00.063,0
ACF,11:13:02.679,0
ACF,11:13:04.912,0
ACF,11:13:06.696,0
ACF,11:13:07.395,0
ACF,11:13:07.661,0
ACF,11:13:10.095,488
ACF,11:13:12.045,0
ACF,11:13:12.127,0
ACF,11:13:12.561,0
ACF,11:13:12.744,0
ACF,11:13:16.961,1658
ACF,11:13:20.127,130
ACF,11:13:23.794,0
ACF,11:13:26.027,0
ACF,11:13:27.510,0
ACF,11:13:30.643,1082
ACF,11:13:30.826,0
ACF,11:13:35.493,133
ACF,11:13:38.025,380
ACF,11:13:38.793,0
ACF,11:13:43.026,0
ACF,11:13:47.992,299
ACF,11:13:50.075,0
ACF,11:13:52.858,0
ACF,11:13:53.174,0
ACF,11:13:55.458,0
ACF,11:13:59.108,416
ACF,11:14:02.290,466
ACF,11:14:05.690,333
ACF,11:14:09.790,299
ACF,11:14:14.356,399
ACF,11:14:16.872,649
ACF,11:14:20.322,366
ACF,11:14:24.122,299
ACF,11:14:27.056,0
ACF,11:14:29.138,516
ACF,11:14:32.871,316
ACF,11:14:36.087,266
ACF,11:14:39.087,66
ACF,11:14:42.454,299
ACF,11:14:44.937,0
ACF,11:14:46.870,335
ACF,11:14:49.271,0
ACF,11:14:53.770,349
ACF,11:14:58.086,333
ACF,11:15:00.735,382
ACF,11:15:05.502,749
ACF,11:15:08.052,432
ACF,11:15:11.319,0
ACF,11:15:13.868,0
ACF,11:15:16.118,0
ACF,11:15:16.384,0
ACF,11:15:16.567,0
ACF,11:15:16.767,0
ACF,11:15:16.950,0
ACF,11:15:17.134,0
ACF,11:15:17.351,0
ACF,11:15:17.518,0
ACF,11:15:17.718,0
ACF,11:15:17.901,0
ACF,11:15:18.084,0
ACF,11:15:18.284,0
ACF,11:15:18.468,0
ACF,11:15:18.668,0
ACF,11:15:18.868,0
ACF,11:15:19.051,0
ACF,11:15:19.251,0
ACF,11:15:19.434,0
ACF,11:15:19.634,0
ACF,11:15:19.834,0
ACF,11:15:20.034,0
ACF,11:15:20.234,0
ACF,11:15:20.434,0
ACF,11:15:20.618,0
ACF,11:15:20.817,0
ACF,11:15:21.034,0
ACF,11:15:21.251,0
ACF,11:15:21.434,0
ACF,11:15:21.634,0
ACF,11:15:21.901,0
ACF,11:15:22.101,0
ACF,11:15:22.284,0
ACF,11:15:22.467,0
ACF,11:15:22.667,0
ACF,11:15:24.251,0
ACF,11:15:28.117,499
ACF,11:15:29.534,0
ACF,11:15:29.699,0
ACF,11:15:29.916,0
ACF,11:15:30.099,0
ACF,11:15:30.283,0
ACF,11:15:30.499,0
ACF,11:15:33.516,366
ACF,11:15:36.217,0
ACF,11:15:40.849,366
ACF,11:15:45.416,302
ACF,11:15:47.949,466
ACF,11:15:49.982,432
ACF,11:15:53.465,0
ACF,11:15:53.814,0
ACF,11:15:54.982,0
ACF,11:15:57.282,0
ACF,11:15:59.997,249
ACF,11:16:04.531,316
ACF,11:16:07.913,366
ACF,11:16:09.581,0
ACF,11:16:11.747,0
ACF,11:16:14.780,0
ACF,11:16:16.930,0
ACF,11:16:17.396,0
ACF,11:16:17.779,0
ACF,11:16:18.780,0
ACF,11:16:19.079,0
ACF,11:16:19.312,0
ACF,11:16:19.529,0
ACF,11:16:19.896,0
ACF,11:16:20.113,0
ACF,11:16:20.312,0
ACF,11:16:20.479,0
ACF,11:16:21.430,0
ACF,11:16:23.529,382
ACF,11:16:27.562,416
ACF,11:16:29.196,0
ACF,11:16:34.011,466
ACF,11:16:36.228,482
ACF,11:16:40.127,849
ACF,11:16:43.011,504
ACF,11:16:46.428,0
ACF,11:16:49.044,0
ACF,11:16:51.727,0
ACF,11:16:54.293,282
ACF,11:16:56.276,399
ACF,11:16:59.626,282
ACF,11:17:02.809,332
ACF,11:17:06.375,566
ACF,11:17:13.225,2416
ACF,11:17:17.341,399
ACF,11:17:20.191,382
ACF,11:17:25.040,299
ACF,11:17:27.890,282
ACF,Sex,
ACF,Test Duration in seconds,420
ACF,Number of False Positives,113
ACF,Average response time ,430
ACF,Fastest response time ,66
ACF,Slowest response time ,2416
ACF,Count of response time over 500ms ,13
