Task,TapTime,Milliseconds
LILM,09:27:42.157,949
LILM,09:27:44.774,499
LILM,09:27:47.640,366
LILM,09:27:49.707,0
LILM,09:27:53.890,349
LILM,09:27:56.723,431
LILM,09:28:00.390,383
LILM,09:28:03.939,333
LILM,09:28:06.539,399
LILM,09:28:11.322,316
LILM,09:28:15.105,366
LILM,09:28:20.021,458
LILM,09:28:23.938,533
LILM,09:28:26.854,329
LILM,09:28:30.370,299
LILM,09:28:33.653,316
LILM,09:28:35.753,416
LILM,09:28:37.653,316
LILM,09:28:39.353,0
LILM,09:28:41.337,0
LILM,09:28:43.820,0
LILM,09:28:48.336,333
LILM,09:28:52.785,265
LILM,09:28:56.685,283
LILM,09:28:59.218,416
LILM,09:29:03.384,316
LILM,09:29:07.267,166
LILM,09:29:07.534,0
LILM,09:29:11.417,283
LILM,09:29:14.200,399
LILM,09:29:14.817,0
LILM,09:29:17.467,0
LILM,09:29:17.566,0
LILM,09:29:17.699,0
LILM,09:29:20.883,416
LILM,09:29:23.400,733
LILM,09:29:26.582,449
LILM,09:29:29.282,416
LILM,09:29:32.182,316
LILM,09:29:35.765,0
LILM,09:29:39.015,483
LILM,09:29:41.498,699
LILM,09:29:43.614,416
LILM,09:29:46.714,783
LILM,09:29:48.597,199
LILM,09:29:50.297,33
LILM,09:29:54.730,466
LILM,09:29:58.346,416
LILM,09:30:02.213,349
LILM,09:30:04.479,616
LILM,09:30:07.429,480
LILM,09:30:11.712,316
LILM,09:30:16.395,266
LILM,09:30:17.695,0
LILM,09:30:19.928,466
LILM,09:30:24.411,283
LILM,09:30:28.194,266
LILM,09:30:29.228,0
LILM,09:30:31.427,566
LILM,09:30:32.011,0
LILM,09:30:33.711,0
LILM,09:30:37.893,299
LILM,09:30:41.960,366
LILM,09:30:44.926,431
LILM,09:30:47.443,0
LILM,09:30:50.009,483
LILM,09:30:52.425,299
LILM,09:30:54.759,633
LILM,09:30:57.092,433
LILM,09:30:59.042,0
LILM,09:31:02.025,366
LILM,09:31:07.491,899
LILM,09:31:12.507,383
LILM,09:31:17.173,364
LILM,09:31:18.690,0
LILM,09:31:20.856,599
LILM,09:31:25.306,516
LILM,09:31:30.156,366
LILM,09:31:33.155,561
LILM,09:31:37.388,466
LILM,09:31:39.822,433
LILM,09:31:44.871,549
LILM,09:31:47.271,683
LILM,09:31:49.855,0
LILM,09:31:52.187,380
LILM,09:31:56.954,366
LILM,09:32:01.353,366
LILM,09:32:01.903,0
LILM,09:32:02.020,0
LILM,09:32:04.736,483
LILM,09:32:08.403,0
LILM,09:32:10.886,470
LILM,09:32:13.436,837
LILM,09:32:16.285,299
LILM,09:32:19.918,247
LILM,09:32:23.268,283
LILM,09:32:26.684,299
LILM,09:32:28.985,0
LILM,09:32:32.234,383
LILM,09:32:36.067,283
LILM,09:32:40.466,283
LILM,09:32:43.933,416
LILM,09:32:46.533,0
LILM,09:32:49.582,66
LILM,09:32:49.799,0
LILM,09:32:52.649,533
LILM,09:32:57.232,383
LILM,09:33:01.448,399
LILM,09:33:04.548,499
LILM,09:33:07.931,949
LILM,09:33:10.331,648
LILM,09:33:13.797,416
LILM,09:33:16.814,433
LILM,09:33:21.380,399
LILM,09:33:25.097,316
LILM,09:33:29.347,0
LILM,09:33:33.229,0
LILM,09:33:35.695,916
LILM,09:33:40.128,349
LILM,09:33:47.596,0
LILM,09:33:55.844,0
LILM,09:34:05.309,0
LILM,09:34:12.976,0
LILM,09:34:22.528,0
LILM,09:34:31.647,0
LILM,09:34:38.537,0
LILM,09:34:47.840,0
LILM,Sex,
LILM,Test Duration in seconds,427
LILM,Number of False Positives,34
LILM,Average response time ,427
LILM,Fastest response time ,33
LILM,Slowest response time ,949
LILM,Count of response time over 500ms ,19
