Task,TapTime,Milliseconds
SBM,10:51:16.868,266
SBM,10:51:20.368,257
SBM,10:51:22.984,300
SBM,10:51:25.201,0
SBM,10:51:25.450,0
SBM,10:51:27.218,0
SBM,10:51:29.418,0
SBM,10:51:31.617,264
SBM,10:51:33.600,266
SBM,10:51:35.367,0
SBM,10:51:37.416,260
SBM,10:51:39.317,0
SBM,10:51:41.383,0
SBM,10:51:41.499,0
SBM,10:51:44.133,238
SBM,10:51:47.666,0
SBM,10:51:49.749,323
SBM,10:51:52.982,350
SBM,10:51:57.665,325
SBM,10:52:02.314,283
SBM,10:52:05.297,276
SBM,10:52:05.948,0
SBM,10:52:06.063,0
SBM,10:52:08.681,483
SBM,10:52:11.414,449
SBM,10:52:13.697,0
SBM,10:52:16.980,116
SBM,10:52:19.363,299
SBM,10:52:22.546,283
SBM,10:52:25.546,216
SBM,10:52:29.212,283
SBM,10:52:31.612,283
SBM,10:52:36.161,299
SBM,10:52:38.445,0
SBM,10:52:41.728,0
SBM,10:52:42.211,0
SBM,10:52:44.361,333
SBM,10:52:46.561,280
SBM,10:52:49.194,0
SBM,10:52:49.810,0
SBM,10:52:51.827,0
SBM,10:52:54.610,256
SBM,10:52:56.277,0
SBM,10:52:59.493,271
SBM,10:53:03.292,401
SBM,10:53:07.909,311
SBM,10:53:11.392,324
SBM,10:53:14.042,451
SBM,10:53:15.692,0
SBM,10:53:18.491,76
SBM,10:53:22.041,22
SBM,10:53:25.391,280
SBM,10:53:28.641,164
SBM,10:53:32.208,0
SBM,10:53:32.357,0
SBM,10:53:32.456,0
SBM,10:53:35.724,0
SBM,10:53:37.807,264
SBM,10:53:38.190,0
SBM,10:53:41.057,0
SBM,10:53:44.756,166
SBM,10:53:49.139,616
SBM,10:53:53.739,416
SBM,10:53:57.872,0
SBM,10:54:02.538,190
SBM,10:54:04.821,290
SBM,10:54:05.138,0
SBM,10:54:08.405,0
SBM,10:54:12.070,416
SBM,10:54:12.387,0
SBM,10:54:16.104,0
SBM,10:54:19.137,0
SBM,10:54:22.637,0
SBM,10:54:23.069,0
SBM,10:54:26.270,83
SBM,10:54:29.619,0
SBM,10:54:32.369,296
SBM,10:54:35.918,247
SBM,10:54:38.168,297
SBM,10:54:40.952,0
SBM,10:54:42.918,314
SBM,10:54:45.384,273
SBM,10:54:46.018,0
SBM,10:54:48.950,299
SBM,10:54:53.051,0
SBM,10:54:53.417,0
SBM,10:54:53.583,0
SBM,10:54:53.950,0
SBM,10:54:55.284,0
SBM,10:54:59.150,278
SBM,10:55:02.766,316
SBM,10:55:02.983,0
SBM,10:55:03.598,0
SBM,10:55:06.767,0
SBM,10:55:06.999,0
SBM,10:55:09.182,509
SBM,10:55:12.999,981
SBM,10:55:15.497,0
SBM,10:55:15.815,0
SBM,10:55:18.066,0
SBM,10:55:20.998,1016
SBM,10:55:24.081,499
SBM,10:55:26.498,364
SBM,10:55:28.481,0
SBM,10:55:31.464,399
SBM,10:55:31.781,0
SBM,10:55:33.730,416
SBM,10:55:36.530,418
SBM,10:55:39.147,368
SBM,10:55:41.413,99
SBM,10:55:45.330,218
SBM,10:55:47.346,299
SBM,10:55:50.463,353
SBM,10:55:52.529,484
SBM,10:55:55.796,0
SBM,10:55:56.162,0
SBM,10:55:58.910,0
SBM,10:56:02.345,1166
SBM,10:56:04.393,0
SBM,10:56:04.659,0
SBM,10:56:07.062,418
SBM,10:56:07.178,0
SBM,10:56:09.311,0
SBM,10:56:09.644,0
SBM,10:56:10.227,0
SBM,10:56:13.160,316
SBM,10:56:17.192,0
SBM,10:56:21.910,1438
SBM,10:56:26.409,299
SBM,10:56:29.326,0
SBM,10:56:32.610,0
SBM,10:56:36.708,67
SBM,10:56:36.842,0
SBM,10:56:41.675,275
SBM,10:56:43.808,469
SBM,10:56:47.558,382
SBM,10:56:50.724,282
SBM,10:56:52.807,499
SBM,10:56:56.890,249
SBM,10:56:59.190,282
SBM,10:57:02.174,0
SBM,10:57:03.674,0
SBM,10:57:05.740,0
SBM,10:57:06.122,0
SBM,10:57:08.223,0
SBM,10:57:10.873,0
SBM,10:57:14.256,0
SBM,10:57:14.505,0
SBM,10:57:17.489,364
SBM,10:57:22.172,332
SBM,10:57:26.888,316
SBM,10:57:28.988,349
SBM,10:57:29.654,0
SBM,10:57:30.821,0
SBM,10:57:33.671,0
SBM,10:57:35.687,423
SBM,10:57:39.437,266
SBM,10:57:41.069,0
SBM,10:57:43.853,389
SBM,10:57:46.286,362
SBM,10:57:49.469,276
SBM,10:57:52.453,0
SBM,10:57:56.935,97
SBM,10:58:00.402,291
SBM,10:58:04.618,316
SBM,10:58:07.451,303
SBM,10:58:11.551,382
SBM,10:58:13.017,0
SBM,10:58:16.684,313
SBM,Sex,
SBM,Test Duration in seconds,422
SBM,Number of False Positives,78
SBM,Average response time ,344
SBM,Fastest response time ,22
SBM,Slowest response time ,1438
SBM,Count of response time over 500ms ,6
