Task,TapTime,Milliseconds
VSM,09:46:43.949,333
VSM,09:46:45.965,425
VSM,09:46:47.815,275
VSM,09:46:51.598,283
VSM,09:46:55.981,266
VSM,09:46:58.131,349
VSM,09:47:00.280,297
VSM,09:47:03.480,299
VSM,09:47:05.830,249
VSM,09:47:07.847,314
VSM,09:47:10.280,233
VSM,09:47:13.229,249
VSM,09:47:15.696,249
VSM,09:47:18.080,0
VSM,09:47:21.096,0
VSM,09:47:26.045,283
VSM,09:47:29.812,299
VSM,09:47:33.762,249
VSM,09:47:37.944,299
VSM,09:47:42.860,330
VSM,09:47:45.427,383
VSM,09:47:48.127,330
VSM,09:47:52.610,299
VSM,09:47:54.542,366
VSM,09:47:58.843,266
VSM,09:48:00.859,349
VSM,09:48:03.176,333
VSM,09:48:05.759,316
VSM,09:48:08.658,283
VSM,09:48:12.375,266
VSM,09:48:17.141,299
VSM,09:48:21.857,283
VSM,09:48:26.574,284
VSM,09:48:28.624,0
VSM,09:48:32.040,333
VSM,09:48:35.840,333
VSM,09:48:38.023,497
VSM,09:48:41.222,249
VSM,09:48:43.573,333
VSM,09:48:47.005,299
VSM,09:48:48.856,0
VSM,09:48:49.155,0
VSM,09:48:52.938,299
VSM,09:48:56.455,283
VSM,09:49:00.604,299
VSM,09:49:04.954,249
VSM,09:49:06.954,383
VSM,09:49:10.104,0
VSM,09:49:12.820,316
VSM,09:49:16.653,325
VSM,09:49:21.636,266
VSM,09:49:25.036,333
VSM,09:49:29.252,283
VSM,09:49:31.752,383
VSM,09:49:36.151,316
VSM,09:49:40.301,333
VSM,09:49:44.367,333
VSM,09:49:47.717,264
VSM,09:49:50.167,333
VSM,09:49:52.250,302
VSM,09:49:54.533,299
VSM,09:49:57.466,266
VSM,09:50:00.066,299
VSM,09:50:02.399,280
VSM,09:50:06.199,299
VSM,09:50:10.166,333
VSM,09:50:13.348,297
VSM,09:50:17.831,266
VSM,09:50:20.348,364
VSM,09:50:24.581,283
VSM,09:50:29.097,266
VSM,09:50:31.330,339
VSM,09:50:35.146,316
VSM,09:50:39.296,295
VSM,09:50:41.463,433
VSM,09:50:46.079,316
VSM,09:50:49.995,299
VSM,09:50:52.412,297
VSM,09:50:54.928,299
VSM,09:50:59.361,266
VSM,09:51:04.327,280
VSM,09:51:08.377,283
VSM,09:51:10.810,316
VSM,09:51:13.494,266
VSM,09:51:15.943,364
VSM,09:51:20.159,266
VSM,09:51:23.427,0
VSM,09:51:25.992,335
VSM,09:51:28.026,333
VSM,09:51:32.159,333
VSM,09:51:34.275,383
VSM,09:51:38.624,333
VSM,09:51:42.924,366
VSM,09:51:45.491,386
VSM,09:51:48.324,299
VSM,09:51:51.124,299
VSM,09:51:53.273,316
VSM,09:51:55.757,333
VSM,09:51:58.507,283
VSM,09:52:01.539,249
VSM,09:52:04.640,283
VSM,09:52:08.422,266
VSM,09:52:10.822,399
VSM,09:52:13.873,0
VSM,09:52:16.588,299
VSM,09:52:19.805,316
VSM,09:52:24.071,316
VSM,09:52:27.638,349
VSM,09:52:30.221,333
VSM,09:52:33.504,349
VSM,09:52:36.520,366
VSM,09:52:40.204,0
VSM,09:52:42.503,344
VSM,09:52:44.453,433
VSM,09:52:47.269,449
VSM,09:52:49.552,380
VSM,09:52:52.036,483
VSM,09:52:54.185,312
VSM,09:52:56.852,299
VSM,09:52:59.718,299
VSM,09:53:03.901,349
VSM,09:53:08.501,283
VSM,09:53:13.351,333
VSM,09:53:16.133,351
VSM,09:53:20.816,333
VSM,09:53:25.416,311
VSM,09:53:29.316,299
VSM,09:53:32.599,316
VSM,09:53:37.082,266
VSM,09:53:39.831,349
VSM,09:53:42.131,316
VSM,Sex,
VSM,Test Duration in seconds,420
VSM,Number of False Positives,9
VSM,Average response time ,316
VSM,Fastest response time ,233
VSM,Slowest response time ,497
VSM,Count of response time over 500ms ,0
