Task,TapTime,Milliseconds
lmdlhv,09:57:58.082,349
lmdlhv,09:58:02.698,280
lmdlhv,09:58:07.165,299
lmdlhv,09:58:10.714,249
lmdlhv,09:58:15.397,266
lmdlhv,09:58:18.581,316
lmdlhv,09:58:21.064,333
lmdlhv,09:58:24.297,267
lmdlhv,09:58:28.180,249
lmdlhv,09:58:31.830,299
lmdlhv,09:58:34.880,283
lmdlhv,09:58:37.346,283
lmdlhv,09:58:40.779,249
lmdlhv,09:58:43.362,299
lmdlhv,09:58:46.528,266
lmdlhv,09:58:49.528,0
lmdlhv,09:58:53.012,283
lmdlhv,09:58:56.395,222
lmdlhv,09:58:59.028,275
lmdlhv,09:59:01.028,299
lmdlhv,09:59:03.478,283
lmdlhv,09:59:07.277,282
lmdlhv,09:59:11.961,299
lmdlhv,09:59:15.560,299
lmdlhv,09:59:18.177,316
lmdlhv,09:59:20.859,266
lmdlhv,09:59:24.009,256
lmdlhv,09:59:26.776,281
lmdlhv,09:59:30.192,266
lmdlhv,09:59:32.892,254
lmdlhv,09:59:35.759,263
lmdlhv,09:59:40.058,266
lmdlhv,09:59:44.391,241
lmdlhv,09:59:48.075,0
lmdlhv,09:59:50.524,733
lmdlhv,09:59:53.657,266
lmdlhv,09:59:55.690,299
lmdlhv,09:59:57.790,333
lmdlhv,10:00:01.690,299
lmdlhv,10:00:05.056,333
lmdlhv,10:00:08.740,283
lmdlhv,10:00:11.989,399
lmdlhv,10:00:15.472,283
lmdlhv,10:00:18.756,233
lmdlhv,10:00:22.689,259
lmdlhv,10:00:26.238,316
lmdlhv,10:00:29.005,544
lmdlhv,10:00:31.505,316
lmdlhv,10:00:34.054,300
lmdlhv,10:00:37.488,833
lmdlhv,10:00:39.304,0
lmdlhv,10:00:41.388,333
lmdlhv,10:00:46.220,299
lmdlhv,10:00:50.620,299
lmdlhv,10:00:54.870,283
lmdlhv,10:00:59.053,266
lmdlhv,10:01:03.969,316
lmdlhv,10:01:08.935,293
lmdlhv,10:01:11.169,516
lmdlhv,10:01:14.068,313
lmdlhv,10:01:18.701,316
lmdlhv,10:01:22.318,333
lmdlhv,10:01:27.068,330
lmdlhv,10:01:31.134,283
lmdlhv,10:01:33.184,399
lmdlhv,10:01:35.833,337
lmdlhv,10:01:39.616,299
lmdlhv,10:01:42.250,399
lmdlhv,10:01:44.883,366
lmdlhv,10:01:46.916,399
lmdlhv,10:01:50.549,280
lmdlhv,10:01:53.032,316
lmdlhv,10:01:57.299,316
lmdlhv,10:02:01.865,330
lmdlhv,10:02:06.215,299
lmdlhv,10:02:08.514,399
lmdlhv,10:02:10.565,383
lmdlhv,10:02:15.347,299
lmdlhv,10:02:19.814,299
lmdlhv,10:02:22.963,323
lmdlhv,10:02:25.397,616
lmdlhv,10:02:27.463,349
lmdlhv,10:02:31.080,299
lmdlhv,10:02:33.679,299
lmdlhv,10:02:35.680,299
lmdlhv,10:02:40.113,0
lmdlhv,10:02:44.045,266
lmdlhv,10:02:46.695,316
lmdlhv,10:02:51.545,299
lmdlhv,10:02:54.778,333
lmdlhv,10:02:58.094,316
lmdlhv,10:03:01.311,333
lmdlhv,10:03:03.778,332
lmdlhv,10:03:08.010,299
lmdlhv,10:03:10.610,433
lmdlhv,10:03:15.276,299
lmdlhv,10:03:19.359,316
lmdlhv,10:03:23.826,316
lmdlhv,10:03:26.142,366
lmdlhv,10:03:30.459,317
lmdlhv,10:03:32.625,361
lmdlhv,10:03:37.575,266
lmdlhv,10:03:41.808,299
lmdlhv,10:03:44.724,397
lmdlhv,10:03:49.457,283
lmdlhv,10:03:54.457,304
lmdlhv,10:03:57.173,599
lmdlhv,10:04:00.840,333
lmdlhv,10:04:04.906,333
lmdlhv,10:04:07.023,516
lmdlhv,10:04:10.973,333
lmdlhv,10:04:13.772,264
lmdlhv,10:04:16.539,299
lmdlhv,10:04:19.138,299
lmdlhv,10:04:23.472,299
lmdlhv,10:04:26.338,299
lmdlhv,10:04:28.571,314
lmdlhv,10:04:32.304,333
lmdlhv,10:04:37.004,299
lmdlhv,10:04:39.704,333
lmdlhv,10:04:43.487,316
lmdlhv,10:04:46.037,333
lmdlhv,10:04:49.786,416
lmdlhv,10:04:50.553,0
lmdlhv,10:04:53.236,399
lmdlhv,10:04:56.186,416
lmdlhv,Sex,
lmdlhv,Test Duration in seconds,420
lmdlhv,Number of False Positives,5
lmdlhv,Average response time ,327
lmdlhv,Fastest response time ,222
lmdlhv,Slowest response time ,833
lmdlhv,Count of response time over 500ms ,7
