Task,TapTime,Milliseconds
lpl,09:33:41.683,297
lpl,09:33:44.534,0
lpl,09:33:48.999,276
lpl,09:33:51.532,299
lpl,09:33:53.732,299
lpl,09:33:55.599,299
lpl,09:33:58.932,299
lpl,09:34:03.148,316
lpl,09:34:06.598,299
lpl,09:34:09.532,0
lpl,09:34:12.348,0
lpl,09:34:15.931,280
lpl,09:34:19.213,0
lpl,09:34:22.830,266
lpl,09:34:25.780,283
lpl,09:34:28.213,316
lpl,09:34:32.213,0
lpl,09:34:36.146,449
lpl,09:34:38.112,349
lpl,09:34:41.379,0
lpl,09:34:44.596,0
lpl,09:34:47.478,316
lpl,09:34:52.411,289
lpl,09:34:56.095,0
lpl,09:34:58.844,283
lpl,09:35:01.528,0
lpl,09:35:03.494,399
lpl,09:35:07.111,283
lpl,09:35:10.810,316
lpl,09:35:15.293,66
lpl,09:35:17.476,316
lpl,09:35:19.577,0
lpl,09:35:19.793,0
lpl,09:35:24.642,283
lpl,09:35:28.692,266
lpl,09:35:29.042,0
lpl,09:35:31.642,283
lpl,09:35:31.909,0
lpl,09:35:34.324,299
lpl,09:35:36.425,479
lpl,09:35:38.992,0
lpl,09:35:42.158,0
lpl,09:35:45.442,0
lpl,09:35:49.507,264
lpl,09:35:52.691,0
lpl,09:35:52.790,0
lpl,09:35:55.990,233
lpl,09:36:00.123,299
lpl,09:36:04.140,249
lpl,09:36:05.673,0
lpl,09:36:09.973,283
lpl,09:36:11.440,0
lpl,09:36:14.872,516
lpl,09:36:17.822,332
lpl,09:36:18.506,0
lpl,09:36:20.273,0
lpl,09:36:22.705,256
lpl,09:36:24.105,0
lpl,09:36:27.855,433
lpl,09:36:31.038,283
lpl,09:36:32.920,0
lpl,09:36:35.005,0
lpl,09:36:39.121,0
lpl,09:36:39.420,0
lpl,09:36:42.104,349
lpl,09:36:45.270,355
lpl,09:36:48.820,266
lpl,09:36:53.620,266
lpl,09:36:57.936,249
lpl,09:37:01.220,0
lpl,09:37:01.919,0
lpl,09:37:04.086,0
lpl,09:37:07.752,266
lpl,09:37:10.952,466
lpl,09:37:14.435,0
lpl,09:37:18.951,266
lpl,09:37:23.118,432
lpl,09:37:26.734,316
lpl,09:37:28.950,466
lpl,09:37:33.067,0
lpl,09:37:37.317,0
lpl,09:37:39.533,359
lpl,09:37:42.166,416
lpl,09:37:44.483,399
lpl,09:37:47.299,349
lpl,09:37:50.282,266
lpl,09:37:52.949,0
lpl,09:37:55.065,382
lpl,09:37:58.348,266
lpl,09:38:00.765,264
lpl,09:38:02.082,0
lpl,09:38:04.132,0
lpl,09:38:06.081,266
lpl,09:38:08.281,399
lpl,09:38:10.731,249
lpl,09:38:13.215,0
lpl,09:38:14.931,0
lpl,09:38:15.180,0
lpl,09:38:17.481,332
lpl,09:38:20.947,266
lpl,09:38:25.246,299
lpl,09:38:28.664,0
lpl,09:38:31.430,0
lpl,09:38:33.546,399
lpl,09:38:36.562,282
lpl,09:38:39.663,0
lpl,09:38:42.579,232
lpl,09:38:44.329,0
lpl,09:38:47.811,266
lpl,09:38:50.861,316
lpl,09:38:54.394,245
lpl,09:38:57.895,0
lpl,09:39:00.745,0
lpl,09:39:03.828,0
lpl,09:39:07.993,228
lpl,09:39:10.127,0
lpl,09:39:12.893,349
lpl,09:39:15.926,286
lpl,09:39:20.160,0
lpl,09:39:23.260,0
lpl,09:39:25.292,349
lpl,09:39:29.075,266
lpl,09:39:32.708,32
lpl,09:39:35.859,0
lpl,09:39:38.042,233
lpl,09:39:41.242,0
lpl,09:39:44.525,0
lpl,09:39:47.175,0
lpl,09:39:50.974,0
lpl,09:39:52.241,0
lpl,09:39:54.940,332
lpl,09:39:59.640,280
lpl,09:40:03.723,249
lpl,09:40:06.623,0
lpl,09:40:10.207,0
lpl,09:40:12.789,297
lpl,09:40:15.555,482
lpl,09:40:19.005,266
lpl,09:40:21.806,0
lpl,09:40:24.255,0
lpl,09:40:27.271,399
lpl,09:40:30.538,266
lpl,09:40:33.238,232
lpl,09:40:35.771,0
lpl,09:40:39.654,0
lpl,Sex,
lpl,Test Duration in seconds,421
lpl,Number of False Positives,61
lpl,Average response time ,307
lpl,Fastest response time ,32
lpl,Slowest response time ,516
lpl,Count of response time over 500ms ,1
