Task,TapTime,Milliseconds
lmam,10:38:42.582,716
lmam,10:38:45.699,288
lmam,10:38:48.749,271
lmam,10:38:53.032,299
lmam,10:38:55.281,283
lmam,10:38:59.681,283
lmam,10:39:03.798,266
lmam,10:39:06.447,316
lmam,10:39:09.081,283
lmam,10:39:12.830,33
lmam,10:39:16.830,299
lmam,10:39:20.829,299
lmam,10:39:23.963,299
lmam,10:39:28.079,283
lmam,10:39:32.695,299
lmam,10:39:36.695,166
lmam,10:39:40.628,299
lmam,10:39:44.345,283
lmam,10:39:48.811,283
lmam,10:39:50.978,383
lmam,10:39:53.311,0
lmam,10:39:56.077,282
lmam,10:39:59.493,299
lmam,10:40:03.493,299
lmam,10:40:06.843,249
lmam,10:40:09.526,332
lmam,10:40:11.576,297
lmam,10:40:13.759,299
lmam,10:40:18.375,249
lmam,10:40:22.809,283
lmam,10:40:27.392,265
lmam,10:40:29.742,416
lmam,10:40:32.508,316
lmam,10:40:35.624,299
lmam,10:40:39.757,299
lmam,10:40:44.457,266
lmam,10:40:48.574,316
lmam,10:40:52.823,299
lmam,10:40:55.640,316
lmam,10:40:57.623,366
lmam,10:41:00.789,266
lmam,10:41:05.655,266
lmam,10:41:09.723,0
lmam,10:41:13.755,299
lmam,10:41:17.071,349
lmam,10:41:21.004,349
lmam,10:41:25.038,316
lmam,10:41:29.221,299
lmam,10:41:32.287,366
lmam,10:41:36.687,280
lmam,10:41:38.953,366
lmam,10:41:41.235,287
lmam,10:41:45.419,299
lmam,10:41:48.503,316
lmam,10:41:52.469,349
lmam,10:41:56.835,330
lmam,10:41:59.685,432
lmam,10:42:03.669,0
lmam,10:42:07.918,333
lmam,10:42:10.518,399
lmam,10:42:12.851,333
lmam,10:42:17.167,316
lmam,10:42:21.884,366
lmam,10:42:26.817,299
lmam,10:42:29.816,299
lmam,10:42:34.683,366
lmam,10:42:37.033,449
lmam,10:42:40.899,316
lmam,10:42:44.815,309
lmam,10:42:47.032,516
lmam,10:42:48.882,299
lmam,10:42:51.131,283
lmam,10:42:55.481,299
lmam,10:43:00.164,281
lmam,10:43:02.914,333
lmam,10:43:07.480,366
lmam,10:43:11.480,414
lmam,10:43:15.330,446
lmam,10:43:19.796,349
lmam,10:43:23.263,349
lmam,10:43:27.512,333
lmam,10:43:31.162,316
lmam,10:43:34.545,299
lmam,10:43:37.978,399
lmam,10:43:40.478,299
lmam,10:43:43.595,283
lmam,10:43:46.894,316
lmam,10:43:49.661,349
lmam,10:43:52.127,370
lmam,10:43:54.661,283
lmam,10:43:59.194,283
lmam,10:44:03.577,399
lmam,10:44:07.143,299
lmam,10:44:10.993,330
lmam,10:44:13.626,383
lmam,10:44:16.692,350
lmam,10:44:19.209,366
lmam,10:44:23.042,333
lmam,10:44:26.875,366
lmam,10:44:29.508,314
lmam,10:44:34.158,316
lmam,10:44:36.608,480
lmam,10:44:40.357,316
lmam,10:44:42.374,333
lmam,10:44:44.557,316
lmam,10:44:46.740,344
lmam,10:44:49.107,339
lmam,10:44:52.106,314
lmam,10:44:56.156,316
lmam,10:45:00.173,333
lmam,10:45:04.572,332
lmam,10:45:09.039,399
lmam,10:45:13.772,333
lmam,10:45:17.221,316
lmam,10:45:19.405,499
lmam,10:45:21.922,0
lmam,10:45:24.038,314
lmam,10:45:27.837,466
lmam,10:45:31.470,366
lmam,10:45:35.770,399
lmam,10:45:39.770,399
lmam,Sex,
lmam,Test Duration in seconds,420
lmam,Number of False Positives,4
lmam,Average response time ,328
lmam,Fastest response time ,33
lmam,Slowest response time ,716
lmam,Count of response time over 500ms ,2
