Task,TapTime,Milliseconds
rdg,10:21:05.135,764
rdg,10:21:08.584,272
rdg,10:21:09.918,0
rdg,10:21:12.983,0
rdg,10:21:17.817,283
rdg,10:21:20.000,651
rdg,10:21:20.317,0
rdg,10:21:24.617,333
rdg,10:21:28.417,0
rdg,10:21:32.166,427
rdg,10:21:36.083,333
rdg,10:21:40.182,299
rdg,10:21:43.616,333
rdg,10:21:47.232,283
rdg,10:21:49.882,0
rdg,10:21:53.831,323
rdg,10:21:57.530,415
rdg,10:22:01.064,364
rdg,10:22:03.531,0
rdg,10:22:06.314,299
rdg,10:22:08.397,364
rdg,10:22:12.414,0
rdg,10:22:14.397,0
rdg,10:22:16.813,380
rdg,10:22:18.880,0
rdg,10:22:21.797,0
rdg,10:22:26.629,483
rdg,10:22:30.295,530
rdg,10:22:34.145,399
rdg,10:22:37.312,633
rdg,10:22:41.895,416
rdg,10:22:44.961,283
rdg,10:22:47.228,283
rdg,10:22:49.361,283
rdg,10:22:51.561,0
rdg,10:22:55.110,299
rdg,10:22:58.044,0
rdg,10:22:59.960,282
rdg,10:23:02.076,466
rdg,10:23:05.643,299
rdg,10:23:08.460,0
rdg,10:23:12.876,333
rdg,10:23:17.125,8
rdg,10:23:20.158,837
rdg,10:23:24.258,316
rdg,10:23:27.591,297
rdg,10:23:30.225,0
rdg,10:23:32.874,66
rdg,10:23:37.024,283
rdg,10:23:40.707,280
rdg,10:23:43.524,0
rdg,10:23:45.857,0
rdg,10:23:50.257,316
rdg,10:23:53.440,432
rdg,10:23:57.189,382
rdg,10:23:59.489,283
rdg,10:24:01.806,266
rdg,10:24:03.156,0
rdg,10:24:06.855,430
rdg,10:24:09.538,466
rdg,10:24:11.389,0
rdg,10:24:15.022,0
rdg,10:24:17.488,683
rdg,10:24:20.654,449
rdg,10:24:24.371,366
rdg,10:24:28.604,0
rdg,10:24:33.154,349
rdg,10:24:34.637,0
rdg,10:24:37.387,0
rdg,10:24:41.386,383
rdg,10:24:45.436,566
rdg,10:24:47.386,383
rdg,10:24:49.786,0
rdg,10:24:53.053,0
rdg,10:24:55.869,0
rdg,10:24:58.552,416
rdg,10:25:00.935,466
rdg,10:25:02.918,249
rdg,10:25:06.851,316
rdg,10:25:09.218,549
rdg,10:25:11.268,0
rdg,10:25:14.385,0
rdg,10:25:14.650,0
rdg,10:25:16.767,346
rdg,10:25:20.700,233
rdg,10:25:23.850,316
rdg,10:25:26.767,299
rdg,10:25:30.233,0
rdg,10:25:34.949,349
rdg,10:25:39.716,383
rdg,10:25:42.049,383
rdg,10:25:46.415,416
rdg,10:25:50.598,373
rdg,10:25:53.115,316
rdg,10:25:56.648,316
rdg,10:26:01.414,482
rdg,10:26:04.247,383
rdg,10:26:08.847,316
rdg,10:26:11.930,466
rdg,10:26:16.263,133
rdg,10:26:18.430,366
rdg,10:26:20.480,283
rdg,10:26:22.563,0
rdg,10:26:24.629,299
rdg,10:26:26.363,0
rdg,10:26:30.996,266
rdg,10:26:34.496,0
rdg,10:26:35.962,0
rdg,10:26:36.694,0
rdg,10:26:37.328,0
rdg,10:26:37.828,0
rdg,10:26:38.094,0
rdg,10:26:40.045,297
rdg,10:26:42.062,0
rdg,10:26:44.312,0
rdg,10:26:46.911,383
rdg,10:26:50.044,449
rdg,10:26:52.877,283
rdg,10:26:56.210,264
rdg,10:26:59.777,316
rdg,10:27:01.960,347
rdg,10:27:04.843,116
rdg,10:27:07.943,0
rdg,10:27:12.709,316
rdg,10:27:14.343,0
rdg,10:27:17.259,333
rdg,10:27:20.792,0
rdg,10:27:24.442,382
rdg,10:27:28.158,366
rdg,10:27:32.641,449
rdg,10:27:35.474,416
rdg,10:27:38.191,399
rdg,10:27:40.307,316
rdg,10:27:44.324,333
rdg,10:27:46.491,0
rdg,10:27:46.706,0
rdg,10:27:49.607,0
rdg,10:27:54.339,416
rdg,10:27:56.939,416
rdg,10:27:59.672,282
rdg,10:28:02.405,285
rdg,Sex,
rdg,Test Duration in seconds,420
rdg,Number of False Positives,45
rdg,Average response time ,362
rdg,Fastest response time ,8
rdg,Slowest response time ,837
rdg,Count of response time over 500ms ,8
