Task,TapTime,Milliseconds
abl,09:46:47.494,716
abl,09:46:50.010,299
abl,09:46:51.960,316
abl,09:46:54.210,299
abl,09:46:57.310,333
abl,09:47:00.293,266
abl,09:47:02.326,349
abl,09:47:04.610,0
abl,09:47:07.276,366
abl,09:47:12.025,316
abl,09:47:15.425,316
abl,09:47:18.742,0
abl,09:47:23.675,299
abl,09:47:27.441,333
abl,09:47:31.957,316
abl,09:47:36.841,266
abl,09:47:39.240,466
abl,09:47:42.940,263
abl,09:47:45.839,266
abl,09:47:47.240,0
abl,09:47:51.238,399
abl,09:47:51.239,0
abl,09:47:56.172,333
abl,09:47:59.455,330
abl,09:48:01.472,366
abl,09:48:04.655,282
abl,09:48:06.971,308
abl,09:48:10.605,0
abl,09:48:12.871,299
abl,09:48:17.820,290
abl,09:48:22.553,364
abl,09:48:26.436,332
abl,09:48:29.153,383
abl,09:48:33.836,314
abl,09:48:37.835,310
abl,09:48:41.502,310
abl,09:48:44.668,366
abl,09:48:48.501,266
abl,09:48:51.617,316
abl,09:48:53.868,499
abl,09:48:58.617,313
abl,09:49:00.801,0
abl,09:49:03.184,0
abl,09:49:05.117,283
abl,09:49:07.617,383
abl,09:49:10.983,283
abl,09:49:13.166,489
abl,09:49:16.499,333
abl,09:49:20.616,383
abl,09:49:23.532,433
abl,09:49:27.698,333
abl,09:49:30.965,0
abl,09:49:34.731,299
abl,09:49:37.664,366
abl,09:49:40.181,349
abl,09:49:43.730,299
abl,09:49:46.680,316
abl,09:49:48.796,366
abl,09:49:50.847,0
abl,09:49:53.263,294
abl,09:49:55.179,349
abl,09:50:00.129,299
abl,09:50:04.713,283
abl,09:50:08.428,299
abl,09:50:13.178,283
abl,09:50:15.695,514
abl,09:50:18.111,349
abl,09:50:22.811,449
abl,09:50:27.510,283
abl,09:50:31.860,299
abl,09:50:34.077,383
abl,09:50:36.993,0
abl,09:50:39.909,349
abl,09:50:43.009,331
abl,09:50:46.359,333
abl,09:50:50.225,332
abl,09:50:53.542,449
abl,09:50:56.159,333
abl,09:50:58.192,0
abl,09:51:02.041,349
abl,09:51:05.591,414
abl,09:51:09.457,331
abl,09:51:14.240,349
abl,09:51:16.573,349
abl,09:51:20.190,299
abl,09:51:22.223,266
abl,09:51:22.373,0
abl,09:51:25.823,332
abl,09:51:30.555,266
abl,09:51:32.755,466
abl,09:51:35.222,332
abl,09:51:39.721,347
abl,09:51:42.271,582
abl,09:51:44.371,349
abl,09:51:48.921,366
abl,09:51:52.904,225
abl,09:51:56.419,0
abl,09:51:56.753,0
abl,09:51:58.787,299
abl,09:52:02.636,349
abl,09:52:05.086,370
abl,09:52:07.619,332
abl,09:52:10.585,299
abl,09:52:12.317,0
abl,09:52:12.368,0
abl,09:52:17.018,332
abl,09:52:20.535,316
abl,09:52:23.768,282
abl,09:52:27.751,332
abl,09:52:30.417,399
abl,09:52:35.334,316
abl,09:52:39.534,316
abl,09:52:41.800,116
abl,09:52:41.801,0
abl,09:52:44.033,349
abl,09:52:46.283,332
abl,09:52:46.683,0
abl,09:52:46.849,0
abl,09:52:48.832,282
abl,09:52:53.099,282
abl,09:52:54.948,0
abl,09:52:59.482,333
abl,09:53:02.865,382
abl,09:53:06.931,316
abl,09:53:11.598,382
abl,09:53:14.781,366
abl,09:53:15.198,0
abl,09:53:18.014,0
abl,09:53:21.264,316
abl,09:53:24.845,0
abl,09:53:25.196,0
abl,09:53:27.313,299
abl,09:53:30.913,299
abl,09:53:31.346,0
abl,09:53:34.112,299
abl,09:53:36.880,332
abl,09:53:40.045,299
abl,09:53:42.379,347
abl,09:53:46.595,382
abl,Sex,
abl,Test Duration in seconds,421
abl,Number of False Positives,25
abl,Average response time ,338
abl,Fastest response time ,116
abl,Slowest response time ,716
abl,Count of response time over 500ms ,3
