Task,TapTime,Milliseconds
dsr,09:13:23.264,266
dsr,09:13:24.981,0
dsr,09:13:27.663,266
dsr,09:13:30.946,283
dsr,09:13:33.630,233
dsr,09:13:35.829,299
dsr,09:13:37.663,0
dsr,09:13:39.630,0
dsr,09:13:41.645,249
dsr,09:13:43.663,0
dsr,09:13:46.063,0
dsr,09:13:50.495,299
dsr,09:13:54.678,283
dsr,09:13:57.878,283
dsr,09:14:02.444,249
dsr,09:14:05.627,233
dsr,09:14:08.094,299
dsr,09:14:10.744,0
dsr,09:14:13.327,0
dsr,09:14:16.077,0
dsr,09:14:18.927,0
dsr,09:14:22.776,316
dsr,09:14:27.476,283
dsr,09:14:31.343,0
dsr,09:14:35.042,0
dsr,09:14:39.408,283
dsr,09:14:42.108,316
dsr,09:14:46.141,283
dsr,09:14:49.674,283
dsr,09:14:53.823,280
dsr,09:14:55.906,382
dsr,09:14:58.756,299
dsr,09:15:01.607,283
dsr,09:15:04.123,0
dsr,09:15:08.889,299
dsr,09:15:12.056,0
dsr,09:15:14.506,0
dsr,09:15:17.139,0
dsr,09:15:20.655,332
dsr,09:15:23.921,332
dsr,09:15:25.971,316
dsr,09:15:29.488,299
dsr,09:15:31.637,316
dsr,09:15:33.454,266
dsr,09:15:37.987,266
dsr,09:15:41.321,0
dsr,09:15:46.053,401
dsr,09:15:48.769,249
dsr,09:15:51.036,249
dsr,09:15:54.969,249
dsr,09:15:57.102,316
dsr,09:15:59.702,316
dsr,09:16:01.685,299
dsr,09:16:03.702,0
dsr,09:16:05.035,0
dsr,09:16:09.085,299
dsr,09:16:12.751,335
dsr,09:16:15.167,356
dsr,09:16:18.517,306
dsr,09:16:21.367,297
dsr,09:16:24.051,0
dsr,09:16:26.650,266
dsr,09:16:29.466,282
dsr,09:16:32.916,255
dsr,09:16:35.116,266
dsr,09:16:36.233,0
dsr,09:16:38.999,282
dsr,09:16:39.633,0
dsr,09:16:44.465,309
dsr,09:16:44.665,0
dsr,09:16:46.832,449
dsr,09:16:47.449,0
dsr,09:16:49.648,314
dsr,09:16:49.831,0
dsr,09:16:52.681,299
dsr,09:16:55.548,299
dsr,09:16:59.914,254
dsr,09:17:02.564,0
dsr,09:17:04.997,282
dsr,09:17:07.914,0
dsr,09:17:09.847,0
dsr,09:17:12.664,0
dsr,09:17:15.197,0
dsr,09:17:18.113,266
dsr,09:17:22.362,316
dsr,09:17:26.129,282
dsr,09:17:28.662,283
dsr,09:17:30.929,283
dsr,09:17:33.378,266
dsr,09:17:35.795,0
dsr,09:17:39.528,283
dsr,09:17:42.044,333
dsr,09:17:44.211,0
dsr,09:17:47.977,315
dsr,09:17:50.677,433
dsr,09:17:55.193,483
dsr,09:17:58.143,299
dsr,09:18:01.110,332
dsr,09:18:04.792,682
dsr,09:18:08.593,283
dsr,09:18:11.793,0
dsr,09:18:14.608,499
dsr,09:18:17.708,599
dsr,09:18:22.341,299
dsr,09:18:26.158,249
dsr,09:18:29.357,249
dsr,09:18:31.607,299
dsr,09:18:33.490,316
dsr,09:18:35.840,266
dsr,09:18:38.174,0
dsr,09:18:39.690,0
dsr,09:18:42.524,0
dsr,09:18:44.590,283
dsr,09:18:48.289,249
dsr,09:18:49.290,0
dsr,09:18:49.823,0
dsr,09:18:50.305,0
dsr,09:18:50.873,0
dsr,09:18:51.456,0
dsr,09:18:53.106,0
dsr,09:18:55.489,0
dsr,09:18:57.722,0
dsr,09:19:00.355,0
dsr,09:19:02.405,366
dsr,09:19:03.789,0
dsr,09:19:04.371,0
dsr,09:19:05.155,0
dsr,09:19:06.055,0
dsr,09:19:07.138,0
dsr,09:19:08.638,0
dsr,09:19:12.387,349
dsr,09:19:16.787,283
dsr,09:19:20.987,416
dsr,09:19:23.620,0
dsr,09:19:25.954,0
dsr,09:19:27.735,0
dsr,09:19:29.703,333
dsr,09:19:30.386,0
dsr,09:19:31.119,0
dsr,09:19:31.886,0
dsr,09:19:32.553,0
dsr,09:19:34.003,0
dsr,09:19:34.169,0
dsr,09:19:34.335,0
dsr,09:19:34.502,0
dsr,09:19:34.668,0
dsr,09:19:34.835,0
dsr,09:19:35.035,0
dsr,09:19:35.586,0
dsr,09:19:36.052,0
dsr,09:19:36.502,0
dsr,09:19:36.786,0
dsr,09:19:37.052,0
dsr,09:19:37.336,0
dsr,09:19:37.602,0
dsr,09:19:37.886,0
dsr,09:19:38.136,0
dsr,09:19:38.402,0
dsr,09:19:38.652,0
dsr,09:19:38.919,0
dsr,09:19:39.186,0
dsr,09:19:39.435,0
dsr,09:19:39.702,0
dsr,09:19:39.935,0
dsr,09:19:40.235,0
dsr,09:19:40.519,0
dsr,09:19:41.385,0
dsr,09:19:43.868,366
dsr,09:19:48.418,276
dsr,09:19:50.701,399
dsr,09:19:52.251,0
dsr,09:19:53.618,0
dsr,09:19:56.451,0
dsr,09:19:59.218,0
dsr,09:20:02.483,249
dsr,09:20:05.517,0
dsr,09:20:07.317,0
dsr,09:20:07.599,0
dsr,09:20:07.766,0
dsr,09:20:07.982,0
dsr,09:20:08.600,0
dsr,09:20:09.000,0
dsr,09:20:09.300,0
dsr,09:20:11.483,316
dsr,09:20:15.399,232
dsr,09:20:18.099,266
dsr,09:20:20.316,0
dsr,09:20:22.849,312
dsr,Sex,
dsr,Test Duration in seconds,422
dsr,Number of False Positives,96
dsr,Average response time ,309
dsr,Fastest response time ,232
dsr,Slowest response time ,682
dsr,Count of response time over 500ms ,2
