Task,TapTime,Milliseconds
ogc,09:29:16.891,799
ogc,09:29:21.425,299
ogc,09:29:25.174,316
ogc,09:29:29.674,283
ogc,09:29:34.107,316
ogc,09:29:36.190,333
ogc,09:29:36.357,0
ogc,09:29:40.174,316
ogc,09:29:42.623,366
ogc,09:29:46.356,280
ogc,09:29:50.489,299
ogc,09:29:53.539,283
ogc,09:29:58.222,299
ogc,09:30:02.938,270
ogc,09:30:07.538,309
ogc,09:30:09.571,383
ogc,09:30:12.637,316
ogc,09:30:15.821,0
ogc,09:30:18.403,349
ogc,09:30:21.703,316
ogc,09:30:24.370,339
ogc,09:30:26.786,333
ogc,09:30:31.302,297
ogc,09:30:35.269,283
ogc,09:30:40.185,308
ogc,09:30:42.702,383
ogc,09:30:45.285,0
ogc,09:30:48.185,333
ogc,09:30:51.001,416
ogc,09:30:52.968,383
ogc,09:30:57.450,333
ogc,09:30:59.533,443
ogc,09:31:01.800,283
ogc,09:31:04.550,299
ogc,09:31:06.700,316
ogc,09:31:11.083,366
ogc,09:31:11.166,0
ogc,09:31:15.949,366
ogc,09:31:18.749,299
ogc,09:31:21.782,333
ogc,09:31:24.515,333
ogc,09:31:26.981,266
ogc,09:31:30.515,0
ogc,09:31:34.631,316
ogc,09:31:38.164,316
ogc,09:31:42.630,249
ogc,09:31:47.330,283
ogc,09:31:50.096,278
ogc,09:31:51.947,0
ogc,09:31:55.513,333
ogc,09:31:58.979,333
ogc,09:32:02.246,333
ogc,09:32:05.512,333
ogc,09:32:08.962,383
ogc,09:32:09.128,0
ogc,09:32:11.528,549
ogc,09:32:14.778,308
ogc,09:32:17.811,299
ogc,09:32:20.761,249
ogc,09:32:24.077,299
ogc,09:32:27.610,299
ogc,09:32:31.476,299
ogc,09:32:36.026,316
ogc,09:32:40.226,316
ogc,09:32:45.042,374
ogc,09:32:47.109,333
ogc,09:32:49.825,316
ogc,09:32:52.741,366
ogc,09:32:54.708,399
ogc,09:32:56.092,0
ogc,09:32:57.258,0
ogc,09:33:00.357,316
ogc,09:33:03.991,311
ogc,09:33:07.540,299
ogc,09:33:10.190,349
ogc,09:33:12.657,349
ogc,09:33:15.490,316
ogc,09:33:20.406,299
ogc,09:33:24.673,299
ogc,09:33:27.422,316
ogc,09:33:31.739,299
ogc,09:33:34.255,283
ogc,09:33:34.489,0
ogc,09:33:36.239,0
ogc,09:33:37.705,0
ogc,09:33:41.604,299
ogc,09:33:45.171,0
ogc,09:33:48.437,399
ogc,09:33:50.587,416
ogc,09:33:54.553,316
ogc,09:33:56.804,0
ogc,09:34:00.436,566
ogc,09:34:02.719,416
ogc,09:34:04.153,0
ogc,09:34:08.036,333
ogc,09:34:10.269,366
ogc,09:34:12.802,433
ogc,09:34:15.918,349
ogc,09:34:18.586,549
ogc,09:34:21.068,299
ogc,09:34:25.918,283
ogc,09:34:28.217,383
ogc,09:34:32.934,264
ogc,09:34:36.150,383
ogc,09:34:40.900,333
ogc,09:34:45.600,299
ogc,09:34:49.283,383
ogc,09:34:51.382,416
ogc,09:34:54.682,316
ogc,09:34:58.732,299
ogc,09:35:00.865,433
ogc,09:35:04.081,316
ogc,09:35:06.031,333
ogc,09:35:08.463,347
ogc,09:35:11.598,299
ogc,09:35:14.247,283
ogc,09:35:17.580,283
ogc,09:35:21.980,149
ogc,09:35:25.613,316
ogc,09:35:29.597,0
ogc,09:35:32.429,199
ogc,09:35:35.913,283
ogc,09:35:37.795,299
ogc,09:35:41.695,333
ogc,09:35:44.945,116
ogc,09:35:47.478,316
ogc,09:35:49.945,370
ogc,09:35:54.661,366
ogc,09:35:58.161,0
ogc,09:36:02.993,323
ogc,09:36:05.361,0
ogc,09:36:05.743,0
ogc,09:36:10.360,353
ogc,09:36:13.626,333
ogc,09:36:16.992,299
ogc,Sex,
ogc,Test Duration in seconds,421
ogc,Number of False Positives,19
ogc,Average response time ,332
ogc,Fastest response time ,116
ogc,Slowest response time ,799
ogc,Count of response time over 500ms ,4
