Task,TapTime,Milliseconds
NECCO,10:17:59.316,299
NECCO,10:18:02.782,329
NECCO,10:18:06.665,333
NECCO,10:18:11.665,353
NECCO,10:18:14.564,299
NECCO,10:18:16.981,319
NECCO,10:18:19.564,336
NECCO,10:18:22.031,266
NECCO,10:18:23.947,280
NECCO,10:18:25.998,269
NECCO,10:18:30.613,292
NECCO,10:18:33.046,355
NECCO,10:18:36.046,324
NECCO,10:18:40.830,302
NECCO,10:18:45.045,349
NECCO,10:18:48.479,350
NECCO,10:18:51.611,316
NECCO,10:18:53.811,328
NECCO,10:18:56.279,0
NECCO,10:18:59.878,429
NECCO,10:19:04.027,333
NECCO,10:19:06.244,597
NECCO,10:19:09.243,349
NECCO,10:19:12.343,383
NECCO,10:19:15.193,334
NECCO,10:19:18.976,328
NECCO,10:19:23.559,314
NECCO,10:19:28.459,277
NECCO,10:19:30.742,447
NECCO,10:19:34.975,349
NECCO,10:19:38.808,316
NECCO,10:19:43.774,324
NECCO,10:19:47.108,385
NECCO,10:19:50.157,306
NECCO,10:19:53.323,337
NECCO,10:19:56.056,327
NECCO,10:19:59.390,291
NECCO,10:20:01.673,292
NECCO,10:20:06.323,299
NECCO,10:20:09.855,280
NECCO,10:20:12.555,319
NECCO,10:20:16.188,379
NECCO,10:20:19.622,314
NECCO,10:20:22.805,0
NECCO,10:20:25.404,364
NECCO,10:20:29.271,430
NECCO,10:20:33.837,347
NECCO,10:20:38.636,330
NECCO,10:20:41.170,464
NECCO,10:20:45.603,290
NECCO,10:20:49.020,0
NECCO,10:20:52.669,430
NECCO,10:20:55.085,527
NECCO,10:20:59.485,377
NECCO,10:21:02.535,381
NECCO,10:21:05.351,312
NECCO,10:21:08.134,295
NECCO,10:21:12.167,318
NECCO,10:21:15.334,383
NECCO,10:21:18.767,392
NECCO,10:21:21.200,359
NECCO,10:21:25.966,349
NECCO,10:21:28.099,530
NECCO,10:21:30.616,333
NECCO,10:21:32.799,0
NECCO,10:21:37.599,383
NECCO,10:21:42.348,305
NECCO,10:21:45.665,316
NECCO,10:21:48.664,419
NECCO,10:21:53.564,319
NECCO,10:21:58.447,337
NECCO,10:22:03.397,290
NECCO,10:22:05.863,553
NECCO,10:22:08.546,305
NECCO,10:22:10.863,354
NECCO,10:22:13.612,320
NECCO,10:22:17.645,468
NECCO,10:22:19.946,533
NECCO,10:22:21.962,349
NECCO,10:22:26.211,399
NECCO,10:22:29.345,314
NECCO,10:22:33.961,317
NECCO,10:22:38.927,297
NECCO,10:22:41.927,490
NECCO,10:22:44.760,326
NECCO,10:22:47.126,428
NECCO,10:22:49.493,328
NECCO,10:22:53.043,0
NECCO,10:22:55.942,366
NECCO,10:23:00.442,328
NECCO,10:23:04.708,294
NECCO,10:23:07.158,549
NECCO,10:23:10.608,376
NECCO,10:23:13.425,347
NECCO,10:23:16.374,366
NECCO,10:23:18.908,487
NECCO,10:23:21.174,343
NECCO,10:23:24.990,316
NECCO,10:23:28.007,314
NECCO,10:23:30.773,347
NECCO,10:23:35.556,320
NECCO,10:23:38.456,383
NECCO,10:23:41.906,299
NECCO,10:23:44.839,339
NECCO,10:23:48.572,357
NECCO,10:23:51.188,383
NECCO,10:23:55.521,296
NECCO,10:23:57.821,349
NECCO,10:24:02.104,536
NECCO,10:24:04.587,364
NECCO,10:24:08.803,314
NECCO,10:24:11.104,496
NECCO,10:24:14.503,272
NECCO,10:24:18.786,297
NECCO,10:24:22.769,299
NECCO,10:24:26.902,277
NECCO,10:24:30.835,271
NECCO,10:24:35.818,319
NECCO,10:24:37.934,510
NECCO,10:24:42.284,324
NECCO,10:24:46.651,297
NECCO,10:24:51.284,349
NECCO,10:24:54.950,330
NECCO,10:24:57.833,364
NECCO,Sex,
NECCO,Test Duration in seconds,421
NECCO,Number of False Positives,5
NECCO,Average response time ,354
NECCO,Fastest response time ,266
NECCO,Slowest response time ,597
NECCO,Count of response time over 500ms ,8
