Task,TapTime,Milliseconds
PJC,10:53:04.301,410
PJC,10:53:07.201,0
PJC,10:53:09.101,0
PJC,10:53:11.634,280
PJC,10:53:14.034,345
PJC,10:53:16.283,397
PJC,10:53:18.683,283
PJC,10:53:22.067,0
PJC,10:53:25.866,311
PJC,10:53:28.016,394
PJC,10:53:30.249,313
PJC,10:53:33.799,247
PJC,10:53:36.533,0
PJC,10:53:38.199,0
PJC,10:53:40.965,291
PJC,10:53:45.149,0
PJC,10:53:49.881,416
PJC,10:53:53.064,399
PJC,10:53:56.947,390
PJC,10:54:00.680,329
PJC,10:54:03.147,330
PJC,10:54:06.030,366
PJC,10:54:07.946,349
PJC,10:54:11.746,283
PJC,10:54:16.279,283
PJC,10:54:19.562,134
PJC,10:54:23.128,145
PJC,10:54:26.062,333
PJC,10:54:29.278,0
PJC,10:54:31.712,0
PJC,10:54:36.110,316
PJC,10:54:40.077,349
PJC,10:54:42.427,433
PJC,10:54:46.943,264
PJC,10:54:51.909,296
PJC,10:54:54.342,349
PJC,10:54:58.793,0
PJC,10:55:00.809,0
PJC,10:55:03.926,0
PJC,10:55:07.025,233
PJC,10:55:11.225,299
PJC,10:55:14.158,299
PJC,10:55:17.307,316
PJC,10:55:19.924,399
PJC,10:55:21.990,466
PJC,10:55:25.306,716
PJC,10:55:28.957,299
PJC,10:55:31.174,0
PJC,10:55:31.706,0
PJC,10:55:33.424,0
PJC,10:55:35.523,322
PJC,10:55:38.839,449
PJC,10:55:40.722,332
PJC,10:55:42.306,0
PJC,10:55:46.039,316
PJC,10:55:49.238,316
PJC,10:55:51.255,0
PJC,10:55:55.654,447
PJC,10:55:58.071,416
PJC,10:56:00.204,416
PJC,10:56:02.420,299
PJC,10:56:05.337,282
PJC,10:56:08.720,66
PJC,10:56:12.203,216
PJC,10:56:15.869,349
PJC,10:56:19.353,347
PJC,10:56:22.702,296
PJC,10:56:26.336,0
PJC,10:56:26.935,0
PJC,10:56:29.869,0
PJC,10:56:31.968,382
PJC,10:56:36.668,325
PJC,10:56:40.917,314
PJC,10:56:43.217,366
PJC,10:56:47.617,366
PJC,10:56:50.183,466
PJC,10:56:53.050,442
PJC,10:56:54.966,316
PJC,10:56:57.317,333
PJC,10:57:00.666,349
PJC,10:57:05.516,266
PJC,10:57:09.615,280
PJC,10:57:13.498,514
PJC,10:57:15.565,316
PJC,10:57:19.615,275
PJC,10:57:21.948,366
PJC,10:57:23.864,349
PJC,10:57:26.714,333
PJC,10:57:30.097,383
PJC,10:57:33.697,297
PJC,10:57:37.680,299
PJC,10:57:41.530,283
PJC,10:57:43.729,483
PJC,10:57:46.762,316
PJC,10:57:49.929,280
PJC,10:57:52.578,399
PJC,10:57:56.995,283
PJC,10:58:00.361,433
PJC,10:58:04.494,316
PJC,10:58:07.411,0
PJC,10:58:11.061,283
PJC,10:58:13.311,326
PJC,10:58:15.777,333
PJC,10:58:19.210,366
PJC,10:58:22.527,0
PJC,10:58:25.026,316
PJC,10:58:29.759,316
PJC,10:58:33.459,0
PJC,10:58:36.375,314
PJC,10:58:39.892,0
PJC,10:58:43.291,306
PJC,10:58:45.958,383
PJC,10:58:48.608,0
PJC,10:58:50.707,399
PJC,10:58:53.142,433
PJC,10:58:57.040,368
PJC,10:58:59.390,329
PJC,10:59:01.474,0
PJC,10:59:03.424,0
PJC,10:59:05.423,364
PJC,10:59:09.406,233
PJC,10:59:12.872,299
PJC,10:59:14.989,483
PJC,10:59:18.088,316
PJC,10:59:20.455,483
PJC,10:59:24.738,280
PJC,10:59:27.271,366
PJC,10:59:30.221,449
PJC,10:59:34.887,383
PJC,10:59:39.354,383
PJC,10:59:43.020,449
PJC,10:59:46.720,349
PJC,10:59:48.853,416
PJC,10:59:51.386,416
PJC,10:59:55.852,283
PJC,11:00:00.352,297
PJC,11:00:04.452,283
PJC,Sex,
PJC,Test Duration in seconds,424
PJC,Number of False Positives,26
PJC,Average response time ,342
PJC,Fastest response time ,66
PJC,Slowest response time ,716
PJC,Count of response time over 500ms ,2
