Task,TapTime,Milliseconds
TSF,10:37:49.073,310
TSF,10:37:52.306,277
TSF,10:37:56.139,314
TSF,10:37:59.306,346
TSF,10:38:02.322,0
TSF,10:38:04.438,233
TSF,10:38:07.088,483
TSF,10:38:10.438,240
TSF,10:38:14.354,256
TSF,10:38:18.121,0
TSF,10:38:20.370,299
TSF,10:38:25.186,288
TSF,10:38:29.769,279
TSF,10:38:33.636,299
TSF,10:38:37.602,333
TSF,10:38:41.218,482
TSF,10:38:45.602,283
TSF,10:38:48.801,580
TSF,10:38:51.818,322
TSF,10:38:54.835,0
TSF,10:38:56.785,0
TSF,10:38:59.285,0
TSF,10:39:03.683,283
TSF,10:39:06.700,355
TSF,10:39:09.450,230
TSF,10:39:14.416,327
TSF,10:39:16.866,666
TSF,10:39:20.715,292
TSF,10:39:23.232,633
TSF,10:39:26.232,233
TSF,10:39:29.665,266
TSF,10:39:32.148,0
TSF,10:39:35.048,0
TSF,10:39:38.648,0
TSF,10:39:40.914,0
TSF,10:39:43.230,366
TSF,10:39:47.163,366
TSF,10:39:47.630,0
TSF,10:39:50.597,306
TSF,10:39:53.646,355
TSF,10:39:58.362,280
TSF,10:40:01.146,349
TSF,10:40:03.712,382
TSF,10:40:05.962,318
TSF,10:40:08.146,0
TSF,10:40:10.978,316
TSF,10:40:14.145,349
TSF,10:40:16.628,0
TSF,10:40:18.544,349
TSF,10:40:20.611,416
TSF,10:40:22.311,0
TSF,10:40:26.077,258
TSF,10:40:29.860,333
TSF,10:40:32.160,414
TSF,10:40:34.726,266
TSF,10:40:37.343,16
TSF,10:40:39.893,0
TSF,10:40:44.426,275
TSF,10:40:47.892,299
TSF,10:40:50.242,0
TSF,10:40:54.141,283
TSF,10:40:58.258,333
TSF,10:41:01.124,1199
TSF,10:41:04.791,318
TSF,10:41:08.174,1183
TSF,10:41:11.840,286
TSF,10:41:14.407,0
TSF,10:41:17.490,299
TSF,10:41:20.840,0
TSF,10:41:22.706,0
TSF,10:41:24.489,33
TSF,10:41:27.239,383
TSF,10:41:30.139,283
TSF,10:41:32.389,0
TSF,10:41:34.105,0
TSF,10:41:35.872,0
TSF,10:41:37.788,266
TSF,10:41:39.672,0
TSF,10:41:42.121,333
TSF,10:41:44.104,383
TSF,10:41:45.588,0
TSF,10:41:46.971,0
TSF,10:41:49.071,0
TSF,10:41:50.871,0
TSF,10:41:52.487,0
TSF,10:41:54.637,0
TSF,10:41:59.453,323
TSF,10:42:03.453,333
TSF,10:42:06.519,514
TSF,10:42:08.886,563
TSF,10:42:11.919,533
TSF,10:42:14.919,333
TSF,10:42:16.719,0
TSF,10:42:19.835,0
TSF,10:42:23.018,566
TSF,10:42:25.851,333
TSF,10:42:28.951,0
TSF,10:42:31.034,364
TSF,10:42:34.750,299
TSF,10:42:37.817,0
TSF,10:42:40.284,0
TSF,10:42:44.250,333
TSF,10:42:48.416,2299
TSF,10:42:57.135,0
TSF,10:43:05.792,0
TSF,10:43:13.181,0
TSF,10:43:22.335,0
TSF,10:43:30.336,0
TSF,10:43:39.130,0
TSF,10:43:47.511,0
TSF,10:43:55.511,0
TSF,10:44:02.777,0
TSF,10:44:09.577,0
TSF,10:44:18.176,0
TSF,10:44:26.241,0
TSF,10:44:33.593,0
TSF,10:44:40.614,0
TSF,10:44:49.440,0
TSF,Sex,
TSF,Test Duration in seconds,423
TSF,Number of False Positives,48
TSF,Average response time ,389
TSF,Fastest response time ,16
TSF,Slowest response time ,2299
TSF,Count of response time over 500ms ,10
