Task,TapTime,Milliseconds
ARL,10:37:21.872,599
ARL,10:37:26.139,299
ARL,10:37:30.872,299
ARL,10:37:35.421,316
ARL,10:37:40.004,566
ARL,10:37:42.538,433
ARL,10:37:46.154,364
ARL,10:37:50.270,402
ARL,10:37:53.686,316
ARL,10:37:57.670,299
ARL,10:38:00.519,349
ARL,10:38:04.103,333
ARL,10:38:07.852,323
ARL,10:38:12.369,314
ARL,10:38:14.368,466
ARL,10:38:18.285,316
ARL,10:38:21.435,333
ARL,10:38:25.834,314
ARL,10:38:29.317,316
ARL,10:38:31.951,383
ARL,10:38:34.483,360
ARL,10:38:38.433,333
ARL,10:38:42.016,316
ARL,10:38:45.183,349
ARL,10:38:49.683,383
ARL,10:38:54.132,366
ARL,10:38:58.648,283
ARL,10:39:02.748,316
ARL,10:39:06.448,349
ARL,10:39:09.981,349
ARL,10:39:14.364,333
ARL,10:39:16.897,799
ARL,10:39:18.814,383
ARL,10:39:20.980,349
ARL,10:39:25.613,316
ARL,10:39:28.346,383
ARL,10:39:30.912,349
ARL,10:39:33.012,497
ARL,10:39:35.412,316
ARL,10:39:38.945,316
ARL,10:39:42.128,299
ARL,10:39:44.378,349
ARL,10:39:46.794,299
ARL,10:39:50.761,308
ARL,10:39:53.127,320
ARL,10:39:55.160,399
ARL,10:39:58.860,366
ARL,10:40:01.643,330
ARL,10:40:05.860,299
ARL,10:40:09.126,366
ARL,10:40:12.093,333
ARL,10:40:15.959,333
ARL,10:40:20.842,326
ARL,10:40:24.459,366
ARL,10:40:28.341,316
ARL,10:40:31.658,499
ARL,10:40:34.608,383
ARL,10:40:37.208,428
ARL,10:40:39.957,314
ARL,10:40:43.657,366
ARL,10:40:47.690,399
ARL,10:40:50.623,426
ARL,10:40:55.556,333
ARL,10:40:59.406,297
ARL,10:41:03.839,349
ARL,10:41:08.904,616
ARL,10:41:12.088,399
ARL,10:41:16.721,299
ARL,10:41:19.187,366
ARL,10:41:21.487,247
ARL,10:41:24.720,366
ARL,10:41:27.787,0
ARL,10:41:31.203,687
ARL,10:41:33.953,599
ARL,10:41:36.036,349
ARL,10:41:38.369,264
ARL,10:41:41.486,333
ARL,10:41:44.919,299
ARL,10:41:48.035,349
ARL,10:41:50.218,399
ARL,10:41:54.285,266
ARL,10:41:56.451,499
ARL,10:41:59.685,333
ARL,10:42:02.918,0
ARL,10:42:05.867,316
ARL,10:42:10.250,566
ARL,10:42:11.501,0
ARL,10:42:15.416,314
ARL,10:42:19.616,342
ARL,10:42:24.332,316
ARL,10:42:26.565,549
ARL,10:42:31.382,366
ARL,10:42:35.065,316
ARL,10:42:38.332,364
ARL,10:42:40.315,414
ARL,10:42:45.014,399
ARL,10:42:48.647,366
ARL,10:42:52.597,316
ARL,10:42:57.030,349
ARL,10:42:59.730,383
ARL,10:43:03.863,383
ARL,10:43:07.546,399
ARL,10:43:10.845,299
ARL,10:43:15.578,366
ARL,10:43:20.345,399
ARL,10:43:24.345,333
ARL,10:43:29.261,316
ARL,10:43:32.244,366
ARL,10:43:35.877,333
ARL,10:43:37.993,449
ARL,10:43:41.094,0
ARL,10:43:44.343,266
ARL,10:43:47.893,349
ARL,10:43:50.210,533
ARL,10:43:54.142,399
ARL,10:43:56.876,333
ARL,10:43:58.975,366
ARL,10:44:01.442,299
ARL,10:44:03.908,299
ARL,10:44:07.958,283
ARL,10:44:12.108,299
ARL,10:44:16.291,283
ARL,10:44:19.740,333
ARL,Sex,
ARL,Test Duration in seconds,420
ARL,Number of False Positives,4
ARL,Average response time ,366
ARL,Fastest response time ,247
ARL,Slowest response time ,799
ARL,Count of response time over 500ms ,9
