Task,TapTime,Milliseconds
MCR,10:19:57.416,0
MCR,10:20:01.715,1106
MCR,10:20:04.848,333
MCR,10:20:06.898,311
MCR,10:20:09.148,0
MCR,10:20:13.664,283
MCR,10:20:15.764,374
MCR,10:20:18.963,227
MCR,10:20:22.163,249
MCR,10:20:26.247,0
MCR,10:20:30.413,295
MCR,10:20:34.679,273
MCR,10:20:39.045,266
MCR,10:20:43.445,266
MCR,10:20:47.111,399
MCR,10:20:51.311,266
MCR,10:20:54.461,274
MCR,10:20:57.044,466
MCR,10:20:59.944,0
MCR,10:21:02.410,299
MCR,10:21:05.661,270
MCR,10:21:09.278,33
MCR,10:21:13.727,282
MCR,10:21:15.744,433
MCR,10:21:19.577,0
MCR,10:21:22.727,283
MCR,10:21:26.909,266
MCR,10:21:30.092,316
MCR,10:21:34.109,266
MCR,10:21:36.192,416
MCR,10:21:38.342,299
MCR,10:21:41.192,0
MCR,10:21:44.375,266
MCR,10:21:48.091,183
MCR,10:21:52.025,0
MCR,10:21:56.074,299
MCR,10:21:59.157,316
MCR,10:22:01.357,316
MCR,10:22:04.691,0
MCR,10:22:09.140,299
MCR,10:22:11.589,349
MCR,10:22:14.539,299
MCR,10:22:18.772,266
MCR,10:22:22.739,299
MCR,10:22:26.488,249
MCR,10:22:29.455,349
MCR,10:22:33.472,0
MCR,10:22:37.554,171
MCR,10:22:41.470,78
MCR,10:22:44.337,766
MCR,10:22:47.270,299
MCR,10:22:50.287,0
MCR,10:22:52.436,466
MCR,10:22:56.103,266
MCR,10:22:58.969,399
MCR,10:23:01.402,299
MCR,10:23:04.936,0
MCR,10:23:07.835,255
MCR,10:23:11.268,299
MCR,10:23:15.635,243
MCR,10:23:19.766,66
MCR,10:23:22.684,449
MCR,10:23:26.801,0
MCR,10:23:31.050,283
MCR,10:23:33.783,416
MCR,10:23:38.549,249
MCR,10:23:42.865,299
MCR,10:23:47.382,282
MCR,10:23:49.515,416
MCR,10:23:52.299,333
MCR,10:23:55.865,233
MCR,10:23:58.764,466
MCR,10:24:01.148,316
MCR,10:24:04.298,0
MCR,10:24:08.747,249
MCR,10:24:12.780,283
MCR,10:24:17.497,333
MCR,10:24:20.046,349
MCR,10:24:23.729,299
MCR,10:24:25.997,433
MCR,10:24:28.146,583
MCR,10:24:30.629,333
MCR,10:24:33.395,299
MCR,10:24:35.862,366
MCR,10:24:38.478,249
MCR,10:24:41.112,0
MCR,10:24:45.944,249
MCR,10:24:49.045,0
MCR,10:24:52.677,249
MCR,10:24:56.810,249
MCR,10:25:00.827,233
MCR,10:25:02.976,383
MCR,10:25:06.859,233
MCR,10:25:10.425,266
MCR,10:25:13.175,349
MCR,10:25:16.209,0
MCR,10:25:19.475,297
MCR,10:25:21.858,480
MCR,10:25:26.325,433
MCR,10:25:31.107,255
MCR,10:25:34.291,266
MCR,10:25:37.340,249
MCR,10:25:40.707,314
MCR,10:25:43.423,247
MCR,10:25:46.023,266
MCR,10:25:48.390,0
MCR,10:25:50.689,296
MCR,10:25:53.973,283
MCR,10:25:56.356,533
MCR,10:25:59.088,266
MCR,10:26:02.655,280
MCR,10:26:05.338,316
MCR,10:26:08.988,0
MCR,10:26:12.104,283
MCR,10:26:15.671,49
MCR,10:26:18.804,316
MCR,10:26:21.321,299
MCR,10:26:24.403,297
MCR,10:26:27.237,0
MCR,10:26:30.453,263
MCR,10:26:34.919,233
MCR,10:26:39.652,233
MCR,10:26:43.419,333
MCR,10:26:45.702,416
MCR,10:26:47.885,327
MCR,10:26:51.101,149
MCR,10:26:54.518,0
MCR,10:26:58.900,289
MCR,Sex,
MCR,Test Duration in seconds,421
MCR,Number of False Positives,20
MCR,Average response time ,311
MCR,Fastest response time ,33
MCR,Slowest response time ,1106
MCR,Count of response time over 500ms ,4
