Task,TapTime,Milliseconds
REA,13:25:38.581,730
REA,13:25:41.864,280
REA,13:25:45.930,299
REA,13:25:47.548,0
REA,13:25:50.013,449
REA,13:25:51.980,349
REA,13:25:53.963,266
REA,13:25:58.496,266
REA,13:26:00.646,282
REA,13:26:03.796,233
REA,13:26:06.030,0
REA,13:26:09.229,333
REA,13:26:11.596,319
REA,13:26:14.245,283
REA,13:26:16.762,266
REA,13:26:21.312,283
REA,13:26:25.061,299
REA,13:26:27.311,416
REA,13:26:30.844,283
REA,13:26:34.111,283
REA,13:26:38.510,283
REA,13:26:40.660,366
REA,13:26:43.060,280
REA,13:26:47.476,316
REA,13:26:51.759,378
REA,13:26:54.592,433
REA,13:26:57.408,449
REA,13:27:01.975,25
REA,13:27:04.375,349
REA,13:27:06.258,299
REA,13:27:10.574,283
REA,13:27:13.857,299
REA,13:27:16.607,343
REA,13:27:19.890,314
REA,13:27:23.540,316
REA,13:27:26.240,149
REA,13:27:28.806,249
REA,13:27:31.573,283
REA,13:27:33.572,349
REA,13:27:35.872,249
REA,13:27:39.355,266
REA,13:27:41.290,25
REA,13:27:43.588,299
REA,13:27:45.587,432
REA,13:27:49.054,299
REA,13:27:52.454,366
REA,13:27:53.888,0
REA,13:27:54.220,0
REA,13:27:57.421,333
REA,13:28:00.104,349
REA,13:28:03.554,333
REA,13:28:07.853,267
REA,13:28:11.753,266
REA,13:28:16.519,255
REA,13:28:21.102,330
REA,13:28:25.718,299
REA,13:28:29.801,383
REA,13:28:32.368,616
REA,13:28:35.401,297
REA,13:28:38.134,316
REA,13:28:42.067,284
REA,13:28:44.334,583
REA,13:28:46.617,647
REA,13:28:50.250,280
REA,13:28:52.783,471
REA,13:28:55.683,314
REA,13:28:58.716,259
REA,13:29:01.266,0
REA,13:29:01.499,0
REA,13:29:05.915,299
REA,13:29:10.032,283
REA,13:29:12.698,416
REA,13:29:14.132,0
REA,13:29:16.665,383
REA,13:29:19.131,316
REA,13:29:21.514,299
REA,13:29:24.447,299
REA,13:29:27.598,0
REA,13:29:31.080,247
REA,13:29:33.130,383
REA,13:29:33.864,0
REA,13:29:38.246,366
REA,13:29:43.096,362
REA,13:29:47.696,391
REA,13:29:52.128,316
REA,13:29:54.311,366
REA,13:29:56.495,483
REA,13:29:59.028,264
REA,13:30:02.928,230
REA,13:30:05.127,316
REA,13:30:07.994,0
REA,13:30:12.228,0
REA,13:30:14.744,333
REA,13:30:18.977,366
REA,13:30:21.759,377
REA,13:30:25.409,266
REA,13:30:29.859,237
REA,13:30:32.875,266
REA,13:30:34.859,0
REA,13:30:39.658,230
REA,13:30:42.241,299
REA,13:30:43.575,0
REA,13:30:46.658,316
REA,13:30:49.974,0
REA,13:30:53.074,533
REA,13:30:54.241,0
REA,13:30:57.123,449
REA,13:31:01.873,287
REA,13:31:05.939,333
REA,13:31:08.622,578
REA,13:31:13.172,433
REA,13:31:16.889,349
REA,13:31:19.272,399
REA,13:31:23.905,299
REA,13:31:26.855,516
REA,13:31:29.204,333
REA,13:31:31.471,333
REA,13:31:36.237,299
REA,13:31:37.804,0
REA,13:31:38.053,0
REA,13:31:41.487,616
REA,13:31:45.536,466
REA,13:31:48.819,1016
REA,13:31:52.069,483
REA,13:31:55.736,333
REA,13:31:58.752,660
REA,13:32:01.652,383
REA,13:32:05.118,316
REA,13:32:09.168,299
REA,13:32:11.634,299
REA,13:32:13.851,0
REA,13:32:14.634,0
REA,13:32:14.767,0
REA,13:32:16.784,49
REA,13:32:18.700,299
REA,13:32:19.667,0
REA,13:32:19.934,0
REA,13:32:22.084,349
REA,13:32:23.801,0
REA,13:32:24.033,0
REA,13:32:25.501,0
REA,13:32:28.100,0
REA,13:32:31.033,366
REA,13:32:34.333,313
REA,13:32:36.700,0
REA,13:32:38.699,428
REA,Sex,
REA,Test Duration in seconds,421
REA,Number of False Positives,27
REA,Average response time ,344
REA,Fastest response time ,25
REA,Slowest response time ,1016
REA,Count of response time over 500ms ,10
