Task,TapTime,Milliseconds
SCC,12:00:43.036,316
SCC,12:00:46.419,232
SCC,12:00:48.686,299
SCC,12:00:51.453,0
SCC,12:00:54.902,249
SCC,12:00:56.935,349
SCC,12:00:59.102,0
SCC,12:01:01.635,0
SCC,12:01:05.934,282
SCC,12:01:09.134,319
SCC,12:01:10.668,0
SCC,12:01:13.668,0
SCC,12:01:15.850,307
SCC,12:01:19.384,0
SCC,12:01:24.116,300
SCC,12:01:28.366,364
SCC,12:01:32.549,232
SCC,12:01:36.482,299
SCC,12:01:38.916,0
SCC,12:01:42.815,0
SCC,12:01:45.781,306
SCC,12:01:48.482,0
SCC,12:01:50.864,282
SCC,12:01:53.547,32
SCC,12:01:56.381,399
SCC,12:02:00.347,734
SCC,12:02:03.063,1064
SCC,12:02:05.780,0
SCC,12:02:08.330,0
SCC,12:02:12.412,299
SCC,12:02:15.246,332
SCC,12:02:17.946,299
SCC,12:02:20.829,0
SCC,12:02:23.779,0
SCC,12:02:27.229,316
SCC,12:02:29.695,316
SCC,12:02:32.812,0
SCC,12:02:34.978,399
SCC,12:02:37.511,443
SCC,12:02:41.610,299
SCC,12:02:43.694,449
SCC,12:02:46.777,266
SCC,12:02:50.960,316
SCC,12:02:53.643,311
SCC,12:02:56.676,0
SCC,12:02:59.792,282
SCC,12:03:01.742,366
SCC,12:03:05.093,0
SCC,12:03:07.675,280
SCC,12:03:11.307,266
SCC,12:03:15.142,0
SCC,12:03:18.808,0
SCC,12:03:21.757,316
SCC,12:03:26.157,316
SCC,12:03:28.707,343
SCC,12:03:31.206,299
SCC,12:03:33.623,297
SCC,12:03:38.139,299
SCC,12:03:41.722,282
SCC,12:03:44.389,0
SCC,12:03:46.622,0
SCC,12:03:51.155,316
SCC,12:03:54.788,413
SCC,12:03:58.188,330
SCC,12:04:02.871,299
SCC,12:04:07.320,349
SCC,12:04:10.253,282
SCC,12:04:13.587,282
SCC,12:04:17.454,0
SCC,12:04:18.670,0
SCC,12:04:18.752,0
SCC,12:04:22.253,282
SCC,12:04:26.352,309
SCC,12:04:29.235,332
SCC,12:04:33.902,332
SCC,12:04:37.918,82
SCC,12:04:40.285,420
SCC,12:04:44.401,347
SCC,12:04:46.651,416
SCC,12:04:48.817,449
SCC,12:04:51.900,287
SCC,12:04:55.633,132
SCC,12:04:58.616,382
SCC,12:05:02.866,299
SCC,12:05:06.899,466
SCC,12:05:08.832,336
SCC,12:05:13.066,0
SCC,12:05:16.665,232
SCC,12:05:19.548,341
SCC,12:05:20.648,0
SCC,12:05:22.148,0
SCC,12:05:22.397,0
SCC,12:05:24.531,432
SCC,12:05:28.647,328
SCC,12:05:31.181,461
SCC,12:05:35.114,282
SCC,12:05:39.080,263
SCC,12:05:41.563,332
SCC,12:05:43.646,482
SCC,12:05:46.047,0
SCC,12:05:48.113,319
SCC,12:05:52.046,282
SCC,12:05:54.979,282
SCC,12:05:57.329,299
SCC,12:06:00.862,299
SCC,12:06:04.678,316
SCC,12:06:09.361,266
SCC,12:06:12.728,0
SCC,12:06:15.044,349
SCC,12:06:17.560,314
SCC,12:06:20.628,0
SCC,12:06:23.360,263
SCC,12:06:28.077,283
SCC,12:06:31.693,332
SCC,12:06:35.942,297
SCC,12:06:38.509,0
SCC,12:06:41.442,349
SCC,12:06:44.575,482
SCC,12:06:46.508,349
SCC,12:06:49.042,0
SCC,12:06:51.208,316
SCC,12:06:53.208,316
SCC,12:06:57.858,280
SCC,12:07:00.291,316
SCC,12:07:03.757,0
SCC,12:07:05.823,332
SCC,12:07:09.507,0
SCC,12:07:12.590,275
SCC,12:07:15.589,366
SCC,12:07:17.906,383
SCC,12:07:20.656,0
SCC,12:07:24.289,66
SCC,12:07:26.389,432
SCC,12:07:29.505,349
SCC,12:07:33.804,297
SCC,12:07:35.938,516
SCC,12:07:40.737,249
SCC,Sex,
SCC,Test Duration in seconds,421
SCC,Number of False Positives,35
SCC,Average response time ,329
SCC,Fastest response time ,32
SCC,Slowest response time ,1064
SCC,Count of response time over 500ms ,3
