Task,TapTime,Milliseconds
TATM,10:04:27.960,399
TATM,10:04:30.127,299
TATM,10:04:33.827,266
TATM,10:04:36.727,233
TATM,10:04:38.793,0
TATM,10:04:38.926,0
TATM,10:04:41.626,333
TATM,10:04:44.276,0
TATM,10:04:47.476,383
TATM,10:04:50.509,283
TATM,10:04:53.242,283
TATM,10:04:57.058,299
TATM,10:05:00.891,266
TATM,10:05:05.324,299
TATM,10:05:07.341,363
TATM,10:05:11.324,299
TATM,10:05:13.207,0
TATM,10:05:15.957,0
TATM,10:05:18.890,266
TATM,10:05:23.006,316
TATM,10:05:27.789,280
TATM,10:05:30.772,283
TATM,10:05:34.222,266
TATM,10:05:37.022,0
TATM,10:05:37.138,0
TATM,10:05:40.322,299
TATM,10:05:42.971,349
TATM,10:05:46.271,316
TATM,10:05:49.137,316
TATM,10:05:50.838,0
TATM,10:05:54.787,280
TATM,10:05:58.404,0
TATM,10:06:02.153,266
TATM,10:06:06.886,242
TATM,10:06:09.036,349
TATM,10:06:11.119,299
TATM,10:06:14.452,299
TATM,10:06:18.869,249
TATM,10:06:23.302,283
TATM,10:06:27.485,266
TATM,10:06:29.518,433
TATM,10:06:32.218,0
TATM,10:06:32.317,0
TATM,10:06:35.834,251
TATM,10:06:38.017,333
TATM,10:06:41.267,249
TATM,10:06:45.883,266
TATM,10:06:48.250,366
TATM,10:06:50.200,331
TATM,10:06:52.366,283
TATM,10:06:54.950,0
TATM,10:06:57.749,0
TATM,10:07:02.065,249
TATM,10:07:05.899,283
TATM,10:07:08.298,330
TATM,10:07:11.065,225
TATM,10:07:15.565,283
TATM,10:07:18.231,282
TATM,10:07:22.197,297
TATM,10:07:24.114,366
TATM,10:07:27.330,249
TATM,10:07:29.297,0
TATM,10:07:32.330,249
TATM,10:07:35.330,0
TATM,10:07:37.696,349
TATM,10:07:40.213,0
TATM,10:07:43.712,299
TATM,10:07:45.595,316
TATM,10:07:49.045,299
TATM,10:07:51.478,266
TATM,10:07:53.528,249
TATM,10:07:56.628,283
TATM,10:07:59.544,333
TATM,10:08:03.127,316
TATM,10:08:06.427,268
TATM,10:08:08.960,276
TATM,10:08:12.443,299
TATM,10:08:17.143,266
TATM,10:08:19.143,333
TATM,10:08:20.493,0
TATM,10:08:23.276,266
TATM,10:08:26.609,247
TATM,10:08:29.009,328
TATM,10:08:33.292,283
TATM,10:08:36.191,249
TATM,10:08:39.625,0
TATM,10:08:42.774,233
TATM,10:08:47.674,266
TATM,10:08:52.124,249
TATM,10:08:57.057,316
TATM,10:08:59.373,0
TATM,10:09:02.890,282
TATM,10:09:05.973,0
TATM,10:09:08.089,283
TATM,10:09:11.539,266
TATM,10:09:13.805,266
TATM,10:09:18.088,216
TATM,10:09:22.721,249
TATM,10:09:27.304,233
TATM,10:09:30.354,282
TATM,10:09:32.804,266
TATM,10:09:34.870,105
TATM,10:09:36.820,283
TATM,10:09:38.587,0
TATM,10:09:41.870,266
TATM,10:09:44.203,266
TATM,10:09:46.919,249
TATM,10:09:50.003,0
TATM,10:09:52.052,249
TATM,10:09:52.484,0
TATM,10:09:56.169,280
TATM,10:10:01.002,266
TATM,10:10:03.168,0
TATM,10:10:07.285,0
TATM,10:10:11.634,299
TATM,10:10:14.684,283
TATM,10:10:18.434,166
TATM,10:10:18.583,0
TATM,10:10:23.317,316
TATM,10:10:27.966,233
TATM,10:10:30.466,266
TATM,10:10:33.350,0
TATM,10:10:35.749,0
TATM,10:10:39.182,297
TATM,10:10:41.782,316
TATM,10:10:45.415,260
TATM,10:10:50.065,261
TATM,10:10:52.881,283
TATM,10:10:55.648,0
TATM,10:10:58.331,0
TATM,10:11:01.397,237
TATM,10:11:05.913,249
TATM,10:11:08.497,0
TATM,10:11:11.663,266
TATM,10:11:13.896,566
TATM,10:11:17.562,299
TATM,10:11:20.929,266
TATM,10:11:24.012,283
TATM,10:11:26.645,249
TATM,Sex,
TATM,Test Duration in seconds,420
TATM,Number of False Positives,31
TATM,Average response time ,285
TATM,Fastest response time ,105
TATM,Slowest response time ,566
TATM,Count of response time over 500ms ,1
