Task,TapTime,Milliseconds
ALM,10:58:30.021,599
ALM,10:58:33.754,333
ALM,10:58:37.870,316
ALM,10:58:42.403,316
ALM,10:58:46.386,280
ALM,10:58:50.486,266
ALM,10:58:53.402,364
ALM,10:58:55.552,332
ALM,10:58:57.886,0
ALM,10:59:02.402,316
ALM,10:59:06.201,316
ALM,10:59:09.285,333
ALM,10:59:13.585,322
ALM,10:59:16.934,316
ALM,10:59:20.934,316
ALM,10:59:24.600,336
ALM,10:59:28.267,316
ALM,10:59:32.966,299
ALM,10:59:35.183,366
ALM,10:59:38.266,316
ALM,10:59:40.383,299
ALM,10:59:44.349,314
ALM,10:59:46.865,316
ALM,10:59:51.065,316
ALM,10:59:55.198,316
ALM,10:59:58.098,349
ALM,11:00:00.964,349
ALM,11:00:03.847,299
ALM,11:00:05.847,366
ALM,11:00:07.747,333
ALM,11:00:12.047,299
ALM,11:00:16.396,337
ALM,11:00:20.579,299
ALM,11:00:24.645,299
ALM,11:00:29.262,316
ALM,11:00:33.028,283
ALM,11:00:37.945,237
ALM,11:00:40.361,397
ALM,11:00:44.427,349
ALM,11:00:48.843,299
ALM,11:00:51.360,349
ALM,11:00:55.176,299
ALM,11:00:57.410,332
ALM,11:01:00.126,316
ALM,11:01:04.043,299
ALM,11:01:06.559,349
ALM,11:01:09.442,299
ALM,11:01:13.959,283
ALM,11:01:17.025,283
ALM,11:01:21.391,249
ALM,11:01:23.491,349
ALM,11:01:28.441,309
ALM,11:01:32.240,272
ALM,11:01:34.540,351
ALM,11:01:38.856,316
ALM,11:01:41.789,316
ALM,11:01:44.640,299
ALM,11:01:47.139,333
ALM,11:01:49.622,310
ALM,11:01:52.255,287
ALM,11:01:55.038,280
ALM,11:01:58.255,316
ALM,11:02:00.555,349
ALM,11:02:03.938,266
ALM,11:02:06.454,316
ALM,11:02:09.605,333
ALM,11:02:12.737,333
ALM,11:02:14.804,491
ALM,11:02:17.537,399
ALM,11:02:22.303,288
ALM,11:02:25.253,316
ALM,11:02:28.736,333
ALM,11:02:31.369,299
ALM,11:02:35.452,316
ALM,11:02:37.385,383
ALM,11:02:39.502,299
ALM,11:02:43.451,297
ALM,11:02:48.368,299
ALM,11:02:52.051,316
ALM,11:02:54.735,333
ALM,11:02:56.767,366
ALM,11:03:01.183,316
ALM,11:03:03.833,299
ALM,11:03:05.866,292
ALM,11:03:10.466,309
ALM,11:03:13.916,297
ALM,11:03:16.182,316
ALM,11:03:19.299,299
ALM,11:03:23.882,349
ALM,11:03:28.431,299
ALM,11:03:32.881,283
ALM,11:03:35.697,366
ALM,11:03:38.847,364
ALM,11:03:41.130,347
ALM,11:03:45.180,316
ALM,11:03:49.180,316
ALM,11:03:52.379,316
ALM,11:03:56.479,349
ALM,11:03:58.813,483
ALM,11:04:03.329,333
ALM,11:04:05.579,316
ALM,11:04:10.361,280
ALM,11:04:13.178,316
ALM,11:04:17.294,299
ALM,11:04:20.894,299
ALM,11:04:22.994,447
ALM,11:04:26.244,316
ALM,11:04:28.627,99
ALM,11:04:32.960,299
ALM,11:04:37.326,266
ALM,11:04:39.543,349
ALM,11:04:41.709,383
ALM,11:04:44.626,299
ALM,11:04:47.892,299
ALM,11:04:51.325,266
ALM,11:04:53.875,283
ALM,11:04:57.574,316
ALM,11:05:01.408,283
ALM,11:05:04.358,296
ALM,11:05:07.557,299
ALM,11:05:10.607,283
ALM,11:05:15.023,299
ALM,11:05:19.039,49
ALM,11:05:23.306,316
ALM,11:05:27.356,299
ALM,Sex,
ALM,Test Duration in seconds,420
ALM,Number of False Positives,1
ALM,Average response time ,317
ALM,Fastest response time ,49
ALM,Slowest response time ,599
ALM,Count of response time over 500ms ,1
