Task,TapTime,Milliseconds
amg,13:10:14.315,332
amg,13:10:18.115,299
amg,13:10:20.847,299
amg,13:10:23.865,0
amg,13:10:25.964,416
amg,13:10:29.530,316
amg,13:10:32.880,333
amg,13:10:35.430,349
amg,13:10:38.896,329
amg,13:10:42.913,0
amg,13:10:45.179,346
amg,13:10:48.445,366
amg,13:10:53.362,416
amg,13:10:55.962,483
amg,13:10:58.928,383
amg,13:11:03.627,416
amg,13:11:06.044,366
amg,13:11:10.594,383
amg,13:11:14.460,342
amg,13:11:18.127,353
amg,13:11:22.843,321
amg,13:11:26.093,349
amg,13:11:30.159,349
amg,13:11:33.575,366
amg,13:11:36.092,349
amg,13:11:39.091,349
amg,13:11:41.291,416
amg,13:11:44.175,366
amg,13:11:46.641,366
amg,13:11:49.141,333
amg,13:11:51.991,316
amg,13:11:55.690,349
amg,13:11:57.957,349
amg,13:12:01.773,366
amg,13:12:06.039,166
amg,13:12:10.839,414
amg,13:12:14.389,249
amg,13:12:18.372,0
amg,13:12:18.838,0
amg,13:12:22.422,416
amg,13:12:25.438,433
amg,13:12:28.155,381
amg,13:12:30.688,349
amg,13:12:35.321,348
amg,13:12:37.704,433
amg,13:12:42.420,349
amg,13:12:47.036,433
amg,13:12:50.053,449
amg,13:12:53.519,383
amg,13:12:58.119,316
amg,13:13:00.485,499
amg,13:13:03.185,383
amg,13:13:07.885,349
amg,13:13:11.418,397
amg,13:13:14.418,416
amg,13:13:18.117,316
amg,13:13:20.584,353
amg,13:13:24.867,266
amg,13:13:28.067,333
amg,13:13:31.916,323
amg,13:13:36.483,349
amg,13:13:39.400,0
amg,13:13:43.949,349
amg,13:13:47.532,380
amg,13:13:51.532,333
amg,13:13:54.031,433
amg,13:13:56.298,366
amg,13:14:00.498,433
amg,13:14:03.280,416
amg,13:14:07.963,366
amg,13:14:11.030,299
amg,13:14:13.546,416
amg,13:14:17.346,349
amg,13:14:22.329,333
amg,13:14:26.162,347
amg,13:14:29.878,349
amg,13:14:34.645,316
amg,13:14:39.411,330
amg,13:14:42.778,383
amg,13:14:47.544,349
amg,13:14:51.810,349
amg,13:14:56.026,324
amg,13:14:59.777,0
amg,13:15:02.576,449
amg,13:15:05.392,364
amg,13:15:09.292,414
amg,13:15:13.108,334
amg,13:15:16.775,364
amg,13:15:19.575,449
amg,13:15:22.392,307
amg,13:15:25.375,348
amg,13:15:29.458,333
amg,13:15:31.790,466
amg,13:15:34.324,399
amg,13:15:39.206,416
amg,13:15:44.090,364
amg,13:15:47.923,370
amg,13:15:52.122,396
amg,13:15:56.139,436
amg,13:15:58.539,483
amg,13:16:00.572,449
amg,13:16:04.972,383
amg,13:16:09.737,416
amg,13:16:12.571,383
amg,13:16:17.287,366
amg,13:16:20.903,316
amg,13:16:24.803,483
amg,13:16:27.519,399
amg,13:16:31.136,327
amg,13:16:35.452,298
amg,13:16:38.468,416
amg,13:16:41.235,449
amg,13:16:44.935,349
amg,13:16:48.434,316
amg,13:16:52.101,0
amg,13:16:55.401,386
amg,13:16:59.467,376
amg,13:17:02.450,399
amg,13:17:07.367,383
amg,13:17:09.950,499
amg,13:17:12.549,493
amg,Sex,
amg,Test Duration in seconds,420
amg,Number of False Positives,7
amg,Average response time ,371
amg,Fastest response time ,166
amg,Slowest response time ,499
amg,Count of response time over 500ms ,0
