Task,TapTime,Milliseconds
cfs,12:52:28.018,366
cfs,12:52:32.701,316
cfs,12:52:37.467,349
cfs,12:52:39.034,0
cfs,12:52:39.283,0
cfs,12:52:41.567,383
cfs,12:52:44.234,1023
cfs,12:52:46.900,263
cfs,12:52:48.300,0
cfs,12:52:48.666,0
cfs,12:52:53.049,332
cfs,12:52:55.449,380
cfs,12:53:00.415,299
cfs,12:53:04.098,982
cfs,12:53:04.282,0
cfs,12:53:04.448,0
cfs,12:53:05.832,0
cfs,12:53:08.081,566
cfs,12:53:09.732,0
cfs,12:53:12.198,283
cfs,12:53:15.181,399
cfs,12:53:18.581,0
cfs,12:53:23.264,283
cfs,12:53:25.864,416
cfs,12:53:27.147,0
cfs,12:53:28.714,0
cfs,12:53:31.746,299
cfs,12:53:36.580,263
cfs,12:53:37.313,0
cfs,12:53:39.479,566
cfs,12:53:42.480,0
cfs,12:53:42.645,0
cfs,12:53:43.328,0
cfs,12:53:45.529,0
cfs,12:53:48.312,333
cfs,12:53:50.228,337
cfs,12:53:52.262,0
cfs,12:53:54.062,283
cfs,12:53:57.595,0
cfs,12:54:00.677,299
cfs,12:54:04.144,299
cfs,12:54:08.544,299
cfs,12:54:12.710,312
cfs,12:54:15.810,0
cfs,12:54:15.893,0
cfs,12:54:16.126,0
cfs,12:54:18.010,0
cfs,12:54:22.659,283
cfs,12:54:26.642,266
cfs,12:54:28.226,0
cfs,12:54:29.776,0
cfs,12:54:32.958,249
cfs,12:54:35.175,399
cfs,12:54:38.641,332
cfs,12:54:41.458,0
cfs,12:54:43.874,366
cfs,12:54:48.107,266
cfs,12:54:52.191,283
cfs,12:54:53.874,33
cfs,12:54:56.456,264
cfs,12:54:58.240,0
cfs,12:54:59.590,0
cfs,12:55:01.773,0
cfs,12:55:02.056,0
cfs,12:55:05.923,283
cfs,12:55:07.540,0
cfs,12:55:10.490,0
cfs,12:55:12.555,292
cfs,12:55:14.622,249
cfs,12:55:16.289,0
cfs,12:55:17.589,0
cfs,12:55:20.122,0
cfs,12:55:22.288,383
cfs,12:55:24.605,0
cfs,12:55:27.188,0
cfs,12:55:29.921,283
cfs,12:55:31.621,0
cfs,12:55:33.771,0
cfs,12:55:35.554,0
cfs,12:55:39.720,283
cfs,12:55:43.104,333
cfs,12:55:44.970,133
cfs,12:55:46.136,0
cfs,12:55:49.903,0
cfs,12:55:52.886,247
cfs,12:55:54.019,0
cfs,12:55:57.152,249
cfs,12:55:59.335,299
cfs,12:56:01.836,0
cfs,12:56:04.235,266
cfs,12:56:07.618,0
cfs,12:56:10.184,283
cfs,12:56:13.317,216
cfs,12:56:17.134,233
cfs,12:56:20.551,0
cfs,12:56:22.367,0
cfs,12:56:24.534,0
cfs,12:56:27.466,299
cfs,12:56:29.550,383
cfs,12:56:31.450,0
cfs,12:56:34.316,283
cfs,12:56:35.399,0
cfs,12:56:37.366,399
cfs,12:56:37.849,0
cfs,12:56:40.416,0
cfs,12:56:42.682,249
cfs,12:56:44.265,0
cfs,12:56:45.599,0
cfs,12:56:47.615,0
cfs,12:56:48.614,0
cfs,12:56:50.864,699
cfs,12:56:51.115,0
cfs,12:56:53.298,0
cfs,12:56:54.331,0
cfs,12:56:59.047,283
cfs,12:57:03.014,316
cfs,12:57:06.364,0
cfs,12:57:08.947,383
cfs,12:57:12.296,333
cfs,12:57:14.146,281
cfs,12:57:17.146,0
cfs,12:57:18.863,0
cfs,12:57:22.162,304
cfs,12:57:27.145,287
cfs,12:57:30.029,0
cfs,12:57:32.312,0
cfs,12:57:35.045,0
cfs,12:57:37.694,399
cfs,12:57:39.794,299
cfs,12:57:42.861,0
cfs,12:57:46.594,233
cfs,12:57:50.261,0
cfs,12:57:52.476,316
cfs,12:57:55.059,366
cfs,12:57:57.076,316
cfs,12:57:58.660,0
cfs,12:58:01.393,299
cfs,12:58:03.576,0
cfs,12:58:08.075,249
cfs,12:58:11.375,283
cfs,12:58:13.759,0
cfs,12:58:15.025,0
cfs,12:58:17.142,0
cfs,12:58:20.758,0
cfs,12:58:23.591,0
cfs,12:58:23.874,0
cfs,12:58:28.890,314
cfs,12:58:31.323,347
cfs,12:58:35.073,316
cfs,12:58:37.990,347
cfs,12:58:40.523,299
cfs,12:58:42.390,0
cfs,12:58:46.389,366
cfs,12:58:50.339,0
cfs,12:58:52.788,299
cfs,12:58:54.222,0
cfs,12:58:58.005,249
cfs,12:59:00.605,516
cfs,12:59:05.254,299
cfs,12:59:09.271,383
cfs,12:59:12.671,0
cfs,12:59:17.020,381
cfs,12:59:20.853,509
cfs,12:59:22.953,0
cfs,12:59:23.419,0
cfs,12:59:23.719,0
cfs,12:59:24.486,0
cfs,12:59:24.886,0
cfs,12:59:25.920,0
cfs,Sex,
cfs,Test Duration in seconds,420
cfs,Number of False Positives,84
cfs,Average response time ,336
cfs,Fastest response time ,33
cfs,Slowest response time ,1023
cfs,Count of response time over 500ms ,7
