Task,TapTime,Milliseconds
dcg,12:34:12.930,1032
dcg,12:34:17.212,253
dcg,12:34:19.113,0
dcg,12:34:21.262,266
dcg,12:34:23.829,299
dcg,12:34:28.528,266
dcg,12:34:31.795,333
dcg,12:34:35.061,266
dcg,12:34:38.161,299
dcg,12:34:42.310,249
dcg,12:34:45.827,33
dcg,12:34:46.094,0
dcg,12:34:48.827,299
dcg,12:34:52.327,0
dcg,12:34:56.109,296
dcg,12:35:00.209,297
dcg,12:35:02.409,349
dcg,12:35:05.692,299
dcg,12:35:07.825,299
dcg,12:35:10.808,282
dcg,12:35:12.692,366
dcg,12:35:15.592,266
dcg,12:35:18.525,266
dcg,12:35:21.375,0
dcg,12:35:23.991,333
dcg,12:35:27.807,283
dcg,12:35:30.357,299
dcg,12:35:32.624,299
dcg,12:35:35.257,266
dcg,12:35:37.656,266
dcg,12:35:39.923,266
dcg,12:35:44.623,299
dcg,12:35:46.689,432
dcg,12:35:49.906,183
dcg,12:35:50.039,0
dcg,12:35:53.939,283
dcg,12:35:55.739,0
dcg,12:35:59.805,0
dcg,12:36:02.855,466
dcg,12:36:07.238,316
dcg,12:36:10.271,283
dcg,12:36:13.471,283
dcg,12:36:17.020,275
dcg,12:36:21.120,266
dcg,12:36:21.787,0
dcg,12:36:24.519,332
dcg,12:36:28.520,0
dcg,12:36:32.569,316
dcg,12:36:36.352,299
dcg,12:36:40.901,306
dcg,12:36:43.601,349
dcg,12:36:47.868,283
dcg,12:36:52.601,283
dcg,12:36:56.384,266
dcg,12:37:00.484,166
dcg,12:37:00.567,0
dcg,12:37:03.834,383
dcg,12:37:07.700,249
dcg,12:37:09.383,0
dcg,12:37:13.049,399
dcg,12:37:17.782,332
dcg,12:37:20.332,416
dcg,12:37:24.432,316
dcg,12:37:27.565,316
dcg,12:37:31.948,299
dcg,12:37:36.864,264
dcg,12:37:39.114,533
dcg,12:37:43.697,297
dcg,12:37:47.480,299
dcg,12:37:50.897,301
dcg,12:37:52.763,316
dcg,12:37:56.012,299
dcg,12:37:59.530,0
dcg,12:37:59.595,0
dcg,12:38:03.762,316
dcg,12:38:06.262,349
dcg,12:38:09.895,316
dcg,12:38:11.861,416
dcg,12:38:14.095,0
dcg,12:38:17.677,280
dcg,12:38:22.044,266
dcg,12:38:25.310,266
dcg,12:38:29.660,268
dcg,12:38:31.776,380
dcg,12:38:35.743,233
dcg,12:38:37.826,430
dcg,12:38:41.226,249
dcg,12:38:45.143,0
dcg,12:38:47.675,347
dcg,12:38:49.975,399
dcg,12:38:52.325,416
dcg,12:38:54.225,316
dcg,12:38:58.158,249
dcg,12:39:01.657,61
dcg,12:39:04.858,283
dcg,12:39:07.340,299
dcg,12:39:10.190,283
dcg,12:39:14.290,249
dcg,12:39:17.673,115
dcg,12:39:21.223,0
dcg,12:39:23.956,316
dcg,12:39:26.656,283
dcg,12:39:29.573,314
dcg,12:39:30.856,0
dcg,12:39:33.822,383
dcg,12:39:36.238,333
dcg,12:39:39.689,0
dcg,12:39:42.088,316
dcg,12:39:44.537,299
dcg,12:39:47.004,299
dcg,12:39:49.704,266
dcg,12:39:51.704,311
dcg,12:39:55.270,299
dcg,12:39:59.920,283
dcg,12:40:04.053,283
dcg,12:40:06.619,316
dcg,12:40:10.769,266
dcg,12:40:13.303,0
dcg,12:40:13.735,0
dcg,12:40:16.418,316
dcg,12:40:20.852,328
dcg,12:40:24.551,316
dcg,12:40:26.401,0
dcg,12:40:28.734,566
dcg,12:40:30.951,486
dcg,12:40:34.934,299
dcg,12:40:38.950,249
dcg,12:40:41.183,349
dcg,12:40:45.183,264
dcg,12:40:47.216,316
dcg,12:40:49.383,0
dcg,12:40:49.649,0
dcg,12:40:52.783,283
dcg,12:40:56.565,266
dcg,12:40:58.832,333
dcg,12:41:01.348,316
dcg,12:41:05.148,249
dcg,12:41:09.348,249
dcg,12:41:13.097,266
dcg,Sex,
dcg,Test Duration in seconds,422
dcg,Number of False Positives,23
dcg,Average response time ,308
dcg,Fastest response time ,33
dcg,Slowest response time ,1032
dcg,Count of response time over 500ms ,3
