Task,TapTime,Milliseconds
JDMA,12:17:02.543,1316
JDMA,12:17:06.809,230
JDMA,12:17:09.860,0
JDMA,12:17:11.926,366
JDMA,12:17:15.592,299
JDMA,12:17:18.809,0
JDMA,12:17:22.342,249
JDMA,12:17:26.275,249
JDMA,12:17:31.074,249
JDMA,12:17:34.724,270
JDMA,12:17:38.541,0
JDMA,12:17:38.790,0
JDMA,12:17:43.540,316
JDMA,12:17:47.373,282
JDMA,12:17:50.456,280
JDMA,12:17:53.506,283
JDMA,12:17:55.755,406
JDMA,12:17:58.739,289
JDMA,12:18:02.522,233
JDMA,12:18:04.905,256
JDMA,12:18:07.838,216
JDMA,12:18:12.188,272
JDMA,12:18:15.488,0
JDMA,12:18:18.437,264
JDMA,12:18:22.904,0
JDMA,12:18:27.003,382
JDMA,12:18:31.036,476
JDMA,12:18:34.253,269
JDMA,12:18:37.086,266
JDMA,12:18:39.486,266
JDMA,12:18:42.019,266
JDMA,12:18:44.135,249
JDMA,12:18:48.119,233
JDMA,12:18:52.984,299
JDMA,12:18:56.034,258
JDMA,12:19:00.518,233
JDMA,12:19:03.918,0
JDMA,12:19:04.200,0
JDMA,12:19:07.250,299
JDMA,12:19:09.850,499
JDMA,12:19:12.616,314
JDMA,12:19:16.466,249
JDMA,12:19:20.633,216
JDMA,12:19:23.132,249
JDMA,12:19:26.083,0
JDMA,12:19:28.666,0
JDMA,12:19:28.915,0
JDMA,12:19:32.931,316
JDMA,12:19:36.532,316
JDMA,12:19:38.931,316
JDMA,12:19:40.431,0
JDMA,12:19:44.631,282
JDMA,12:19:47.464,0
JDMA,12:19:50.180,299
JDMA,12:19:53.063,316
JDMA,12:19:56.880,266
JDMA,12:19:59.746,266
JDMA,12:20:02.796,224
JDMA,12:20:05.296,283
JDMA,12:20:08.362,216
JDMA,12:20:10.395,316
JDMA,12:20:12.728,116
JDMA,12:20:14.612,333
JDMA,12:20:16.512,0
JDMA,12:20:21.278,278
JDMA,12:20:24.344,266
JDMA,12:20:27.011,0
JDMA,12:20:29.094,251
JDMA,12:20:32.094,283
JDMA,12:20:35.160,349
JDMA,12:20:38.077,266
JDMA,12:20:40.310,299
JDMA,12:20:44.726,249
JDMA,12:20:47.776,0
JDMA,12:20:52.109,299
JDMA,12:20:54.208,399
JDMA,12:20:56.125,297
JDMA,12:20:58.075,333
JDMA,12:21:01.425,0
JDMA,12:21:03.674,332
JDMA,12:21:08.324,249
JDMA,12:21:10.858,0
JDMA,12:21:14.990,316
JDMA,12:21:17.007,333
JDMA,12:21:20.824,0
JDMA,12:21:22.757,149
JDMA,12:21:24.906,262
JDMA,12:21:27.640,0
JDMA,12:21:31.406,266
JDMA,12:21:36.205,266
JDMA,12:21:38.856,0
JDMA,12:21:41.306,299
JDMA,12:21:45.288,293
JDMA,12:21:47.571,366
JDMA,12:21:51.104,233
JDMA,12:21:54.038,233
JDMA,12:21:57.037,233
JDMA,12:22:00.087,0
JDMA,12:22:02.587,249
JDMA,12:22:06.103,326
JDMA,12:22:09.436,299
JDMA,12:22:11.770,280
JDMA,12:22:13.736,0
JDMA,12:22:15.819,216
JDMA,12:22:19.435,299
JDMA,12:22:21.352,0
JDMA,12:22:23.502,366
JDMA,12:22:25.735,399
JDMA,12:22:28.051,316
JDMA,12:22:31.668,266
JDMA,12:22:34.468,0
JDMA,12:22:38.001,399
JDMA,12:22:40.051,0
JDMA,12:22:40.283,0
JDMA,12:22:42.384,0
JDMA,12:22:47.017,283
JDMA,12:22:51.150,283
JDMA,12:22:54.850,249
JDMA,12:22:57.799,333
JDMA,12:23:01.682,283
JDMA,12:23:04.499,233
JDMA,12:23:07.182,0
JDMA,12:23:09.515,249
JDMA,12:23:12.464,266
JDMA,12:23:15.298,277
JDMA,12:23:16.815,0
JDMA,12:23:19.364,299
JDMA,12:23:21.814,349
JDMA,12:23:23.847,249
JDMA,12:23:25.731,0
JDMA,12:23:26.430,0
JDMA,12:23:29.480,283
JDMA,12:23:33.513,249
JDMA,12:23:36.879,283
JDMA,12:23:37.596,0
JDMA,12:23:41.179,249
JDMA,12:23:44.796,0
JDMA,12:23:48.262,266
JDMA,12:23:50.612,349
JDMA,12:23:54.395,333
JDMA,12:23:56.061,66
JDMA,12:23:59.411,283
JDMA,Sex,
JDMA,Test Duration in seconds,420
JDMA,Number of False Positives,34
JDMA,Average response time ,293
JDMA,Fastest response time ,66
JDMA,Slowest response time ,1316
JDMA,Count of response time over 500ms ,1
