Task,TapTime,Milliseconds
cpc,09:50:43.632,314
cpc,09:50:47.831,350
cpc,09:50:51.948,233
cpc,09:50:56.381,314
cpc,09:51:00.164,264
cpc,09:51:04.180,199
cpc,09:51:06.630,449
cpc,09:51:09.179,266
cpc,09:51:11.713,0
cpc,09:51:14.730,0
cpc,09:51:18.412,299
cpc,09:51:22.378,262
cpc,09:51:24.445,466
cpc,09:51:28.311,1599
cpc,09:51:31.944,299
cpc,09:51:34.211,0
cpc,09:51:35.194,0
cpc,09:51:35.411,0
cpc,09:51:35.627,0
cpc,09:51:35.927,0
cpc,09:51:36.127,0
cpc,09:51:36.327,0
cpc,09:51:36.561,0
cpc,09:51:36.844,0
cpc,09:51:37.027,0
cpc,09:51:39.461,283
cpc,09:51:43.260,349
cpc,09:51:47.226,316
cpc,09:51:53.859,4815
cpc,09:51:55.076,0
cpc,09:51:59.192,264
cpc,09:52:02.192,416
cpc,09:52:03.042,0
cpc,09:52:05.592,0
cpc,09:52:05.724,0
cpc,09:52:10.042,0
cpc,09:52:10.341,0
cpc,09:52:13.474,299
cpc,09:52:16.491,249
cpc,09:52:20.907,266
cpc,09:52:25.790,349
cpc,09:52:29.390,349
cpc,09:52:33.539,99
cpc,09:52:37.289,271
cpc,09:52:40.156,983
cpc,09:52:44.205,299
cpc,09:52:47.888,297
cpc,09:52:49.255,0
cpc,09:52:54.188,283
cpc,09:52:57.520,349
cpc,09:53:00.404,347
cpc,09:53:04.370,199
cpc,09:53:07.187,283
cpc,09:53:11.553,249
cpc,09:53:14.920,0
cpc,09:53:16.019,0
cpc,09:53:16.268,0
cpc,09:53:16.468,0
cpc,09:53:16.702,0
cpc,09:53:16.918,0
cpc,09:53:17.119,0
cpc,09:53:19.336,0
cpc,09:53:20.118,0
cpc,09:53:20.385,0
cpc,09:53:20.585,0
cpc,09:53:20.835,0
cpc,09:53:22.886,0
cpc,09:53:26.435,333
cpc,09:53:29.535,299
cpc,09:53:34.218,430
cpc,09:53:38.034,333
cpc,09:53:42.450,283
cpc,09:53:44.583,483
cpc,09:53:46.367,0
cpc,09:53:48.850,431
cpc,09:53:51.200,299
cpc,09:53:53.900,299
cpc,09:53:58.182,283
cpc,09:54:01.532,299
cpc,09:54:04.615,383
cpc,09:54:08.881,249
cpc,09:54:11.598,347
cpc,09:54:14.348,0
cpc,09:54:19.097,314
cpc,09:54:21.514,416
cpc,09:54:30.097,0
cpc,09:54:31.130,0
cpc,09:54:35.129,632
cpc,09:54:39.512,324
cpc,09:54:42.795,377
cpc,09:54:46.612,0
cpc,09:54:50.411,249
cpc,09:54:53.894,504
cpc,09:54:57.844,398
cpc,09:55:02.277,316
cpc,09:55:07.026,399
cpc,09:55:10.210,0
cpc,09:55:12.459,299
cpc,09:55:14.475,0
cpc,09:55:18.626,0
cpc,09:55:22.592,299
cpc,09:55:26.742,0
cpc,09:55:29.608,295
cpc,09:55:31.791,433
cpc,09:55:34.391,280
cpc,09:55:38.674,249
cpc,09:55:41.424,466
cpc,09:55:46.173,283
cpc,09:55:50.556,133
cpc,09:55:54.506,292
cpc,09:55:57.173,883
cpc,09:55:59.739,249
cpc,09:56:02.556,533
cpc,09:56:09.188,2032
cpc,09:56:12.822,0
cpc,09:56:15.904,283
cpc,09:56:20.270,249
cpc,09:56:22.870,449
cpc,09:56:26.520,0
cpc,09:56:30.886,266
cpc,09:56:33.153,533
cpc,09:56:35.819,533
cpc,09:56:39.519,280
cpc,09:56:41.935,297
cpc,09:56:43.352,0
cpc,09:56:44.352,0
cpc,09:56:44.585,0
cpc,09:56:44.801,0
cpc,09:56:45.018,0
cpc,09:56:45.251,0
cpc,09:56:45.602,0
cpc,09:56:45.852,0
cpc,09:56:46.118,0
cpc,09:56:46.302,0
cpc,09:56:46.568,0
cpc,09:56:46.802,0
cpc,09:56:47.035,0
cpc,09:56:47.268,0
cpc,09:56:47.485,0
cpc,09:56:47.718,0
cpc,09:56:47.918,0
cpc,09:56:48.151,0
cpc,09:56:48.351,0
cpc,09:56:48.585,0
cpc,09:56:48.835,0
cpc,09:56:51.768,283
cpc,09:56:56.034,283
cpc,09:56:58.967,388
cpc,09:57:01.284,466
cpc,09:57:03.068,183
cpc,09:57:03.250,0
cpc,09:57:05.417,333
cpc,09:57:07.567,483
cpc,09:57:11.916,299
cpc,09:57:13.550,0
cpc,09:57:16.516,274
cpc,09:57:20.366,283
cpc,09:57:23.366,0
cpc,09:57:25.615,333
cpc,09:57:26.948,0
cpc,09:57:28.798,0
cpc,09:57:31.248,499
cpc,09:57:35.048,280
cpc,09:57:38.047,299
cpc,09:57:41.647,299
cpc,Sex,
cpc,Test Duration in seconds,421
cpc,Number of False Positives,69
cpc,Average response time ,418
cpc,Fastest response time ,99
cpc,Slowest response time ,4815
cpc,Count of response time over 500ms ,10
