Task,TapTime,Milliseconds
igm,10:06:08.462,726
igm,10:06:11.745,297
igm,10:06:14.312,0
igm,10:06:15.695,0
igm,10:06:17.978,283
igm,10:06:22.427,1732
igm,10:06:25.727,766
igm,10:06:29.893,332
igm,10:06:32.093,466
igm,10:06:34.227,466
igm,10:06:36.660,0
igm,10:06:40.543,316
igm,10:06:43.709,459
igm,10:06:46.859,366
igm,10:06:49.725,299
igm,10:06:53.292,0
igm,10:06:57.275,316
igm,10:07:00.907,530
igm,10:07:03.441,395
igm,10:07:07.824,466
igm,10:07:11.757,408
igm,10:07:14.640,416
igm,10:07:18.040,483
igm,10:07:22.773,283
igm,10:07:24.989,499
igm,10:07:27.588,366
igm,10:07:31.572,256
igm,10:07:33.705,335
igm,10:07:37.554,380
igm,10:07:40.971,416
igm,10:07:45.287,333
igm,10:07:49.920,547
igm,10:07:53.220,399
igm,10:07:56.520,0
igm,10:07:58.837,0
igm,10:08:01.686,314
igm,10:08:05.569,416
igm,10:08:10.019,333
igm,10:08:12.102,349
igm,10:08:15.535,316
igm,10:08:18.668,297
igm,10:08:21.768,283
igm,10:08:24.734,316
igm,10:08:29.084,333
igm,10:08:32.700,283
igm,10:08:36.333,316
igm,10:08:38.733,449
igm,10:08:41.700,683
igm,10:08:44.799,316
igm,10:08:49.399,382
igm,10:08:52.815,399
igm,10:08:56.748,533
igm,10:09:01.864,516
igm,10:09:04.997,316
igm,10:09:07.148,0
igm,10:09:09.547,66
igm,10:09:11.180,0
igm,10:09:16.346,567
igm,10:09:19.196,382
igm,10:09:24.579,2966
igm,10:09:29.395,406
igm,10:09:31.412,399
igm,10:09:34.529,0
igm,10:09:38.061,316
igm,10:09:40.994,316
igm,10:09:44.794,316
igm,10:09:49.177,499
igm,10:09:50.161,0
igm,10:09:51.161,0
igm,10:09:54.993,316
igm,10:09:56.944,0
igm,10:09:59.443,353
igm,10:10:01.926,364
igm,10:10:06.242,463
igm,10:10:07.676,0
igm,10:10:08.257,0
igm,10:10:09.543,0
igm,10:10:11.007,0
igm,10:10:11.041,0
igm,10:10:11.141,0
igm,10:10:13.925,383
igm,10:10:15.441,0
igm,10:10:15.441,0
igm,10:10:16.792,0
igm,10:10:17.591,0
igm,10:10:18.159,0
igm,10:10:18.658,0
igm,10:10:18.941,0
igm,10:10:19.157,0
igm,10:10:19.375,0
igm,10:10:19.574,0
igm,10:10:19.758,0
igm,10:10:19.957,0
igm,10:10:20.341,0
igm,10:10:22.408,0
igm,10:10:24.891,0
igm,10:10:28.924,0
igm,10:10:32.707,337
igm,10:10:35.240,433
igm,10:10:40.823,2453
igm,10:10:44.223,483
igm,10:10:46.739,424
igm,10:10:49.855,316
igm,10:10:51.855,316
igm,10:10:54.172,0
igm,10:10:58.188,0
igm,10:11:01.488,349
igm,10:11:03.538,0
igm,10:11:04.004,0
igm,10:11:06.604,666
igm,10:11:09.487,549
igm,10:11:14.253,583
igm,10:11:19.086,706
igm,10:11:24.136,599
igm,10:11:26.452,649
igm,10:11:28.969,499
igm,10:11:31.785,348
igm,10:11:35.635,566
igm,10:11:38.935,380
igm,10:11:41.568,366
igm,10:11:44.517,316
igm,10:11:47.950,349
igm,10:11:51.050,649
igm,10:11:53.983,316
igm,10:11:56.883,330
igm,10:12:00.766,396
igm,10:12:03.749,482
igm,10:12:07.233,433
igm,10:12:09.615,216
igm,10:12:13.848,2316
igm,10:12:18.331,599
igm,10:12:19.332,0
igm,10:12:23.631,499
igm,10:12:27.364,766
igm,10:12:30.197,666
igm,10:12:33.063,466
igm,10:12:36.163,793
igm,10:12:39.713,783
igm,10:12:43.162,1832
igm,10:12:45.830,0
igm,10:12:49.895,1366
igm,10:12:54.711,782
igm,10:12:58.878,616
igm,10:13:02.061,333
igm,10:13:05.194,314
igm,10:13:09.927,266
igm,Sex,
igm,Test Duration in seconds,424
igm,Number of False Positives,40
igm,Average response time ,523
igm,Fastest response time ,66
igm,Slowest response time ,2966
igm,Count of response time over 500ms ,29
