Task,TapTime,Milliseconds
IPC,10:40:26.873,499
IPC,10:40:31.124,0
IPC,10:40:33.756,466
IPC,10:40:36.373,382
IPC,10:40:39.306,230
IPC,10:40:42.139,122
IPC,10:40:45.006,0
IPC,10:40:47.538,382
IPC,10:40:50.372,0
IPC,10:40:53.255,0
IPC,10:40:55.371,335
IPC,10:40:57.871,0
IPC,10:40:58.820,0
IPC,10:41:01.704,0
IPC,10:41:04.970,316
IPC,10:41:09.603,282
IPC,10:41:13.703,249
IPC,10:41:16.386,333
IPC,10:41:19.253,0
IPC,10:41:21.536,283
IPC,10:41:23.736,0
IPC,10:41:25.919,399
IPC,10:41:29.602,0
IPC,10:41:32.801,283
IPC,10:41:36.418,0
IPC,10:41:38.334,349
IPC,10:41:41.468,0
IPC,10:41:46.083,299
IPC,10:41:49.866,416
IPC,10:41:54.166,249
IPC,10:41:58.282,366
IPC,10:42:01.299,316
IPC,10:42:04.882,0
IPC,10:42:08.032,383
IPC,10:42:11.398,264
IPC,10:42:14.297,249
IPC,10:42:17.865,0
IPC,10:42:21.314,266
IPC,10:42:23.497,449
IPC,10:42:26.597,0
IPC,10:42:29.814,0
IPC,10:42:32.196,416
IPC,10:42:36.096,0
IPC,10:42:37.996,282
IPC,10:42:41.062,282
IPC,10:42:43.012,299
IPC,10:42:46.078,233
IPC,10:42:49.028,249
IPC,10:42:51.662,0
IPC,10:42:54.644,175
IPC,10:42:56.727,349
IPC,10:42:59.744,138
IPC,10:43:01.777,280
IPC,10:43:04.243,199
IPC,10:43:06.777,0
IPC,10:43:09.277,0
IPC,10:43:11.359,249
IPC,10:43:13.977,0
IPC,10:43:16.376,266
IPC,10:43:19.293,0
IPC,10:43:21.559,449
IPC,10:43:24.458,262
IPC,10:43:26.992,282
IPC,10:43:30.009,0
IPC,10:43:33.508,0
IPC,10:43:38.191,283
IPC,10:43:40.924,318
IPC,10:43:44.541,0
IPC,10:43:47.240,66
IPC,10:43:50.240,0
IPC,10:43:54.157,0
IPC,10:43:57.139,233
IPC,10:44:00.021,276
IPC,10:44:04.139,166
IPC,10:44:08.105,0
IPC,10:44:11.871,265
IPC,10:44:15.888,249
IPC,10:44:19.254,16
IPC,10:44:23.904,266
IPC,10:44:26.570,932
IPC,10:44:29.870,0
IPC,10:44:32.886,316
IPC,10:44:35.136,432
IPC,10:44:38.820,0
IPC,10:44:42.169,247
IPC,10:44:45.435,266
IPC,10:44:49.152,183
IPC,10:44:51.284,449
IPC,10:44:54.268,0
IPC,10:44:57.017,225
IPC,10:45:00.518,0
IPC,10:45:03.134,299
IPC,10:45:07.167,0
IPC,10:45:10.316,216
IPC,10:45:12.933,0
IPC,10:45:14.850,0
IPC,10:45:18.316,0
IPC,10:45:21.499,266
IPC,10:45:25.232,266
IPC,10:45:28.431,308
IPC,10:45:31.398,166
IPC,10:45:34.698,247
IPC,10:45:37.864,232
IPC,10:45:41.081,0
IPC,10:45:44.014,316
IPC,10:45:46.580,349
IPC,10:45:49.930,0
IPC,10:45:52.030,333
IPC,10:45:55.513,0
IPC,10:45:58.079,249
IPC,10:46:02.229,399
IPC,10:46:04.478,316
IPC,10:46:06.878,316
IPC,10:46:09.079,0
IPC,10:46:11.728,233
IPC,10:46:15.644,282
IPC,10:46:18.811,316
IPC,10:46:22.178,0
IPC,10:46:25.777,0
IPC,10:46:29.210,0
IPC,10:46:32.460,0
IPC,10:46:35.393,0
IPC,10:46:38.360,0
IPC,10:46:41.759,266
IPC,10:46:44.692,0
IPC,10:46:47.809,0
IPC,10:46:51.275,316
IPC,10:46:55.191,232
IPC,10:46:58.241,282
IPC,10:47:01.707,282
IPC,10:47:05.023,266
IPC,10:47:09.023,132
IPC,10:47:11.173,282
IPC,10:47:13.273,249
IPC,10:47:15.989,232
IPC,10:47:18.573,0
IPC,10:47:21.205,249
IPC,10:47:24.372,0
IPC,Sex,
IPC,Test Duration in seconds,421
IPC,Number of False Positives,50
IPC,Average response time ,291
IPC,Fastest response time ,16
IPC,Slowest response time ,932
IPC,Count of response time over 500ms ,1
